카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년11월_계_총인구수,"1,037,161","262,743","20,119","43,286","7,229","50,992","38,072","42,576","30,352","30,117","215,143","42,064","22,949","28,340","45,774","41,322","26,725","7,969","174,933","4,331","12,374","3,557","4,008","14,366",662,"34,235","11,355","14,996","9,326","10,941","15,280","19,761","6,980","12,761","191,730","65,076","10,534","9,774","17,230","6,346","11,296","31,932","9,511","7,798","9,126","9,712","3,395","192,612","17,335","8,785","5,100","11,424","7,532","17,471","8,565","21,525","10,185","26,149","12,711","6,506","39,324"
2020년11월_계_연령구간인구수,"1,037,161","262,743","20,119","43,286","7,229","50,992","38,072","42,576","30,352","30,117","215,143","42,064","22,949","28,340","45,774","41,322","26,725","7,969","174,933","4,331","12,374","3,557","4,008","14,366",662,"34,235","11,355","14,996","9,326","10,941","15,280","19,761","6,980","12,761","191,730","65,076","10,534","9,774","17,230","6,346","11,296","31,932","9,511","7,798","9,126","9,712","3,395","192,612","17,335","8,785","5,100","11,424","7,532","17,471","8,565","21,525","10,185","26,149","12,711","6,506","39,324"
2020년11월_계_0~9세,"83,759","21,588","1,173","6,561",250,"4,423","3,130","2,402","1,524","2,125","16,673","3,303","1,244","2,131","3,550","3,741","2,206",498,"12,519",120,"1,149",73,62,"2,257",35,"3,095",515,930,422,510,"1,135","1,103",342,771,"13,526","5,257",413,609,"1,142",154,593,"3,240",682,295,445,534,162,"19,453","1,553",354,192,"1,092",563,"1,528",377,"2,454","1,058","3,583","1,824",549,"4,326"
2020년11월_계_10~19세,"99,905","23,664","1,913","3,625",404,"4,715","3,896","4,074","2,251","2,786","23,219","5,341","1,454","3,463","4,870","4,128","3,173",790,"13,727",165,"1,044",157,143,"1,222",27,"3,376",759,"1,381",761,917,"1,232","1,157",418,968,"18,323","8,185",635,773,"1,248",344,854,"3,487",617,470,661,831,218,"20,972","1,841",684,295,"1,017",750,"2,435",544,"2,230","1,216","3,220",936,709,"5,095"
2020년11월_계_20~29세,"130,351","36,120","2,306","4,015",660,"7,138","5,757","6,713","4,827","4,704","32,460","5,728","4,476","4,242","6,599","6,242","4,181",992,"18,890",312,"1,078",286,260,"1,208",69,"4,388","1,692","1,623","1,148","1,221","1,502","2,007",638,"1,458","22,440","8,310",961,"1,116","1,887",605,"1,351","3,461","1,138",993,976,"1,298",344,"20,441","2,171",863,508,"1,161",770,"2,200","1,017","2,336","1,155","2,297","1,256",609,"4,098"
2020년11월_계_30~39세,"134,483","35,465","1,811","8,137",658,"7,170","5,493","4,358","3,767","4,071","29,510","4,635","4,284","3,545","6,436","6,218","3,401",991,"20,390",307,"1,534",200,179,"2,606",59,"4,398","1,170","1,565",875,"1,019","1,791","2,353",771,"1,563","21,979","6,800",981,"1,240","2,373",566,"1,315","4,138","1,315",817,906,"1,120",408,"27,139","2,246",711,386,"1,610",832,"2,177","1,019","3,302","1,348","4,107","2,486",748,"6,167"
2020년11월_계_40~49세,"168,074","41,133","3,244","7,113",809,"7,961","6,365","6,618","4,319","4,704","35,915","7,488","3,636","4,791","7,788","6,596","4,355","1,261","25,540",399,"1,948",327,313,"2,473",80,"5,374","1,405","2,296","1,246","1,476","2,282","3,030","1,007","1,884","30,390","11,617","1,404","1,329","2,372",747,"1,610","5,659","1,345","1,103","1,228","1,436",540,"35,096","2,957","1,223",627,"1,767","1,275","3,416","1,300","3,772","1,715","5,023","2,062","1,103","8,856"
2020년11월_계_50~59세,"186,670","50,628","3,948","6,152","1,361","9,742","7,658","9,327","6,205","6,235","43,520","8,440","4,144","6,053","9,146","8,374","5,914","1,449","29,514",793,"2,048",735,735,"1,909",109,"5,894","1,904","2,520","1,765","2,006","2,456","3,284","1,184","2,172","34,591","12,447","1,805","1,583","2,959","1,199","1,974","5,348","1,657","1,432","1,802","1,728",657,"28,417","2,252","1,422",912,"1,815","1,174","2,733","1,534","3,423","1,407","3,464","1,740","1,079","5,462"
2020년11월_계_60~69세,"140,989","34,341","3,139","4,784","1,595","6,422","4,012","5,926","4,855","3,608","23,625","4,876","2,568","2,957","5,143","4,265","2,616","1,200","29,775","1,147","1,997",877,984,"1,651",160,"4,640","2,076","2,409","1,716","2,122","2,673","3,667","1,404","2,252","29,821","7,553","2,270","1,772","3,001","1,467","2,183","4,199","1,586","1,583","1,889","1,690",628,"23,427","2,115","1,569","1,023","1,691","1,168","1,913","1,638","2,541","1,290","2,825","1,388",968,"3,298"
2020년11월_계_70~79세,"63,185","13,315","1,664","1,831",923,"2,383","1,215","2,217","1,795","1,287","6,824","1,573",783,741,"1,470","1,160",574,523,"16,540",693,"1,036",529,742,738,76,"2,222","1,219","1,511",905,"1,167","1,535","2,148",795,"1,224","14,761","3,382","1,428",959,"1,669",851,"1,040","1,744",854,838,882,806,308,"11,745","1,424","1,245",747,861,644,746,787,976,665,"1,093",644,461,"1,452"
