,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년06월_계_총인구수,"403,923","23,381","31,188","28,489","24,561","15,817","18,423","32,504","16,695","23,768","10,079","35,686","13,557","9,235","16,507","14,782","24,737","38,423","26,091"
2020년06월_계_연령구간인구수,"403,923","23,381","31,188","28,489","24,561","15,817","18,423","32,504","16,695","23,768","10,079","35,686","13,557","9,235","16,507","14,782","24,737","38,423","26,091"
2020년06월_계_0~9세,"29,073","1,357","2,865","2,790","1,769","1,259","1,307","2,200","1,178","1,804",537,"2,722",549,294,"1,333",421,"1,012","4,230","1,446"
2020년06월_계_10~19세,"38,809","1,636","3,217","3,130","2,270","1,130","2,137","2,973","1,890","3,120",538,"4,331",756,562,"1,590",864,"1,621","4,928","2,116"
2020년06월_계_20~29세,"49,708","3,090","3,548","2,976","3,157","1,749","2,814","5,169","2,023","3,099","1,232","4,294","1,560","1,037","2,226","1,717","2,563","4,155","3,299"
2020년06월_계_30~39세,"47,696","3,061","3,902","3,423","2,950","2,260","2,162","4,534","1,784","2,414","1,326","3,799","1,622",871,"2,084","1,219","2,163","5,018","3,104"
2020년06월_계_40~49세,"66,613","3,582","5,372","4,951","4,229","2,683","3,348","5,140","2,625","4,225","1,324","6,437","1,856","1,202","2,639","1,899","3,340","7,764","3,997"
2020년06월_계_50~59세,"70,836","3,947","5,397","4,849","4,313","2,791","3,167","5,788","3,062","4,383","1,781","6,334","2,521","1,815","3,029","2,842","4,477","5,449","4,891"
2020년06월_계_60~69세,"56,307","3,630","3,799","3,674","3,201","2,381","1,764","3,626","2,138","2,558","1,867","4,557","2,505","1,842","2,308","2,810","5,028","4,168","4,451"
2020년06월_계_70~79세,"30,527","2,172","2,067","1,842","1,805","1,105","1,035","1,946","1,221","1,367",974,"2,187","1,553","1,123",961,"2,073","3,141","1,970","1,985"
