카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년02월_계_총인구수,"42,852","7,194","1,139","10,503","1,629","2,191","4,010","2,256","4,627","2,114","3,375","3,814"
2020년02월_계_연령구간인구수,"42,852","7,194","1,139","10,503","1,629","2,191","4,010","2,256","4,627","2,114","3,375","3,814"
2020년02월_계_0~9세,"1,600",475,51,497,33,53,131,66,134,36,62,62
2020년02월_계_10~19세,"2,406",678,22,747,57,88,179,76,294,52,110,103
2020년02월_계_20~29세,"3,011",602,57,916,96,129,234,139,311,127,204,196
2020년02월_계_30~39세,"3,010",668,100,908,95,123,270,116,276,119,152,183
2020년02월_계_40~49세,"4,613","1,046",110,"1,368",139,179,362,168,492,180,274,295
2020년02월_계_50~59세,"7,636","1,248",176,"1,837",285,356,762,456,802,437,597,680
2020년02월_계_60~69세,"9,320","1,193",264,"2,063",433,520,925,557,"1,040",507,829,989
2020년02월_계_70~79세,"6,488",754,195,"1,301",302,423,631,393,733,358,664,734
2020년02월_계_80~89세,"4,171",455,144,765,164,274,463,258,462,264,416,506
2020년02월_계_90~99세,575,69,18,97,25,46,50,27,80,34,64,65
2020년02월_계_100세 이상,22,6,2,4,0,0,3,0,3,0,3,1
2020년02월_남_총인구수,"21,019","3,492",569,"5,172",792,"1,036","1,970","1,115","2,237","1,037","1,696","1,903"
2020년02월_남_연령구간인구수,"21,019","3,492",569,"5,172",792,"1,036","1,970","1,115","2,237","1,037","1,696","1,903"
2020년02월_남_0~9세,828,247,25,248,11,31,69,38,68,22,40,29
2020년02월_남_10~19세,"1,218",329,17,375,36,39,83,30,160,31,65,53
2020년02월_남_20~29세,"1,778",343,35,531,62,80,137,84,176,74,129,127
2020년02월_남_30~39세,"1,603",330,50,484,59,71,151,65,129,64,83,117
2020년02월_남_40~49세,"2,585",541,77,754,85,100,215,89,269,97,168,190
2020년02월_남_50~59세,"4,001",621,92,959,142,181,404,229,417,250,346,360
2020년02월_남_60~69세,"4,666",600,124,"1,021",208,261,459,307,496,271,412,507
2020년02월_남_70~79세,"2,931",331,89,556,134,184,287,175,369,144,321,341
2020년02월_남_80~89세,"1,284",133,56,225,53,77,149,96,139,76,120,160
2020년02월_남_90~99세,124,17,3,19,2,12,16,2,14,8,12,19
2020년02월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"21,833","3,702",570,"5,331",837,"1,155","2,040","1,141","2,390","1,077","1,679","1,911"
2020년02월_여_연령구간인구수,"21,833","3,702",570,"5,331",837,"1,155","2,040","1,141","2,390","1,077","1,679","1,911"
2020년02월_여_0~9세,772,228,26,249,22,22,62,28,66,14,22,33
2020년02월_여_10~19세,"1,188",349,5,372,21,49,96,46,134,21,45,50
2020년02월_여_20~29세,"1,233",259,22,385,34,49,97,55,135,53,75,69
2020년02월_여_30~39세,"1,407",338,50,424,36,52,119,51,147,55,69,66
2020년02월_여_40~49세,"2,028",505,33,614,54,79,147,79,223,83,106,105
2020년02월_여_50~59세,"3,635",627,84,878,143,175,358,227,385,187,251,320
2020년02월_여_60~69세,"4,654",593,140,"1,042",225,259,466,250,544,236,417,482
2020년02월_여_70~79세,"3,557",423,106,745,168,239,344,218,364,214,343,393
2020년02월_여_80~89세,"2,887",322,88,540,111,197,314,162,323,188,296,346
2020년02월_여_90~99세,451,52,15,78,23,34,34,25,66,26,52,46
2020년02월_여_100세 이상,21,6,1,4,0,0,3,0,3,0,3,1
