,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년03월_계_총인구수,"32,630","8,599","3,442","1,913","3,948","1,954","3,172","2,915","2,920","3,767"
2020년03월_계_연령구간인구수,"32,630","8,599","3,442","1,913","3,948","1,954","3,172","2,915","2,920","3,767"
2020년03월_계_0~9세,"1,470",552,152,74,146,51,110,112,108,165
2020년03월_계_10~19세,"2,143",783,192,66,218,100,247,150,142,245
2020년03월_계_20~29세,"2,645",845,195,147,291,142,263,211,268,283
2020년03월_계_30~39세,"2,231",735,190,125,245,106,190,189,206,245
2020년03월_계_40~49세,"3,662","1,190",365,192,399,179,322,272,325,418
2020년03월_계_50~59세,"5,696","1,423",602,310,697,372,579,527,526,660
2020년03월_계_60~69세,"5,717","1,223",636,411,744,353,535,612,550,653
2020년03월_계_70~79세,"5,235","1,081",678,326,674,358,527,459,462,670
2020년03월_계_80~89세,"3,332",670,386,223,457,258,347,335,284,372
2020년03월_계_90~99세,473,91,45,38,74,34,51,46,42,52
2020년03월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년03월_남_총인구수,"16,311","4,236","1,706",949,"1,970",941,"1,624","1,427","1,469","1,989"
2020년03월_남_연령구간인구수,"16,311","4,236","1,706",949,"1,970",941,"1,624","1,427","1,469","1,989"
2020년03월_남_0~9세,759,282,63,42,85,20,63,54,53,97
2020년03월_남_10~19세,"1,146",432,96,34,107,57,134,72,76,138
2020년03월_남_20~29세,"1,526",449,122,77,175,92,163,118,151,179
2020년03월_남_30~39세,"1,213",371,102,73,142,60,109,109,108,139
2020년03월_남_40~49세,"2,183",655,239,119,249,104,181,163,186,287
2020년03월_남_50~59세,"3,282",779,349,175,391,208,359,305,308,408
2020년03월_남_60~69세,"2,925",592,332,206,392,185,264,329,283,342
2020년03월_남_70~79세,"2,165",449,269,143,275,134,232,182,200,281
2020년03월_남_80~89세,996,202,122,70,139,71,107,91,90,104
2020년03월_남_90~99세,113,23,12,10,15,10,12,4,14,13
2020년03월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년03월_여_총인구수,"16,319","4,363","1,736",964,"1,978","1,013","1,548","1,488","1,451","1,778"
2020년03월_여_연령구간인구수,"16,319","4,363","1,736",964,"1,978","1,013","1,548","1,488","1,451","1,778"
2020년03월_여_0~9세,711,270,89,32,61,31,47,58,55,68
2020년03월_여_10~19세,997,351,96,32,111,43,113,78,66,107
2020년03월_여_20~29세,"1,119",396,73,70,116,50,100,93,117,104
2020년03월_여_30~39세,"1,018",364,88,52,103,46,81,80,98,106
2020년03월_여_40~49세,"1,479",535,126,73,150,75,141,109,139,131
2020년03월_여_50~59세,"2,414",644,253,135,306,164,220,222,218,252
2020년03월_여_60~69세,"2,792",631,304,205,352,168,271,283,267,311
2020년03월_여_70~79세,"3,070",632,409,183,399,224,295,277,262,389
2020년03월_여_80~89세,"2,336",468,264,153,318,187,240,244,194,268
2020년03월_여_90~99세,360,68,33,28,59,24,39,42,28,39
2020년03월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
