,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년08월_계_총인구수,"229,240","5,467","9,307","11,326","7,967","8,384","17,507","15,903","12,955","17,939","26,961","2,339","9,794","29,088","19,806","33,442","1,055"
2021년08월_계_연령구간인구수,"229,240","5,467","9,307","11,326","7,967","8,384","17,507","15,903","12,955","17,939","26,961","2,339","9,794","29,088","19,806","33,442","1,055"
2021년08월_계_0~9세,"12,486",97,292,322,253,297,933,"1,105",511,843,"2,612",70,484,"1,135","1,321","2,147",64
2021년08월_계_10~19세,"17,230",251,460,529,342,420,"1,482","1,309",773,"1,218","2,459",94,685,"1,954","1,916","3,220",118
2021년08월_계_20~29세,"32,425",500,"1,087","1,233",790,851,"2,587","2,215","1,540","5,763","3,291",210,"1,019","4,419","2,501","4,341",78
2021년08월_계_30~39세,"24,494",430,912,"1,095",744,799,"1,916","1,922","1,391","1,985","3,625",208,920,"2,916","2,214","3,341",76
2021년08월_계_40~49세,"31,482",711,"1,101","1,320",944,"1,069","2,534","2,237","1,739","2,169","4,693",239,"1,184","3,539","3,000","4,842",161
2021년08월_계_50~59세,"39,210","1,033","1,802","2,194","1,513","1,382","3,003","2,718","2,212","2,208","3,719",458,"1,737","5,449","3,615","6,008",159
2021년08월_계_60~69세,"39,744","1,294","2,189","2,545","1,963","1,798","2,814","2,522","2,651","2,000","3,455",553,"1,946","5,270","3,042","5,477",225
2021년08월_계_70~79세,"21,745",767,"1,054","1,467","1,020","1,219","1,481","1,193","1,542","1,171","2,041",321,"1,223","2,980","1,475","2,680",111
2021년08월_계_80~89세,"9,174",340,375,558,360,493,664,591,536,514,902,164,527,"1,266",648,"1,185",51
2021년08월_계_90~99세,"1,185",32,34,54,35,55,91,88,56,67,155,21,68,156,72,191,10
2021년08월_계_100세 이상,65,12,1,9,3,1,2,3,4,1,9,1,1,4,2,10,2
2021년08월_남_총인구수,"112,060","2,812","4,644","5,666","4,206","4,026","8,378","7,635","6,232","9,323","12,999","1,251","4,809","14,196","9,420","15,957",506
2021년08월_남_연령구간인구수,"112,060","2,812","4,644","5,666","4,206","4,026","8,378","7,635","6,232","9,323","12,999","1,251","4,809","14,196","9,420","15,957",506
2021년08월_남_0~9세,"6,392",51,147,169,147,159,493,570,258,398,"1,366",41,255,583,673,"1,053",29
2021년08월_남_10~19세,"8,879",139,229,260,175,212,766,656,428,604,"1,357",55,364,986,934,"1,650",64
2021년08월_남_20~29세,"17,511",281,595,690,442,460,"1,316","1,138",824,"3,377","1,710",115,593,"2,371","1,293","2,262",44
2021년08월_남_30~39세,"12,801",273,487,625,433,435,982,"1,002",737,"1,115","1,732",128,471,"1,598","1,101","1,648",34
2021년08월_남_40~49세,"15,694",422,600,733,570,597,"1,197","1,062",905,"1,129","2,311",134,567,"1,762","1,415","2,213",77
2021년08월_남_50~59세,"18,698",552,907,"1,106",790,666,"1,409","1,282","1,020","1,075","1,726",245,829,"2,572","1,653","2,783",83
2021년08월_남_60~69세,"18,512",616,"1,038","1,211",997,804,"1,284","1,151","1,159",895,"1,534",309,887,"2,487","1,431","2,601",108
2021년08월_남_70~79세,"9,920",349,501,651,508,513,662,552,700,510,909,154,596,"1,315",689,"1,260",51
2021년08월_남_80~89세,"3,376",124,133,213,137,164,243,201,192,205,332,64,219,487,215,435,12
2021년08월_남_90~99세,268,3,7,8,6,15,26,20,9,15,21,6,28,34,16,51,3
2021년08월_남_100세 이상,9,2,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1
2021년08월_여_총인구수,"117,180","2,655","4,663","5,660","3,761","4,358","9,129","8,268","6,723","8,616","13,962","1,088","4,985","14,892","10,386","17,485",549
2021년08월_여_연령구간인구수,"117,180","2,655","4,663","5,660","3,761","4,358","9,129","8,268","6,723","8,616","13,962","1,088","4,985","14,892","10,386","17,485",549
2021년08월_여_0~9세,"6,094",46,145,153,106,138,440,535,253,445,"1,246",29,229,552,648,"1,094",35
2021년08월_여_10~19세,"8,351",112,231,269,167,208,716,653,345,614,"1,102",39,321,968,982,"1,570",54
2021년08월_여_20~29세,"14,914",219,492,543,348,391,"1,271","1,077",716,"2,386","1,581",95,426,"2,048","1,208","2,079",34
2021년08월_여_30~39세,"11,693",157,425,470,311,364,934,920,654,870,"1,893",80,449,"1,318","1,113","1,693",42
2021년08월_여_40~49세,"15,788",289,501,587,374,472,"1,337","1,175",834,"1,040","2,382",105,617,"1,777","1,585","2,629",84
2021년08월_여_50~59세,"20,512",481,895,"1,088",723,716,"1,594","1,436","1,192","1,133","1,993",213,908,"2,877","1,962","3,225",76
2021년08월_여_60~69세,"21,232",678,"1,151","1,334",966,994,"1,530","1,371","1,492","1,105","1,921",244,"1,059","2,783","1,611","2,876",117
2021년08월_여_70~79세,"11,825",418,553,816,512,706,819,641,842,661,"1,132",167,627,"1,665",786,"1,420",60
2021년08월_여_80~89세,"5,798",216,242,345,223,329,421,390,344,309,570,100,308,779,433,750,39
2021년08월_여_90~99세,917,29,27,46,29,40,65,68,47,52,134,15,40,122,56,140,7
2021년08월_여_100세 이상,56,10,1,9,2,0,2,2,4,1,8,1,1,3,2,9,1
