카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년12월_계_총인구수,"295,696","27,361","28,995","19,230","15,790","19,091","23,166","27,815","19,816","34,996","20,887","33,090","25,459"
2021년12월_계_연령구간인구수,"295,696","27,361","28,995","19,230","15,790","19,091","23,166","27,815","19,816","34,996","20,887","33,090","25,459"
2021년12월_계_0~9세,"17,269","1,564","1,716",707,577,823,"1,417","1,637",941,"2,585","1,320","1,515","2,467"
2021년12월_계_10~19세,"25,481","2,320","2,580","1,168",906,"1,394","2,506","2,622","1,347","3,533","1,705","2,512","2,888"
2021년12월_계_20~29세,"42,409","3,706","4,109","2,854","2,364","3,188","3,683","4,105","2,801","5,146","2,866","4,866","2,721"
2021년12월_계_30~39세,"38,076","3,502","3,393","2,422","2,148","2,796","2,567","3,410","2,769","4,785","2,516","4,297","3,471"
2021년12월_계_40~49세,"44,577","3,894","4,239","2,607","1,962","2,433","3,808","4,252","2,638","5,796","3,067","4,762","5,119"
2021년12월_계_50~59세,"59,417","5,360","5,825","4,117","3,308","4,104","5,129","5,592","3,950","7,004","4,175","6,890","3,963"
2021년12월_계_60~69세,"43,573","4,436","4,544","3,372","2,942","3,045","2,781","4,056","3,377","3,945","3,173","4,867","3,035"
2021년12월_계_70~79세,"15,806","1,662","1,763","1,301","1,056",785,649,"1,364","1,301","1,323","1,293","2,101","1,208"
2021년12월_계_80~89세,"7,840",795,731,603,447,449,506,675,603,751,662,"1,120",498
2021년12월_계_90~99세,"1,221",117,91,77,80,73,117,101,88,125,109,154,89
2021년12월_계_100세 이상,27,5,4,2,0,1,3,1,1,3,1,6,0
2021년12월_남_총인구수,"147,316","13,726","14,677","10,138","7,852","9,143","11,697","13,633","9,783","17,424","10,342","16,355","12,546"
2021년12월_남_연령구간인구수,"147,316","13,726","14,677","10,138","7,852","9,143","11,697","13,633","9,783","17,424","10,342","16,355","12,546"
2021년12월_남_0~9세,"8,785",793,884,380,277,417,725,820,468,"1,315",700,762,"1,244"
2021년12월_남_10~19세,"13,029","1,212","1,323",619,475,731,"1,258","1,328",689,"1,757",878,"1,255","1,504"
2021년12월_남_20~29세,"22,286","1,962","2,269","1,535","1,210","1,637","1,929","2,160","1,448","2,726","1,459","2,581","1,370"
2021년12월_남_30~39세,"19,935","1,801","1,816","1,388","1,171","1,428","1,330","1,737","1,504","2,498","1,282","2,298","1,682"
2021년12월_남_40~49세,"22,298","1,979","2,109","1,422","1,013","1,115","1,870","2,067","1,355","2,828","1,549","2,345","2,646"
2021년12월_남_50~59세,"28,800","2,617","2,833","2,190","1,569","1,803","2,535","2,670","1,871","3,415","2,013","3,361","1,923"
2021년12월_남_60~69세,"22,170","2,271","2,314","1,772","1,477","1,523","1,576","2,007","1,635","2,066","1,616","2,498","1,415"
2021년12월_남_70~79세,"7,198",788,848,620,490,345,309,618,581,567,584,892,556
2021년12월_남_80~89세,"2,547",273,265,191,152,127,146,200,214,224,244,330,181
2021년12월_남_90~99세,262,29,16,21,18,16,18,25,18,27,17,32,25
2021년12월_남_100세 이상,6,1,0,0,0,1,1,1,0,1,0,1,0
2021년12월_여_총인구수,"148,380","13,635","14,318","9,092","7,938","9,948","11,469","14,182","10,033","17,572","10,545","16,735","12,913"
2021년12월_여_연령구간인구수,"148,380","13,635","14,318","9,092","7,938","9,948","11,469","14,182","10,033","17,572","10,545","16,735","12,913"
2021년12월_여_0~9세,"8,484",771,832,327,300,406,692,817,473,"1,270",620,753,"1,223"
2021년12월_여_10~19세,"12,452","1,108","1,257",549,431,663,"1,248","1,294",658,"1,776",827,"1,257","1,384"
2021년12월_여_20~29세,"20,123","1,744","1,840","1,319","1,154","1,551","1,754","1,945","1,353","2,420","1,407","2,285","1,351"
2021년12월_여_30~39세,"18,141","1,701","1,577","1,034",977,"1,368","1,237","1,673","1,265","2,287","1,234","1,999","1,789"
2021년12월_여_40~49세,"22,279","1,915","2,130","1,185",949,"1,318","1,938","2,185","1,283","2,968","1,518","2,417","2,473"
2021년12월_여_50~59세,"30,617","2,743","2,992","1,927","1,739","2,301","2,594","2,922","2,079","3,589","2,162","3,529","2,040"
2021년12월_여_60~69세,"21,403","2,165","2,230","1,600","1,465","1,522","1,205","2,049","1,742","1,879","1,557","2,369","1,620"
2021년12월_여_70~79세,"8,608",874,915,681,566,440,340,746,720,756,709,"1,209",652
2021년12월_여_80~89세,"5,293",522,466,412,295,322,360,475,389,527,418,790,317
2021년12월_여_90~99세,959,88,75,56,62,57,99,76,70,98,92,122,64
2021년12월_여_100세 이상,21,4,4,2,0,0,2,0,1,2,1,5,0
