카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년02월_계_총인구수,"479,005","37,964","40,426","29,156","24,194","29,694","33,520","27,505","25,331","25,439","25,673","47,790","28,217","21,620","15,965","8,760","57,751"
2020년02월_계_연령구간인구수,"479,005","37,964","40,426","29,156","24,194","29,694","33,520","27,505","25,331","25,439","25,673","47,790","28,217","21,620","15,965","8,760","57,751"
2020년02월_계_0~9세,"31,174","2,687","2,611","1,302","1,136","1,793","2,067","1,326","1,642","2,907","1,100","3,099","1,760","1,270",828,465,"5,181"
2020년02월_계_10~19세,"40,161","2,508","2,846","1,988","1,830","2,605","2,961","1,814","2,445","2,147","1,775","3,760","2,251","1,839","1,324",568,"7,500"
2020년02월_계_20~29세,"65,999","5,087","5,443","4,336","3,833","4,425","4,531","4,624","3,381","2,602","3,612","6,619","4,004","3,019","2,130","1,193","7,160"
2020년02월_계_30~39세,"69,081","6,232","5,666","4,104","3,329","4,176","4,307","4,313","3,744","4,685","3,433","7,160","4,268","2,977","2,148","1,185","7,354"
2020년02월_계_40~49세,"78,112","5,906","6,363","4,250","3,622","4,886","5,362","4,271","4,451","4,787","3,819","7,905","4,404","3,415","2,399","1,177","11,095"
2020년02월_계_50~59세,"77,142","6,037","6,846","5,078","4,134","4,901","5,745","4,263","3,844","3,347","4,370","7,780","4,594","3,612","2,727","1,609","8,255"
2020년02월_계_60~69세,"61,682","4,946","5,416","4,220","3,398","3,653","4,534","3,476","2,990","2,630","3,728","6,079","3,740","3,066","2,370","1,395","6,041"
2020년02월_계_70~79세,"38,333","3,144","3,525","2,718","2,109","2,254","2,756","2,363","1,952","1,602","2,612","3,801","2,257","1,655","1,446",782,"3,357"
2020년02월_계_80~89세,"14,880","1,218","1,491","1,017",678,872,"1,079",925,753,630,"1,075","1,393",832,664,509,334,"1,410"
2020년02월_계_90~99세,"2,034",176,187,130,110,111,159,108,120,84,130,170,96,91,75,47,240
