,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년06월_계_총인구수,"312,720","18,192","17,019","17,859","19,016","37,764","24,525","15,973","14,403","23,002","27,252","16,091","29,895","18,668","33,061"
2020년06월_계_연령구간인구수,"312,720","18,192","17,019","17,859","19,016","37,764","24,525","15,973","14,403","23,002","27,252","16,091","29,895","18,668","33,061"
2020년06월_계_0~9세,"20,526","1,340","1,483",764,814,"1,776","1,633",798,866,"1,482","1,394","2,191","2,720","1,489","1,776"
2020년06월_계_10~19세,"24,301","1,549","1,136","1,199",963,"2,653","1,981","1,174","1,140","1,847","2,251","1,451","2,442","1,974","2,541"
2020년06월_계_20~29세,"50,162","2,291","2,456","3,119","7,061","7,817","3,155","2,173","1,889","2,962","4,228","1,624","4,279","2,195","4,913"
2020년06월_계_30~39세,"45,224","2,491","2,993","2,562","3,194","5,825","3,523","2,007","1,944","2,930","3,574","2,579","4,620","2,526","4,456"
2020년06월_계_40~49세,"47,981","2,927","2,765","2,560","2,004","5,435","3,858","2,258","2,136","3,445","4,125","3,066","4,929","3,331","5,142"
2020년06월_계_50~59세,"49,544","3,039","2,818","3,013","2,000","5,486","4,102","2,740","2,608","4,053","4,592","2,174","4,393","2,996","5,530"
2020년06월_계_60~69세,"37,735","2,163","1,782","2,404","1,382","4,220","3,220","2,304","1,928","3,203","3,660","1,549","3,245","2,159","4,516"
2020년06월_계_70~79세,"24,418","1,480","1,042","1,398","1,013","2,960","2,018","1,610","1,262","1,990","2,222",967,"2,163","1,360","2,933"
2020년06월_계_80~89세,"10,949",772,444,676,476,"1,363",896,799,543,929,"1,039",424,932,549,"1,107"
2020년06월_계_90~99세,"1,596",110,72,126,85,199,127,90,83,142,146,51,149,79,137
2020년06월_계_100세 이상,284,30,28,38,24,30,12,20,4,19,21,15,23,10,10
2020년06월_남_총인구수,"149,920","8,658","8,120","8,583","8,493","18,261","11,543","7,780","6,858","11,131","13,197","7,767","14,423","9,028","16,078"
2020년06월_남_연령구간인구수,"149,920","8,658","8,120","8,583","8,493","18,261","11,543","7,780","6,858","11,131","13,197","7,767","14,423","9,028","16,078"
2020년06월_남_0~9세,"10,543",682,762,385,463,914,829,421,460,753,713,"1,099","1,355",786,921
2020년06월_남_10~19세,"12,133",752,550,594,432,"1,350",964,621,561,941,"1,136",692,"1,209","1,032","1,299"
2020년06월_남_20~29세,"24,190","1,135","1,117","1,500","2,768","4,021","1,556","1,088",948,"1,467","2,145",798,"2,099","1,061","2,487"
2020년06월_남_30~39세,"22,458","1,227","1,461","1,266","1,561","2,940","1,718","1,055",971,"1,497","1,874","1,145","2,257","1,197","2,289"
2020년06월_남_40~49세,"23,709","1,434","1,369","1,288",985,"2,594","1,847","1,146","1,024","1,691","2,036","1,625","2,495","1,657","2,518"
2020년06월_남_50~59세,"24,017","1,506","1,411","1,495","1,000","2,609","1,894","1,365","1,245","2,003","2,184","1,071","2,143","1,437","2,654"
2020년06월_남_60~69세,"17,731","1,028",840,"1,146",630,"1,965","1,490","1,078",921,"1,534","1,676",714,"1,530","1,029","2,150"
2020년06월_남_70~79세,"10,419",584,428,604,433,"1,252",864,662,505,855,987,427,928,592,"1,298"
2020년06월_남_80~89세,"4,200",269,158,264,188,535,344,307,198,343,407,179,365,219,424
2020년06월_남_90~99세,446,33,21,29,26,73,36,28,23,42,36,13,37,16,33
2020년06월_남_100세 이상,74,8,3,12,7,8,1,9,2,5,3,4,5,2,5
2020년06월_여_총인구수,"162,800","9,534","8,899","9,276","10,523","19,503","12,982","8,193","7,545","11,871","14,055","8,324","15,472","9,640","16,983"
2020년06월_여_연령구간인구수,"162,800","9,534","8,899","9,276","10,523","19,503","12,982","8,193","7,545","11,871","14,055","8,324","15,472","9,640","16,983"
2020년06월_여_0~9세,"9,983",658,721,379,351,862,804,377,406,729,681,"1,092","1,365",703,855
2020년06월_여_10~19세,"12,168",797,586,605,531,"1,303","1,017",553,579,906,"1,115",759,"1,233",942,"1,242"
2020년06월_여_20~29세,"25,972","1,156","1,339","1,619","4,293","3,796","1,599","1,085",941,"1,495","2,083",826,"2,180","1,134","2,426"
2020년06월_여_30~39세,"22,766","1,264","1,532","1,296","1,633","2,885","1,805",952,973,"1,433","1,700","1,434","2,363","1,329","2,167"
2020년06월_여_40~49세,"24,272","1,493","1,396","1,272","1,019","2,841","2,011","1,112","1,112","1,754","2,089","1,441","2,434","1,674","2,624"
2020년06월_여_50~59세,"25,527","1,533","1,407","1,518","1,000","2,877","2,208","1,375","1,363","2,050","2,408","1,103","2,250","1,559","2,876"
2020년06월_여_60~69세,"20,004","1,135",942,"1,258",752,"2,255","1,730","1,226","1,007","1,669","1,984",835,"1,715","1,130","2,366"
2020년06월_여_70~79세,"13,999",896,614,794,580,"1,708","1,154",948,757,"1,135","1,235",540,"1,235",768,"1,635"
2020년06월_여_80~89세,"6,749",503,286,412,288,828,552,492,345,586,632,245,567,330,683
2020년06월_여_90~99세,"1,150",77,51,97,59,126,91,62,60,100,110,38,112,63,104
2020년06월_여_100세 이상,210,22,25,26,17,22,11,11,2,14,18,11,18,8,5
