,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년10월_계_총인구수,"1,033,729","218,234","19,756","43,363","7,124","50,479","25,923","41,487","30,102","252,396","41,134","29,552","34,603","27,809","44,770","40,444","26,308","7,776","181,146","4,211","12,181","3,402","3,872","14,110","1,203","42,290","11,091","14,457","9,003","10,353","16,047","19,394","7,280","12,252","187,533","63,643","10,224","10,040","16,925","6,078","11,008","31,297","9,319","7,476","8,883","9,399","3,241","194,420","16,934","8,439","4,468","11,169","7,448","17,527","8,596","21,296","10,149","25,771","13,001","6,669","42,953"
2021년10월_계_연령구간인구수,"1,033,729","218,234","19,756","43,363","7,124","50,479","25,923","41,487","30,102","252,396","41,134","29,552","34,603","27,809","44,770","40,444","26,308","7,776","181,146","4,211","12,181","3,402","3,872","14,110","1,203","42,290","11,091","14,457","9,003","10,353","16,047","19,394","7,280","12,252","187,533","63,643","10,224","10,040","16,925","6,078","11,008","31,297","9,319","7,476","8,883","9,399","3,241","194,420","16,934","8,439","4,468","11,169","7,448","17,527","8,596","21,296","10,149","25,771","13,001","6,669","42,953"
2021년10월_계_0~9세,"79,744","17,234","1,040","6,240",237,"4,141","1,966","2,209","1,401","18,548","3,074","2,042","2,174","1,984","3,220","3,507","2,126",421,"13,259",105,"1,048",57,44,"2,067",60,"4,543",475,803,368,418,"1,204",972,399,696,"12,329","4,646",358,649,"1,099",154,536,"3,015",630,238,382,489,133,"18,374","1,364",295,164,958,517,"1,399",340,"2,267","1,015","3,294","1,790",475,"4,496"
2021년10월_계_10~19세,"98,185","19,336","1,788","3,978",365,"4,571","2,659","3,842","2,133","25,760","5,141","2,626","2,490","3,267","4,612","3,906","2,982",736,"14,233",151,"1,023",131,137,"1,271",54,"4,055",664,"1,340",700,845,"1,327","1,161",430,944,"17,693","7,872",604,777,"1,207",313,824,"3,469",561,448,648,760,210,"21,163","1,792",623,262,993,753,"2,422",523,"2,259","1,205","3,302","1,005",696,"5,328"
2021년10월_계_20~29세,"126,519","28,184","2,192","3,641",622,"6,765","3,867","6,228","4,869","37,250","5,327","4,522","6,221","4,029","6,316","5,886","3,960",989,"19,020",278,"1,064",248,212,"1,127",170,"5,042","1,730","1,492","1,058","1,123","1,524","1,946",674,"1,332","21,284","7,996",900,"1,086","1,770",531,"1,277","3,243","1,110",918,904,"1,245",304,"20,781","2,168",801,430,"1,144",774,"2,204","1,075","2,222","1,183","2,198","1,250",658,"4,674"
2021년10월_계_30~39세,"130,667","28,420","1,749","7,522",643,"6,866","3,704","4,236","3,700","34,516","4,487","4,033","6,068","3,416","6,159","6,117","3,338",898,"21,388",263,"1,340",194,169,"2,281",147,"6,345","1,050","1,433",791,881,"1,998","2,209",876,"1,411","20,501","6,237",870,"1,318","2,261",525,"1,242","3,872","1,227",714,842,"1,030",363,"25,842","2,092",672,335,"1,412",766,"2,070",984,"3,042","1,239","3,629","2,389",731,"6,481"
2021년10월_계_40~49세,"166,365","33,919","3,032","7,568",757,"7,955","4,325","6,180","4,102","40,659","7,145","4,545","5,228","4,625","7,415","6,315","4,165","1,221","26,680",388,"1,982",291,270,"2,563",151,"6,674","1,362","2,183","1,189","1,384","2,427","2,948","1,064","1,804","29,368","11,154","1,332","1,368","2,338",694,"1,550","5,557","1,312","1,033","1,171","1,351",508,"35,739","2,861","1,122",548,"1,723","1,202","3,405","1,267","3,798","1,707","5,142","2,173","1,130","9,661"
2021년10월_계_50~59세,"184,697","41,109","3,884","6,119","1,288","9,652","5,109","9,093","5,964","51,161","8,260","6,027","6,589","5,918","9,016","8,101","5,848","1,402","29,531",717,"1,958",665,696,"1,897",180,"6,627","1,848","2,435","1,659","1,875","2,509","3,209","1,190","2,066","33,720","12,461","1,705","1,598","2,822","1,111","1,878","5,182","1,605","1,365","1,718","1,658",617,"29,176","2,232","1,366",756,"1,796","1,177","2,806","1,497","3,416","1,416","3,478","1,806","1,133","6,297"
2021년10월_계_60~69세,"150,532","31,819","3,389","5,308","1,685","6,903","2,972","6,374","5,188","31,254","5,268","3,845","4,107","3,380","5,636","4,775","2,953","1,290","31,552","1,179","2,114",897,"1,005","1,772",256,"5,579","2,115","2,490","1,823","2,135","2,770","3,727","1,417","2,273","31,040","8,114","2,326","1,818","3,077","1,478","2,223","4,435","1,670","1,588","1,935","1,739",637,"24,867","2,166","1,568",950,"1,821","1,203","2,089","1,698","2,729","1,339","3,032","1,525","1,033","3,714"
2021년10월_계_70~79세,"65,504","12,203","1,689","1,915",927,"2,540",925,"2,338","1,869","8,979","1,717","1,304","1,183",773,"1,591","1,232",638,541,"16,957",710,"1,071",540,724,782,131,"2,437","1,225","1,498",902,"1,175","1,596","2,141",791,"1,234","15,185","3,490","1,436","1,008","1,704",853,"1,080","1,804",859,874,918,825,334,"12,180","1,423","1,240",654,897,674,776,845,"1,044",685,"1,149",657,496,"1,640"
