카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년02월_계_총인구수,"453,827","48,527","13,205","11,058","30,435","9,444","13,539","11,626","3,955","7,586",0,577,0,155,0,"22,669","33,976","27,538","41,075","45,110","60,475","72,877"
2020년02월_계_연령구간인구수,"453,827","48,527","13,205","11,058","30,435","9,444","13,539","11,626","3,955","7,586",0,577,0,155,0,"22,669","33,976","27,538","41,075","45,110","60,475","72,877"
2020년02월_계_0~9세,"44,925","5,316",558,394,"1,917",192,755,527,120,586,0,23,0,4,0,"1,288","3,748","2,521","4,122","5,357","8,920","8,577"
2020년02월_계_10~19세,"48,422","4,716",816,817,"2,889",296,"1,052",704,209,546,0,38,0,12,0,"1,574","4,390","2,854","5,548","5,871","7,322","8,768"
2020년02월_계_20~29세,"55,052","5,647","1,462","1,337","3,838","2,350","1,524","1,296",419,945,0,62,0,4,0,"3,492","4,274","3,797","4,427","5,045","6,452","8,681"
2020년02월_계_30~39세,"67,106","8,118","1,381",952,"3,199","2,303","1,544","1,091",282,862,0,52,0,9,0,"3,000","4,967","3,904","5,318","6,741","11,712","11,671"
2020년02월_계_40~49세,"79,192","7,433","1,758","1,349","4,623",951,"2,224","1,400",381,875,0,74,0,15,0,"3,439","6,320","4,424","8,407","8,982","11,929","14,608"
2020년02월_계_50~59세,"70,005","6,882","2,543","2,272","5,973","1,343","2,578","2,427",784,"1,260",0,106,0,28,0,"4,236","5,046","4,567","6,352","6,537","6,868","10,203"
2020년02월_계_60~69세,"45,645","4,913","2,205","1,900","4,210","1,078","1,936","2,127",749,"1,168",0,89,0,32,0,"2,946","2,612","2,889","3,676","3,631","3,880","5,604"
2020년02월_계_70~79세,"28,101","3,500","1,490","1,280","2,447",548,"1,159","1,234",591,913,0,90,0,35,0,"1,790","1,711","1,687","2,075","1,978","2,329","3,244"
