카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년12월_계_총인구수,"27,913","12,687","2,786","2,306","2,596","2,967","4,571"
2021년12월_계_연령구간인구수,"27,913","12,687","2,786","2,306","2,596","2,967","4,571"
2021년12월_계_0~9세,"1,269",804,53,61,81,87,183
2021년12월_계_10~19세,"1,770","1,116",160,88,88,111,207
2021년12월_계_20~29세,"2,327","1,224",194,187,159,152,411
2021년12월_계_30~39세,"2,244","1,223",152,157,192,208,312
2021년12월_계_40~49세,"3,444","1,933",280,219,245,304,463
2021년12월_계_50~59세,"4,938","2,161",513,436,444,481,903
2021년12월_계_60~69세,"5,943","2,208",668,519,681,747,"1,120"
2021년12월_계_70~79세,"3,632","1,237",471,364,429,504,627
2021년12월_계_80~89세,"2,003",659,255,241,239,316,293
2021년12월_계_90~99세,331,116,40,32,36,55,52
2021년12월_계_100세 이상,12,6,0,2,2,2,0
2021년12월_남_총인구수,"14,251","6,462","1,432","1,162","1,340","1,529","2,326"
2021년12월_남_연령구간인구수,"14,251","6,462","1,432","1,162","1,340","1,529","2,326"
2021년12월_남_0~9세,653,416,28,28,40,41,100
2021년12월_남_10~19세,936,594,90,37,50,59,106
2021년12월_남_20~29세,"1,390",746,114,103,101,92,234
2021년12월_남_30~39세,"1,236",638,88,88,117,115,190
2021년12월_남_40~49세,"1,868",980,158,131,146,195,258
2021년12월_남_50~59세,"2,654","1,141",292,245,220,275,481
2021년12월_남_60~69세,"3,001","1,085",337,268,358,396,557
2021년12월_남_70~79세,"1,690",588,205,158,203,247,289
2021년12월_남_80~89세,753,246,113,96,97,105,96
2021년12월_남_90~99세,68,26,7,8,8,4,15
2021년12월_남_100세 이상,2,2,0,0,0,0,0
2021년12월_여_총인구수,"13,662","6,225","1,354","1,144","1,256","1,438","2,245"
2021년12월_여_연령구간인구수,"13,662","6,225","1,354","1,144","1,256","1,438","2,245"
2021년12월_여_0~9세,616,388,25,33,41,46,83
2021년12월_여_10~19세,834,522,70,51,38,52,101
2021년12월_여_20~29세,937,478,80,84,58,60,177
2021년12월_여_30~39세,"1,008",585,64,69,75,93,122
2021년12월_여_40~49세,"1,576",953,122,88,99,109,205
2021년12월_여_50~59세,"2,284","1,020",221,191,224,206,422
2021년12월_여_60~69세,"2,942","1,123",331,251,323,351,563
2021년12월_여_70~79세,"1,942",649,266,206,226,257,338
2021년12월_여_80~89세,"1,250",413,142,145,142,211,197
2021년12월_여_90~99세,263,90,33,24,28,51,37
2021년12월_여_100세 이상,10,4,0,2,2,2,0
