카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년08월_계_총인구수,"295,492","24,534","29,346","19,456","15,886","19,304","23,249","28,193","20,141","35,122","21,036","33,488","25,737"
2021년08월_계_연령구간인구수,"295,492","24,534","29,346","19,456","15,886","19,304","23,249","28,193","20,141","35,122","21,036","33,488","25,737"
2021년08월_계_0~9세,"17,638","1,217","1,814",754,596,857,"1,449","1,718",983,"2,628","1,377","1,612","2,633"
2021년08월_계_10~19세,"25,890","2,171","2,666","1,208",919,"1,453","2,489","2,681","1,396","3,631","1,755","2,647","2,874"
2021년08월_계_20~29세,"42,886","3,447","4,157","2,879","2,439","3,259","3,793","4,189","2,869","5,204","2,924","4,935","2,791"
2021년08월_계_30~39세,"37,588","2,687","3,433","2,466","2,144","2,834","2,589","3,469","2,814","4,771","2,512","4,291","3,578"
2021년08월_계_40~49세,"44,850","3,459","4,348","2,661","1,996","2,473","3,832","4,360","2,665","5,862","3,139","4,884","5,171"
2021년08월_계_50~59세,"59,680","5,025","5,895","4,197","3,362","4,174","5,163","5,652","4,051","7,008","4,183","7,005","3,965"
2021년08월_계_60~69세,"42,398","4,065","4,507","3,315","2,849","2,974","2,674","3,992","3,362","3,831","3,114","4,746","2,969"
2021년08월_계_70~79세,"15,680","1,590","1,720","1,304","1,060",770,648,"1,380","1,317","1,309","1,282","2,111","1,189"
2021년08월_계_80~89세,"7,658",762,713,597,438,438,495,658,597,745,639,"1,092",484
2021년08월_계_90~99세,"1,193",106,89,73,82,71,113,93,85,128,110,160,83
2021년08월_계_100세 이상,31,5,4,2,1,1,4,1,2,5,1,5,0
2021년08월_남_총인구수,"147,178","12,315","14,839","10,245","7,906","9,260","11,768","13,844","9,963","17,470","10,384","16,525","12,659"
2021년08월_남_연령구간인구수,"147,178","12,315","14,839","10,245","7,906","9,260","11,768","13,844","9,963","17,470","10,384","16,525","12,659"
2021년08월_남_0~9세,"8,956",620,925,410,288,437,738,864,482,"1,333",724,810,"1,325"
2021년08월_남_10~19세,"13,249","1,138","1,380",635,481,762,"1,261","1,363",710,"1,800",899,"1,328","1,492"
2021년08월_남_20~29세,"22,475","1,856","2,272","1,546","1,233","1,669","1,985","2,198","1,487","2,749","1,479","2,617","1,384"
2021년08월_남_30~39세,"19,648","1,392","1,835","1,403","1,177","1,451","1,339","1,761","1,522","2,489","1,275","2,275","1,729"
2021년08월_남_40~49세,"22,391","1,720","2,179","1,459","1,033","1,113","1,886","2,117","1,381","2,848","1,574","2,399","2,682"
2021년08월_남_50~59세,"29,033","2,482","2,858","2,243","1,609","1,855","2,556","2,706","1,916","3,431","2,024","3,427","1,926"
2021년08월_남_60~69세,"21,590","2,068","2,300","1,727","1,425","1,496","1,526","1,991","1,647","2,014","1,588","2,425","1,383"
2021년08월_남_70~79세,"7,095",750,823,616,495,339,310,624,587,555,572,882,542
2021년08월_남_80~89세,"2,475",261,251,189,147,121,147,194,212,224,231,325,173
2021년08월_남_90~99세,259,27,16,17,18,16,19,25,18,26,18,36,23
2021년08월_남_100세 이상,7,1,0,0,0,1,1,1,1,1,0,1,0
2021년08월_여_총인구수,"148,314","12,219","14,507","9,211","7,980","10,044","11,481","14,349","10,178","17,652","10,652","16,963","13,078"
2021년08월_여_연령구간인구수,"148,314","12,219","14,507","9,211","7,980","10,044","11,481","14,349","10,178","17,652","10,652","16,963","13,078"
2021년08월_여_0~9세,"8,682",597,889,344,308,420,711,854,501,"1,295",653,802,"1,308"
2021년08월_여_10~19세,"12,641","1,033","1,286",573,438,691,"1,228","1,318",686,"1,831",856,"1,319","1,382"
2021년08월_여_20~29세,"20,411","1,591","1,885","1,333","1,206","1,590","1,808","1,991","1,382","2,455","1,445","2,318","1,407"
2021년08월_여_30~39세,"17,940","1,295","1,598","1,063",967,"1,383","1,250","1,708","1,292","2,282","1,237","2,016","1,849"
2021년08월_여_40~49세,"22,459","1,739","2,169","1,202",963,"1,360","1,946","2,243","1,284","3,014","1,565","2,485","2,489"
2021년08월_여_50~59세,"30,647","2,543","3,037","1,954","1,753","2,319","2,607","2,946","2,135","3,577","2,159","3,578","2,039"
2021년08월_여_60~69세,"20,808","1,997","2,207","1,588","1,424","1,478","1,148","2,001","1,715","1,817","1,526","2,321","1,586"
2021년08월_여_70~79세,"8,585",840,897,688,565,431,338,756,730,754,710,"1,229",647
2021년08월_여_80~89세,"5,183",501,462,408,291,317,348,464,385,521,408,767,311
2021년08월_여_90~99세,934,79,73,56,64,55,94,68,67,102,92,124,60
2021년08월_여_100세 이상,24,4,4,2,1,0,3,0,1,4,1,4,0
