카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년09월_계_총인구수,"47,679","21,117","3,360","4,360","2,261","1,948","2,395","3,257",961,"2,855","1,889","3,276"
2020년09월_계_연령구간인구수,"47,679","21,117","3,360","4,360","2,261","1,948","2,395","3,257",961,"2,855","1,889","3,276"
2020년09월_계_0~9세,"2,427","1,577",109,173,49,58,74,111,33,88,51,104
2020년09월_계_10~19세,"3,465","2,114",160,309,118,97,112,181,47,114,79,134
2020년09월_계_20~29세,"4,474","2,738",239,296,147,116,109,334,45,159,105,186
2020년09월_계_30~39세,"3,348","2,002",179,271,105,75,109,179,37,125,80,186
2020년09월_계_40~49세,"5,444","3,090",320,433,205,157,187,280,69,222,183,298
2020년09월_계_50~59세,"8,524","3,552",660,814,446,367,420,634,185,518,342,586
2020년09월_계_60~69세,"9,039","2,959",789,960,512,466,578,673,221,695,414,772
2020년09월_계_70~79세,"6,521","1,970",500,680,395,326,469,508,190,516,362,605
2020년09월_계_80~89세,"3,870",990,352,380,246,256,283,318,114,352,225,354
2020년09월_계_90~99세,529,111,46,39,37,29,51,38,19,62,48,49
2020년09월_계_100세 이상,38,14,6,5,1,1,3,1,1,4,0,2
2020년09월_남_총인구수,"23,694","10,415","1,702","2,194","1,110",956,"1,159","1,661",477,"1,438",943,"1,639"
2020년09월_남_연령구간인구수,"23,694","10,415","1,702","2,194","1,110",956,"1,159","1,661",477,"1,438",943,"1,639"
2020년09월_남_0~9세,"1,254",808,60,96,25,29,31,50,19,54,28,54
2020년09월_남_10~19세,"1,780","1,058",80,164,58,55,69,103,27,54,41,71
2020년09월_남_20~29세,"2,509","1,460",136,177,91,68,64,221,24,98,65,105
2020년09월_남_30~39세,"1,763","1,017",104,140,58,41,58,102,23,69,50,101
2020년09월_남_40~49세,"2,959","1,573",177,247,115,96,109,163,44,150,105,180
2020년09월_남_50~59세,"4,510","1,825",363,443,239,197,226,344,101,279,183,310
2020년09월_남_60~69세,"4,591","1,476",415,496,249,239,296,336,119,347,222,396
2020년09월_남_70~79세,"2,855",831,243,291,175,133,204,219,78,240,162,279
2020년09월_남_80~89세,"1,333",340,112,132,90,90,90,114,36,132,71,126
2020년09월_남_90~99세,129,22,11,7,9,8,11,9,6,14,16,16
2020년09월_남_100세 이상,11,5,1,1,1,0,1,0,0,1,0,1
2020년09월_여_총인구수,"23,985","10,702","1,658","2,166","1,151",992,"1,236","1,596",484,"1,417",946,"1,637"
2020년09월_여_연령구간인구수,"23,985","10,702","1,658","2,166","1,151",992,"1,236","1,596",484,"1,417",946,"1,637"
2020년09월_여_0~9세,"1,173",769,49,77,24,29,43,61,14,34,23,50
2020년09월_여_10~19세,"1,685","1,056",80,145,60,42,43,78,20,60,38,63
2020년09월_여_20~29세,"1,965","1,278",103,119,56,48,45,113,21,61,40,81
2020년09월_여_30~39세,"1,585",985,75,131,47,34,51,77,14,56,30,85
2020년09월_여_40~49세,"2,485","1,517",143,186,90,61,78,117,25,72,78,118
2020년09월_여_50~59세,"4,014","1,727",297,371,207,170,194,290,84,239,159,276
2020년09월_여_60~69세,"4,448","1,483",374,464,263,227,282,337,102,348,192,376
2020년09월_여_70~79세,"3,666","1,139",257,389,220,193,265,289,112,276,200,326
2020년09월_여_80~89세,"2,537",650,240,248,156,166,193,204,78,220,154,228
2020년09월_여_90~99세,400,89,35,32,28,21,40,29,13,48,32,33
2020년09월_여_100세 이상,27,9,5,4,0,1,2,1,1,3,0,1
