카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년11월_계_총인구수,"27,581","7,783","1,852","1,657","2,304","1,310","1,889","1,160","4,134","2,415","1,666","1,411"
2021년11월_계_연령구간인구수,"27,581","7,783","1,852","1,657","2,304","1,310","1,889","1,160","4,134","2,415","1,666","1,411"
2021년11월_계_0~9세,979,436,50,29,64,19,39,28,185,59,36,34
2021년11월_계_10~19세,"1,871",640,125,80,115,34,82,47,422,191,84,51
2021년11월_계_20~29세,"2,186",736,108,92,136,63,129,76,440,205,91,110
2021년11월_계_30~39세,"1,622",617,94,68,99,63,78,44,311,98,87,63
2021년11월_계_40~49세,"2,898","1,030",161,141,200,87,146,86,496,296,146,109
2021년11월_계_50~59세,"4,764","1,282",285,277,417,234,339,197,720,460,294,259
2021년11월_계_60~69세,"5,271","1,317",404,353,452,288,419,239,687,415,340,357
2021년11월_계_70~79세,"4,122",948,318,300,383,254,356,226,481,334,304,218
2021년11월_계_80~89세,"3,282",659,274,261,372,235,248,190,328,304,237,174
2021년11월_계_90~99세,571,113,32,56,64,31,53,27,63,53,45,34
2021년11월_계_100세 이상,15,5,1,0,2,2,0,0,1,0,2,2
2021년11월_남_총인구수,"13,557","3,766",912,812,"1,087",646,920,580,"2,073","1,222",820,719
2021년11월_남_연령구간인구수,"13,557","3,766",912,812,"1,087",646,920,580,"2,073","1,222",820,719
2021년11월_남_0~9세,512,219,24,13,39,14,25,19,88,29,20,22
2021년11월_남_10~19세,"1,007",342,66,46,66,13,46,21,230,107,43,27
2021년11월_남_20~29세,"1,207",387,62,59,78,38,71,47,234,116,48,67
2021년11월_남_30~39세,856,296,58,40,50,43,41,26,167,55,48,32
2021년11월_남_40~49세,"1,612",538,95,92,102,55,76,60,260,173,101,60
2021년11월_남_50~59세,"2,656",693,163,146,232,135,184,115,398,276,167,147
2021년11월_남_60~69세,"2,780",638,223,198,233,154,224,134,359,227,188,202
2021년11월_남_70~79세,"1,789",422,123,126,168,111,171,92,215,139,118,104
2021년11월_남_80~89세,"1,030",212,91,82,107,78,75,61,105,90,78,51
2021년11월_남_90~99세,105,18,7,10,11,5,7,5,17,10,8,7
2021년11월_남_100세 이상,3,1,0,0,1,0,0,0,0,0,1,0
2021년11월_여_총인구수,"14,024","4,017",940,845,"1,217",664,969,580,"2,061","1,193",846,692
2021년11월_여_연령구간인구수,"14,024","4,017",940,845,"1,217",664,969,580,"2,061","1,193",846,692
2021년11월_여_0~9세,467,217,26,16,25,5,14,9,97,30,16,12
2021년11월_여_10~19세,864,298,59,34,49,21,36,26,192,84,41,24
2021년11월_여_20~29세,979,349,46,33,58,25,58,29,206,89,43,43
2021년11월_여_30~39세,766,321,36,28,49,20,37,18,144,43,39,31
2021년11월_여_40~49세,"1,286",492,66,49,98,32,70,26,236,123,45,49
2021년11월_여_50~59세,"2,108",589,122,131,185,99,155,82,322,184,127,112
2021년11월_여_60~69세,"2,491",679,181,155,219,134,195,105,328,188,152,155
2021년11월_여_70~79세,"2,333",526,195,174,215,143,185,134,266,195,186,114
2021년11월_여_80~89세,"2,252",447,183,179,265,157,173,129,223,214,159,123
2021년11월_여_90~99세,466,95,25,46,53,26,46,22,46,43,37,27
2021년11월_여_100세 이상,12,4,1,0,1,2,0,0,1,0,1,2
