카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년03월_계_총인구수,"48,361","13,983","2,830","6,612",704,"2,753","2,533","1,735","6,441","7,482","1,268","2,020"
2021년03월_계_연령구간인구수,"48,361","13,983","2,830","6,612",704,"2,753","2,533","1,735","6,441","7,482","1,268","2,020"
2021년03월_계_0~9세,"2,830","1,072",61,761,6,107,52,47,300,356,22,46
2021년03월_계_10~19세,"3,681","1,608",230,460,26,114,92,61,395,570,42,83
2021년03월_계_20~29세,"4,381","1,566",174,718,48,204,184,103,659,599,33,93
2021년03월_계_30~39세,"4,204","1,375",157,"1,091",25,170,121,59,552,532,41,81
2021년03월_계_40~49세,"6,137","2,304",221,947,63,285,157,147,818,933,107,155
2021년03월_계_50~59세,"8,526","2,411",468,"1,019",140,491,424,262,"1,272","1,388",301,350
2021년03월_계_60~69세,"8,426","1,771",549,817,151,587,582,400,"1,244","1,574",308,443
2021년03월_계_70~79세,"5,640","1,091",520,457,126,384,446,328,706,993,224,365
2021년03월_계_80~89세,"3,859",666,381,297,105,348,390,284,427,457,168,336
2021년03월_계_90~99세,661,116,68,42,13,62,85,44,65,79,20,67
2021년03월_계_100세 이상,16,3,1,3,1,1,0,0,3,1,2,1
2021년03월_남_총인구수,"24,278","7,077","1,360","3,496",363,"1,380","1,209",846,"3,305","3,671",622,949
2021년03월_남_연령구간인구수,"24,278","7,077","1,360","3,496",363,"1,380","1,209",846,"3,305","3,671",622,949
2021년03월_남_0~9세,"1,463",569,35,388,4,59,27,21,147,182,11,20
2021년03월_남_10~19세,"1,981",843,165,246,12,57,43,36,214,301,22,42
2021년03월_남_20~29세,"2,626",906,102,440,29,116,124,65,407,359,23,55
2021년03월_남_30~39세,"2,290",716,84,583,18,104,76,35,317,279,25,53
2021년03월_남_40~49세,"3,371","1,158",130,543,43,174,94,80,476,515,54,104
2021년03월_남_50~59세,"4,637","1,276",260,583,89,284,233,158,682,706,163,203
2021년03월_남_60~69세,"4,160",895,242,409,84,303,286,203,628,731,166,213
2021년03월_남_70~79세,"2,449",467,207,216,49,156,193,144,315,442,101,159
2021년03월_남_80~89세,"1,193",231,120,86,34,116,120,96,107,144,47,92
2021년03월_남_90~99세,105,16,15,2,0,11,13,8,11,12,9,8
2021년03월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2021년03월_여_총인구수,"24,083","6,906","1,470","3,116",341,"1,373","1,324",889,"3,136","3,811",646,"1,071"
2021년03월_여_연령구간인구수,"24,083","6,906","1,470","3,116",341,"1,373","1,324",889,"3,136","3,811",646,"1,071"
2021년03월_여_0~9세,"1,367",503,26,373,2,48,25,26,153,174,11,26
2021년03월_여_10~19세,"1,700",765,65,214,14,57,49,25,181,269,20,41
2021년03월_여_20~29세,"1,755",660,72,278,19,88,60,38,252,240,10,38
2021년03월_여_30~39세,"1,914",659,73,508,7,66,45,24,235,253,16,28
2021년03월_여_40~49세,"2,766","1,146",91,404,20,111,63,67,342,418,53,51
2021년03월_여_50~59세,"3,889","1,135",208,436,51,207,191,104,590,682,138,147
2021년03월_여_60~69세,"4,266",876,307,408,67,284,296,197,616,843,142,230
2021년03월_여_70~79세,"3,191",624,313,241,77,228,253,184,391,551,123,206
2021년03월_여_80~89세,"2,666",435,261,211,71,232,270,188,320,313,121,244
2021년03월_여_90~99세,556,100,53,40,13,51,72,36,54,67,11,59
2021년03월_여_100세 이상,13,3,1,3,0,1,0,0,2,1,1,1
