,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년08월_계_총인구수,"310,365","7,573","6,615","45,055","15,848","19,213","25,715","30,023","2,761","24,935","25,385","3,937","3,581","52,094","47,630"
2021년08월_계_연령구간인구수,"310,365","7,573","6,615","45,055","15,848","19,213","25,715","30,023","2,761","24,935","25,385","3,937","3,581","52,094","47,630"
2021년08월_계_0~9세,"31,439",339,293,"3,696",984,"1,085","2,043","4,360",83,"3,495","3,375",131,167,"4,986","6,402"
2021년08월_계_10~19세,"27,314",404,395,"3,739","1,026","1,098","2,502","3,028",138,"2,358","2,717",196,171,"4,206","5,336"
2021년08월_계_20~29세,"38,083",913,958,"5,065","2,082","2,452","3,158","3,236",342,"2,882","2,822",473,465,"9,238","3,997"
2021년08월_계_30~39세,"51,634","1,018","1,024","6,525","2,241","2,950","3,358","5,254",361,"4,758","4,127",423,471,"11,877","7,247"
2021년08월_계_40~49세,"55,235",981,922,"7,139","2,174","2,528","4,415","6,082",365,"4,372","5,049",506,437,"9,732","10,533"
2021년08월_계_50~59세,"44,448","1,423","1,180","6,939","2,789","3,370","4,168","3,892",573,"3,272","3,791",784,710,"5,620","5,937"
2021년08월_계_60~69세,"37,910","1,563","1,088","7,072","2,779","3,485","3,575","2,640",525,"2,366","2,440",785,711,"3,955","4,926"
2021년08월_계_70~79세,"16,976",604,526,"3,471","1,247","1,560","1,722","1,025",241,987,757,396,295,"1,785","2,360"
2021년08월_계_80~89세,"6,191",257,197,"1,223",463,592,657,390,113,366,261,207,146,571,748
2021년08월_계_90~99세,"1,078",64,30,178,59,89,113,107,19,73,45,33,7,122,139
2021년08월_계_100세 이상,57,7,2,8,4,4,4,9,1,6,1,3,1,2,5
2021년08월_남_총인구수,"155,478","4,197","3,421","22,303","8,045","9,667","12,779","14,853","1,532","12,504","12,432","2,219","2,046","26,026","23,454"
2021년08월_남_연령구간인구수,"155,478","4,197","3,421","22,303","8,045","9,667","12,779","14,853","1,532","12,504","12,432","2,219","2,046","26,026","23,454"
2021년08월_남_0~9세,"16,075",167,154,"1,904",513,538,"1,094","2,160",47,"1,831","1,672",66,81,"2,582","3,266"
2021년08월_남_10~19세,"13,826",211,206,"1,923",549,572,"1,254","1,525",71,"1,191","1,360",109,89,"2,060","2,706"
2021년08월_남_20~29세,"19,226",542,520,"2,606","1,158","1,331","1,681","1,633",208,"1,441","1,409",265,268,"4,134","2,030"
2021년08월_남_30~39세,"26,079",600,602,"3,372","1,206","1,618","1,730","2,443",218,"2,322","1,852",251,292,"6,268","3,305"
2021년08월_남_40~49세,"28,776",609,513,"3,637","1,137","1,329","2,216","3,158",211,"2,256","2,544",311,275,"5,135","5,445"
2021년08월_남_50~59세,"22,257",817,594,"3,301","1,339","1,656","2,037","1,944",323,"1,646","1,844",497,414,"2,872","2,973"
2021년08월_남_60~69세,"18,316",837,524,"3,337","1,320","1,673","1,668","1,282",288,"1,168","1,251",433,411,"1,844","2,280"
2021년08월_남_70~79세,"8,448",302,235,"1,701",618,745,818,547,118,511,402,192,157,918,"1,184"
2021년08월_남_80~89세,"2,223",96,68,475,190,191,257,136,39,122,84,89,56,186,234
2021년08월_남_90~99세,240,13,5,44,14,12,24,23,9,16,14,5,3,27,31
2021년08월_남_100세 이상,12,3,0,3,1,2,0,2,0,0,0,1,0,0,0
2021년08월_여_총인구수,"154,887","3,376","3,194","22,752","7,803","9,546","12,936","15,170","1,229","12,431","12,953","1,718","1,535","26,068","24,176"
2021년08월_여_연령구간인구수,"154,887","3,376","3,194","22,752","7,803","9,546","12,936","15,170","1,229","12,431","12,953","1,718","1,535","26,068","24,176"
2021년08월_여_0~9세,"15,364",172,139,"1,792",471,547,949,"2,200",36,"1,664","1,703",65,86,"2,404","3,136"
2021년08월_여_10~19세,"13,488",193,189,"1,816",477,526,"1,248","1,503",67,"1,167","1,357",87,82,"2,146","2,630"
2021년08월_여_20~29세,"18,857",371,438,"2,459",924,"1,121","1,477","1,603",134,"1,441","1,413",208,197,"5,104","1,967"
2021년08월_여_30~39세,"25,555",418,422,"3,153","1,035","1,332","1,628","2,811",143,"2,436","2,275",172,179,"5,609","3,942"
2021년08월_여_40~49세,"26,459",372,409,"3,502","1,037","1,199","2,199","2,924",154,"2,116","2,505",195,162,"4,597","5,088"
2021년08월_여_50~59세,"22,191",606,586,"3,638","1,450","1,714","2,131","1,948",250,"1,626","1,947",287,296,"2,748","2,964"
2021년08월_여_60~69세,"19,594",726,564,"3,735","1,459","1,812","1,907","1,358",237,"1,198","1,189",352,300,"2,111","2,646"
2021년08월_여_70~79세,"8,528",302,291,"1,770",629,815,904,478,123,476,355,204,138,867,"1,176"
2021년08월_여_80~89세,"3,968",161,129,748,273,401,400,254,74,244,177,118,90,385,514
2021년08월_여_90~99세,838,51,25,134,45,77,89,84,10,57,31,28,4,95,108
2021년08월_여_100세 이상,45,4,2,5,3,2,4,7,1,6,1,2,1,2,5
