,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년05월_계_총인구수,"228,587","11,233","5,414","4,922","9,009","9,980","13,786","5,475","8,072","5,714","6,370","3,129","4,616","3,398","9,746","18,175","11,026","18,112","12,545","17,123","5,116","11,261","9,977","24,388"
2020년05월_계_연령구간인구수,"228,587","11,233","5,414","4,922","9,009","9,980","13,786","5,475","8,072","5,714","6,370","3,129","4,616","3,398","9,746","18,175","11,026","18,112","12,545","17,123","5,116","11,261","9,977","24,388"
2020년05월_계_0~9세,"19,670",543,239,191,687,"1,424","1,102",561,260,228,475,76,152,171,794,"2,063","1,038","1,620",953,"1,406",497,"1,118",929,"3,143"
2020년05월_계_10~19세,"25,359",803,366,311,973,"1,149","1,645",501,466,361,625,152,215,261,"1,055","2,522","1,435","2,093","1,240","1,989",567,"1,620","1,118","3,892"
2020년05월_계_20~29세,"27,589","1,193",569,458,"1,049","1,298","1,861",551,768,559,759,220,554,329,"1,170","1,919","1,173","1,917","2,214","2,659",563,"1,523","1,376","2,907"
2020년05월_계_30~39세,"27,592","1,096",510,428,"1,039","1,790","1,562",843,677,497,693,256,331,285,"1,101","2,405","1,316","2,109","1,824","2,040",655,"1,398","1,358","3,379"
2020년05월_계_40~49세,"38,179","1,514",719,648,"1,377","1,741","2,353",853,"1,053",765,986,434,583,488,"1,574","3,379","1,872","3,053","2,227","2,817",849,"2,073","1,711","5,110"
2020년05월_계_50~59세,"36,856","1,868",914,883,"1,511","1,216","2,395",811,"1,447",939,964,589,775,565,"1,706","2,549","1,690","2,895","2,013","3,175",790,"1,849","1,811","3,501"
2020년05월_계_60~69세,"28,117","2,097","1,071",878,"1,233",775,"1,573",696,"1,517","1,104","1,004",684,855,565,"1,337","1,728","1,368","2,381","1,213","1,862",639,967,973,"1,597"
2020년05월_계_70~79세,"17,361","1,491",758,770,773,400,888,436,"1,295",911,633,503,758,506,710,"1,080",772,"1,385",575,780,372,481,472,612
2020년05월_계_80~89세,"6,852",553,225,314,318,162,359,200,495,319,216,182,351,194,270,459,311,567,246,340,161,208,201,201
2020년05월_계_90~99세,936,70,39,37,46,23,41,19,87,29,15,27,33,29,29,68,48,86,38,53,23,22,28,46
2020년05월_계_100세 이상,76,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,6,2,2,0,2,0,0
2020년05월_남_총인구수,"113,977","5,634","2,742","2,476","4,421","4,924","6,818","2,708","4,121","2,997","3,141","1,661","2,480","1,765","4,884","8,962","5,460","8,851","6,441","8,568","2,572","5,401","4,854","12,096"
2020년05월_남_연령구간인구수,"113,977","5,634","2,742","2,476","4,421","4,924","6,818","2,708","4,121","2,997","3,141","1,661","2,480","1,765","4,884","8,962","5,460","8,851","6,441","8,568","2,572","5,401","4,854","12,096"
2020년05월_남_0~9세,"10,136",288,127,95,334,752,578,298,123,115,249,33,76,80,431,"1,056",564,832,502,722,232,567,470,"1,612"
2020년05월_남_10~19세,"13,015",397,188,149,511,574,831,257,242,187,303,82,110,133,540,"1,291",738,"1,091",689,"1,054",314,794,572,"1,968"
2020년05월_남_20~29세,"14,861",670,329,242,550,656,"1,042",266,427,321,404,116,382,187,632,"1,051",641,"1,036","1,101","1,422",298,783,716,"1,589"
2020년05월_남_30~39세,"14,203",622,288,255,548,881,819,432,388,300,373,162,210,170,585,"1,171",645,"1,075",985,"1,045",329,647,702,"1,571"
2020년05월_남_40~49세,"19,659",856,435,415,705,873,"1,176",450,612,470,529,283,388,293,837,"1,706",941,"1,508","1,160","1,365",447,934,827,"2,449"
2020년05월_남_50~59세,"18,494",950,473,474,720,592,"1,186",403,796,507,442,353,464,335,821,"1,274",794,"1,393","1,067","1,526",400,895,848,"1,781"
2020년05월_남_60~69세,"13,423",955,482,418,576,350,724,342,739,517,457,336,427,278,620,772,645,"1,152",602,963,327,473,462,806
2020년05월_남_70~79세,"7,683",674,350,317,361,193,344,193,589,426,301,217,319,213,315,467,366,598,254,343,166,222,186,269
2020년05월_남_80~89세,"2,298",206,66,97,107,50,109,63,181,145,80,74,98,67,99,154,121,148,74,115,55,81,64,44
2020년05월_남_90~99세,190,13,4,12,9,2,8,3,22,8,3,3,6,7,4,20,5,18,7,13,4,5,7,7
2020년05월_남_100세 이상,15,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"114,610","5,599","2,672","2,446","4,588","5,056","6,968","2,767","3,951","2,717","3,229","1,468","2,136","1,633","4,862","9,213","5,566","9,261","6,104","8,555","2,544","5,860","5,123","12,292"
2020년05월_여_연령구간인구수,"114,610","5,599","2,672","2,446","4,588","5,056","6,968","2,767","3,951","2,717","3,229","1,468","2,136","1,633","4,862","9,213","5,566","9,261","6,104","8,555","2,544","5,860","5,123","12,292"
2020년05월_여_0~9세,"9,534",255,112,96,353,672,524,263,137,113,226,43,76,91,363,"1,007",474,788,451,684,265,551,459,"1,531"
2020년05월_여_10~19세,"12,344",406,178,162,462,575,814,244,224,174,322,70,105,128,515,"1,231",697,"1,002",551,935,253,826,546,"1,924"
2020년05월_여_20~29세,"12,728",523,240,216,499,642,819,285,341,238,355,104,172,142,538,868,532,881,"1,113","1,237",265,740,660,"1,318"
2020년05월_여_30~39세,"13,389",474,222,173,491,909,743,411,289,197,320,94,121,115,516,"1,234",671,"1,034",839,995,326,751,656,"1,808"
2020년05월_여_40~49세,"18,520",658,284,233,672,868,"1,177",403,441,295,457,151,195,195,737,"1,673",931,"1,545","1,067","1,452",402,"1,139",884,"2,661"
2020년05월_여_50~59세,"18,362",918,441,409,791,624,"1,209",408,651,432,522,236,311,230,885,"1,275",896,"1,502",946,"1,649",390,954,963,"1,720"
2020년05월_여_60~69세,"14,694","1,142",589,460,657,425,849,354,778,587,547,348,428,287,717,956,723,"1,229",611,899,312,494,511,791
2020년05월_여_70~79세,"9,678",817,408,453,412,207,544,243,706,485,332,286,439,293,395,613,406,787,321,437,206,259,286,343
2020년05월_여_80~89세,"4,554",347,159,217,211,112,250,137,314,174,136,108,253,127,171,305,190,419,172,225,106,127,137,157
2020년05월_여_90~99세,746,57,35,25,37,21,33,16,65,21,12,24,27,22,25,48,43,68,31,40,19,17,21,39
2020년05월_여_100세 이상,61,2,4,2,3,1,6,3,5,1,0,4,9,3,0,3,3,6,2,2,0,2,0,0
