,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년10월_계_총인구수,"1,467,556","222,850","236,825","479,806","352,231","175,844"
2020년10월_계_연령구간인구수,"1,467,556","222,850","236,825","479,806","352,231","175,844"
2020년10월_계_0~9세,"116,012","15,094","15,483","38,686","35,421","11,328"
2020년10월_계_10~19세,"147,489","20,039","22,176","50,071","38,338","16,865"
2020년10월_계_20~29세,"212,830","30,203","31,106","74,236","52,880","24,405"
2020년10월_계_30~39세,"195,531","25,850","26,476","66,610","56,632","19,963"
2020년10월_계_40~49세,"238,518","34,106","37,232","79,031","60,763","27,386"
2020년10월_계_50~59세,"242,641","36,807","39,925","78,067","54,175","33,667"
2020년10월_계_60~69세,"177,135","32,182","33,355","54,210","33,144","24,244"
2020년10월_계_70~79세,"90,995","19,083","20,581","25,887","13,414","12,030"
2020년10월_계_80~89세,"40,209","8,272","9,128","11,240","6,333","5,236"
2020년10월_계_90~99세,"5,834","1,118","1,279","1,679","1,075",683
2020년10월_계_100세 이상,362,96,84,89,56,37
2020년10월_남_총인구수,"732,552","112,333","116,865","236,113","177,833","89,408"
2020년10월_남_연령구간인구수,"732,552","112,333","116,865","236,113","177,833","89,408"
2020년10월_남_0~9세,"59,554","7,771","7,908","19,955","18,222","5,698"
2020년10월_남_10~19세,"76,337","10,373","11,427","25,884","19,846","8,807"
2020년10월_남_20~29세,"111,640","15,984","15,946","37,781","28,382","13,547"
2020년10월_남_30~39세,"101,876","13,961","13,602","34,008","29,425","10,880"
2020년10월_남_40~49세,"118,869","17,934","18,894","38,192","29,918","13,931"
2020년10월_남_50~59세,"121,052","18,868","20,200","37,862","27,004","17,118"
2020년10월_남_60~69세,"86,131","15,594","15,883","26,142","16,503","12,009"
2020년10월_남_70~79세,"41,301","8,566","9,227","11,871","6,210","5,427"
2020년10월_남_80~89세,"14,362","2,979","3,449","4,021","2,073","1,840"
2020년10월_남_90~99세,"1,342",274,308,380,238,142
2020년10월_남_100세 이상,88,29,21,17,12,9
2020년10월_여_총인구수,"735,004","110,517","119,960","243,693","174,398","86,436"
2020년10월_여_연령구간인구수,"735,004","110,517","119,960","243,693","174,398","86,436"
2020년10월_여_0~9세,"56,458","7,323","7,575","18,731","17,199","5,630"
2020년10월_여_10~19세,"71,152","9,666","10,749","24,187","18,492","8,058"
2020년10월_여_20~29세,"101,190","14,219","15,160","36,455","24,498","10,858"
2020년10월_여_30~39세,"93,655","11,889","12,874","32,602","27,207","9,083"
2020년10월_여_40~49세,"119,649","16,172","18,338","40,839","30,845","13,455"
2020년10월_여_50~59세,"121,589","17,939","19,725","40,205","27,171","16,549"
2020년10월_여_60~69세,"91,004","16,588","17,472","28,068","16,641","12,235"
2020년10월_여_70~79세,"49,694","10,517","11,354","14,016","7,204","6,603"
2020년10월_여_80~89세,"25,847","5,293","5,679","7,219","4,260","3,396"
2020년10월_여_90~99세,"4,492",844,971,"1,299",837,541
2020년10월_여_100세 이상,274,67,63,72,44,28
