,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년03월_계_총인구수,"24,506","8,349","2,686","2,854","4,225","6,392"
2021년03월_계_연령구간인구수,"24,506","8,349","2,686","2,854","4,225","6,392"
2021년03월_계_0~9세,"1,776",695,52,137,287,605
2021년03월_계_10~19세,"1,742",743,143,262,156,438
2021년03월_계_20~29세,"3,781","1,178",267,255,"1,107",974
2021년03월_계_30~39세,"2,827",996,133,250,523,925
2021년03월_계_40~49세,"2,665","1,129",213,368,323,632
2021년03월_계_50~59세,"3,826","1,306",570,517,508,925
2021년03월_계_60~69세,"3,904","1,099",636,514,641,"1,014"
2021년03월_계_70~79세,"2,362",738,395,317,379,533
2021년03월_계_80~89세,"1,387",414,227,201,253,292
2021년03월_계_90~99세,224,48,49,30,45,52
2021년03월_계_100세 이상,12,3,1,3,3,2
2021년03월_남_총인구수,"13,313","4,361","1,429","1,495","2,558","3,470"
2021년03월_남_연령구간인구수,"13,313","4,361","1,429","1,495","2,558","3,470"
2021년03월_남_0~9세,898,356,27,71,135,309
2021년03월_남_10~19세,879,378,68,136,79,218
2021년03월_남_20~29세,"2,645",725,197,140,905,678
2021년03월_남_30~39세,"1,672",560,80,132,357,543
2021년03월_남_40~49세,"1,458",594,107,210,196,351
2021년03월_남_50~59세,"2,079",710,324,294,273,478
2021년03월_남_60~69세,"2,090",584,348,281,349,528
2021년03월_남_70~79세,"1,052",306,182,153,168,243
2021년03월_남_80~89세,484,137,82,70,88,107
2021년03월_남_90~99세,51,11,13,6,7,14
2021년03월_남_100세 이상,5,0,1,2,1,1
2021년03월_여_총인구수,"11,193","3,988","1,257","1,359","1,667","2,922"
2021년03월_여_연령구간인구수,"11,193","3,988","1,257","1,359","1,667","2,922"
2021년03월_여_0~9세,878,339,25,66,152,296
2021년03월_여_10~19세,863,365,75,126,77,220
2021년03월_여_20~29세,"1,136",453,70,115,202,296
2021년03월_여_30~39세,"1,155",436,53,118,166,382
2021년03월_여_40~49세,"1,207",535,106,158,127,281
2021년03월_여_50~59세,"1,747",596,246,223,235,447
2021년03월_여_60~69세,"1,814",515,288,233,292,486
2021년03월_여_70~79세,"1,310",432,213,164,211,290
2021년03월_여_80~89세,903,277,145,131,165,185
2021년03월_여_90~99세,173,37,36,24,38,38
2021년03월_여_100세 이상,7,3,0,1,2,1
