카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년09월_계_총인구수,"116,668","12,065","2,577","2,839","1,422","2,287","2,441","3,534","1,931","4,546","4,224","3,323","1,853","4,156","7,727","2,639","4,827","8,691","3,216","3,355","39,015"
2021년09월_계_연령구간인구수,"116,668","12,065","2,577","2,839","1,422","2,287","2,441","3,534","1,931","4,546","4,224","3,323","1,853","4,156","7,727","2,639","4,827","8,691","3,216","3,355","39,015"
2021년09월_계_0~9세,"10,016","1,088",41,53,20,73,48,60,30,82,104,70,27,93,588,132,209,669,106,106,"6,417"
2021년09월_계_10~19세,"9,639",790,134,123,49,126,72,151,52,157,208,134,58,180,821,188,351,894,227,193,"4,731"
2021년09월_계_20~29세,"12,235","1,121",179,239,90,137,163,229,105,316,360,267,99,286,"1,242",313,483,"1,283",255,381,"4,687"
2021년09월_계_30~39세,"14,515","1,607",122,152,67,112,111,179,93,250,294,227,90,214,922,262,365,856,210,277,"8,105"
2021년09월_계_40~49세,"16,699","1,655",211,242,117,218,189,301,145,364,428,347,138,336,"1,195",349,566,"1,328",310,401,"7,859"
2021년09월_계_50~59세,"17,334","1,973",456,501,247,352,366,588,327,862,728,645,366,725,"1,316",467,824,"1,457",563,595,"3,976"
2021년09월_계_60~69세,"16,828","2,006",580,639,314,516,579,845,454,"1,099",891,737,454,938,849,435,876,"1,096",657,669,"2,194"
2021년09월_계_70~79세,"11,409","1,130",476,467,281,418,502,649,366,754,746,511,344,804,483,295,727,706,523,459,768
2021년09월_계_80~89세,"6,906",604,325,369,202,299,358,466,312,555,398,339,239,502,274,169,366,344,314,233,238
2021년09월_계_90~99세,"1,055",90,51,52,35,32,53,63,44,105,64,46,36,74,35,29,59,57,51,40,39
2021년09월_계_100세 이상,32,1,2,2,0,4,0,3,3,2,3,0,2,4,2,0,1,1,0,1,1
