카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년05월_계_총인구수,"51,274","11,102","13,508","4,863","2,268","1,635","2,501","1,478","1,266","1,243","2,126","2,033","2,895","4,356"
2021년05월_계_연령구간인구수,"51,274","11,102","13,508","4,863","2,268","1,635","2,501","1,478","1,266","1,243","2,126","2,033","2,895","4,356"
2021년05월_계_0~9세,"2,227",527,976,155,49,27,63,48,32,29,37,48,44,192
2021년05월_계_10~19세,"3,400",851,"1,486",218,57,63,106,64,48,27,66,79,92,243
2021년05월_계_20~29세,"3,736","1,042","1,286",279,91,81,121,80,57,35,85,96,192,291
2021년05월_계_30~39세,"3,322",875,"1,086",273,119,54,108,74,56,47,85,101,132,312
2021년05월_계_40~49세,"5,638","1,504","1,910",483,158,135,209,94,71,93,146,145,234,456
2021년05월_계_50~59세,"8,354","1,945","2,263",774,306,230,367,204,183,172,316,303,508,783
2021년05월_계_60~69세,"10,390","2,015","2,121","1,086",515,383,537,354,298,318,558,502,727,976
2021년05월_계_70~79세,"8,002","1,466","1,398",917,472,337,502,289,242,285,430,406,564,694
2021년05월_계_80~89세,"5,314",767,824,583,432,269,420,231,241,209,347,297,335,359
2021년05월_계_90~99세,867,104,153,94,68,56,67,39,36,28,54,53,66,49
2021년05월_계_100세 이상,24,6,5,1,1,0,1,1,2,0,2,3,1,1
2021년05월_남_총인구수,"25,321","5,542","6,602","2,446","1,093",800,"1,178",704,606,632,"1,036",986,"1,427","2,269"
2021년05월_남_연령구간인구수,"25,321","5,542","6,602","2,446","1,093",800,"1,178",704,606,632,"1,036",986,"1,427","2,269"
2021년05월_남_0~9세,"1,121",264,487,79,29,9,32,24,17,20,16,25,28,91
2021년05월_남_10~19세,"1,747",443,779,109,35,31,48,29,24,15,32,36,45,121
2021년05월_남_20~29세,"2,158",585,718,160,59,48,66,54,31,23,49,59,126,180
2021년05월_남_30~39세,"1,861",461,542,168,72,32,68,43,32,29,55,64,84,211
2021년05월_남_40~49세,"3,080",793,926,298,98,87,115,57,42,65,84,82,144,289
2021년05월_남_50~59세,"4,552","1,091","1,176",447,154,131,200,110,107,101,164,179,265,427
2021년05월_남_60~69세,"5,090",960,"1,000",553,264,189,252,174,155,153,285,252,353,500
2021년05월_남_70~79세,"3,590",629,634,402,211,157,226,136,109,138,208,188,259,293
2021년05월_남_80~89세,"1,917",290,296,211,156,103,152,70,79,85,134,88,108,145
2021년05월_남_90~99세,203,26,43,19,15,13,19,7,10,3,9,12,15,12
2021년05월_남_100세 이상,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021년05월_여_총인구수,"25,953","5,560","6,906","2,417","1,175",835,"1,323",774,660,611,"1,090","1,047","1,468","2,087"
2021년05월_여_연령구간인구수,"25,953","5,560","6,906","2,417","1,175",835,"1,323",774,660,611,"1,090","1,047","1,468","2,087"
2021년05월_여_0~9세,"1,106",263,489,76,20,18,31,24,15,9,21,23,16,101
2021년05월_여_10~19세,"1,653",408,707,109,22,32,58,35,24,12,34,43,47,122
2021년05월_여_20~29세,"1,578",457,568,119,32,33,55,26,26,12,36,37,66,111
2021년05월_여_30~39세,"1,461",414,544,105,47,22,40,31,24,18,30,37,48,101
2021년05월_여_40~49세,"2,558",711,984,185,60,48,94,37,29,28,62,63,90,167
2021년05월_여_50~59세,"3,802",854,"1,087",327,152,99,167,94,76,71,152,124,243,356
2021년05월_여_60~69세,"5,300","1,055","1,121",533,251,194,285,180,143,165,273,250,374,476
2021년05월_여_70~79세,"4,412",837,764,515,261,180,276,153,133,147,222,218,305,401
2021년05월_여_80~89세,"3,397",477,528,372,276,166,268,161,162,124,213,209,227,214
2021년05월_여_90~99세,664,78,110,75,53,43,48,32,26,25,45,41,51,37
2021년05월_여_100세 이상,22,6,4,1,1,0,1,1,2,0,2,2,1,1
