,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년02월_계_총인구수,"25,302","10,082",833,"1,095","1,395",866,"1,957","1,804","1,863","2,850","1,069","1,488"
2021년02월_계_연령구간인구수,"25,302","10,082",833,"1,095","1,395",866,"1,957","1,804","1,863","2,850","1,069","1,488"
2021년02월_계_0~9세,"1,248",663,16,46,52,35,81,71,58,133,57,36
2021년02월_계_10~19세,"1,658",845,26,82,81,38,86,88,79,205,62,66
2021년02월_계_20~29세,"1,913",931,34,65,74,48,143,132,145,197,62,82
2021년02월_계_30~39세,"1,615",835,26,48,57,62,101,101,88,182,74,41
2021년02월_계_40~49세,"2,716","1,327",61,94,120,74,181,183,146,313,92,125
2021년02월_계_50~59세,"4,488","1,674",181,201,248,160,363,299,341,548,196,277
2021년02월_계_60~69세,"4,934","1,630",234,220,307,202,417,382,368,622,230,322
2021년02월_계_70~79세,"3,811","1,245",152,185,240,135,313,320,367,388,153,313
2021년02월_계_80~89세,"2,525",817,89,130,181,107,230,197,235,221,122,196
2021년02월_계_90~99세,367,105,12,24,32,5,40,27,33,39,20,30
2021년02월_계_100세 이상,27,10,2,0,3,0,2,4,3,2,1,0
2021년02월_남_총인구수,"12,773","5,071",411,533,656,444,"1,020",910,930,"1,472",564,762
2021년02월_남_연령구간인구수,"12,773","5,071",411,533,656,444,"1,020",910,930,"1,472",564,762
2021년02월_남_0~9세,614,318,8,18,22,16,44,38,33,66,30,21
2021년02월_남_10~19세,878,435,15,44,41,16,49,48,40,114,40,36
2021년02월_남_20~29세,"1,099",530,19,40,41,32,83,71,73,122,41,47
2021년02월_남_30~39세,782,387,16,24,21,33,64,42,44,87,42,22
2021년02월_남_40~49세,"1,573",754,36,51,63,42,117,114,94,172,52,78
2021년02월_남_50~59세,"2,523",928,98,103,137,90,209,177,200,314,101,166
2021년02월_남_60~69세,"2,621",857,120,120,159,111,216,211,187,332,131,177
2021년02월_남_70~79세,"1,763",564,70,83,116,65,149,150,165,190,73,138
2021년02월_남_80~89세,824,268,26,44,45,37,84,52,83,66,49,70
2021년02월_남_90~99세,87,26,2,6,10,2,5,5,10,9,5,7
2021년02월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2021년02월_여_총인구수,"12,529","5,011",422,562,739,422,937,894,933,"1,378",505,726
2021년02월_여_연령구간인구수,"12,529","5,011",422,562,739,422,937,894,933,"1,378",505,726
2021년02월_여_0~9세,634,345,8,28,30,19,37,33,25,67,27,15
2021년02월_여_10~19세,780,410,11,38,40,22,37,40,39,91,22,30
2021년02월_여_20~29세,814,401,15,25,33,16,60,61,72,75,21,35
2021년02월_여_30~39세,833,448,10,24,36,29,37,59,44,95,32,19
2021년02월_여_40~49세,"1,143",573,25,43,57,32,64,69,52,141,40,47
2021년02월_여_50~59세,"1,965",746,83,98,111,70,154,122,141,234,95,111
2021년02월_여_60~69세,"2,313",773,114,100,148,91,201,171,181,290,99,145
2021년02월_여_70~79세,"2,048",681,82,102,124,70,164,170,202,198,80,175
2021년02월_여_80~89세,"1,701",549,63,86,136,70,146,145,152,155,73,126
2021년02월_여_90~99세,280,79,10,18,22,3,35,22,23,30,15,23
2021년02월_여_100세 이상,18,6,1,0,2,0,2,2,2,2,1,0
