,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년04월_계_총인구수,"159,035","6,487","4,154","3,070","3,606","5,296","2,848","1,857","2,123","2,921","2,736","1,782","1,903","1,656","1,770","5,176","5,142","22,445","9,312","13,552","6,549","6,428","22,189","15,694","10,339"
2020년04월_계_연령구간인구수,"159,035","6,487","4,154","3,070","3,606","5,296","2,848","1,857","2,123","2,921","2,736","1,782","1,903","1,656","1,770","5,176","5,142","22,445","9,312","13,552","6,549","6,428","22,189","15,694","10,339"
2020년04월_계_0~9세,"10,992",214,97,75,84,217,55,36,57,66,55,32,43,28,28,269,329,"1,976",685,953,429,397,"2,167","1,541","1,159"
2020년04월_계_10~19세,"13,940",296,221,100,142,264,136,73,91,112,78,56,55,50,72,364,429,"2,385",905,"1,004",570,616,"2,672","1,685","1,564"
2020년04월_계_20~29세,"16,704",485,322,153,352,630,146,85,171,206,138,91,93,65,69,540,546,"3,015",857,"1,482",670,704,"2,779","1,874","1,231"
2020년04월_계_30~39세,"15,774",394,198,167,221,603,132,87,137,165,124,67,95,75,75,546,469,"2,609",871,"1,610",649,607,"2,634","2,076","1,163"
2020년04월_계_40~49세,"22,554",607,353,338,362,587,270,173,181,281,187,154,128,128,151,649,735,"3,649","1,417","1,915",942,895,"3,838","2,557","2,057"
2020년04월_계_50~59세,"26,750","1,124",707,578,626,832,468,300,447,538,523,321,391,302,301,854,969,"3,534","1,513","2,299","1,084","1,232","3,637","2,682","1,488"
2020년04월_계_60~69세,"24,686","1,364",871,610,824,885,614,398,449,678,661,447,461,426,439,905,813,"2,714","1,455","2,162","1,132","1,106","2,522","1,855",895
2020년04월_계_70~79세,"16,716","1,116",768,565,549,753,572,374,334,492,573,352,371,341,367,692,563,"1,610","1,025","1,409",705,607,"1,208",877,493
2020년04월_계_80~89세,"9,447",769,539,419,367,455,386,282,220,320,353,236,238,208,240,305,258,832,510,633,307,230,625,473,242
2020년04월_계_90~99세,"1,408",110,74,64,79,67,67,48,36,60,43,21,26,33,27,50,31,115,69,78,59,34,104,69,44
2020년04월_계_100세 이상,64,8,4,1,0,3,2,1,0,3,1,5,2,0,1,2,0,6,5,7,2,0,3,5,3
2020년04월_남_총인구수,"78,720","3,275","2,148","1,604","1,896","2,746","1,382",909,"1,084","1,535","1,380",916,974,874,920,"2,541","2,487","11,093","4,487","6,745","3,182","3,205","10,574","7,609","5,154"
2020년04월_남_연령구간인구수,"78,720","3,275","2,148","1,604","1,896","2,746","1,382",909,"1,084","1,535","1,380",916,974,874,920,"2,541","2,487","11,093","4,487","6,745","3,182","3,205","10,574","7,609","5,154"
2020년04월_남_0~9세,"5,794",117,54,37,45,116,30,18,35,27,25,21,24,14,21,148,180,"1,038",373,485,210,217,"1,130",812,617
2020년04월_남_10~19세,"7,314",159,133,62,86,141,86,43,45,58,41,25,37,27,35,185,206,"1,226",460,561,308,320,"1,377",861,832
2020년04월_남_20~29세,"9,133",283,189,104,193,353,85,48,105,132,75,56,56,43,39,311,298,"1,661",454,825,375,371,"1,426","1,007",644
2020년04월_남_30~39세,"8,145",223,113,106,137,339,73,52,82,101,77,44,57,50,50,269,228,"1,323",441,848,339,341,"1,256","1,049",547
2020년04월_남_40~49세,"11,747",378,223,226,220,356,172,113,107,180,138,101,82,91,99,354,390,"1,809",722,"1,007",492,450,"1,845","1,214",978
2020년04월_남_50~59세,"13,631",623,398,339,364,477,257,174,245,323,302,186,210,176,166,446,489,"1,761",736,"1,115",503,596,"1,708","1,253",784
2020년04월_남_60~69세,"11,955",683,451,302,431,438,290,204,232,360,352,241,243,215,244,397,376,"1,275",652,"1,010",501,509,"1,172",925,452
