,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년05월_계_총인구수,"39,353","18,551","2,187","1,619","1,667","2,409","2,087","4,605","1,451","1,861","1,559","1,357"
2020년05월_계_연령구간인구수,"39,353","18,551","2,187","1,619","1,667","2,409","2,087","4,605","1,451","1,861","1,559","1,357"
2020년05월_계_0~9세,"1,912","1,368",46,35,21,74,68,143,27,54,44,32
2020년05월_계_10~19세,"3,013","1,941",116,75,71,143,105,250,51,107,72,82
2020년05월_계_20~29세,"3,217","1,942",112,78,94,200,110,281,85,128,87,100
2020년05월_계_30~39세,"2,723","1,705",97,71,71,147,113,261,60,85,61,52
2020년05월_계_40~49세,"4,502","2,685",196,156,107,215,185,442,105,157,132,122
2020년05월_계_50~59세,"7,015","3,286",471,311,287,399,352,742,274,325,304,264
2020년05월_계_60~69세,"7,032","2,617",471,326,343,508,432,957,366,379,364,269
2020년05월_계_70~79세,"5,570","1,804",384,319,363,396,407,813,237,350,277,220
2020년05월_계_80~89세,"3,795","1,056",249,213,254,290,281,608,222,246,189,187
2020년05월_계_90~99세,541,138,41,34,50,37,34,100,24,28,28,27
2020년05월_계_100세 이상,33,9,4,1,6,0,0,8,0,2,1,2
2020년05월_남_총인구수,"18,973","9,009","1,039",806,776,"1,181","1,001","2,185",696,867,766,647
2020년05월_남_연령구간인구수,"18,973","9,009","1,039",806,776,"1,181","1,001","2,185",696,867,766,647
2020년05월_남_0~9세,972,697,22,18,7,40,31,72,15,29,25,16
2020년05월_남_10~19세,"1,552","1,000",57,37,32,69,50,133,32,52,40,50
2020년05월_남_20~29세,"1,840","1,093",63,41,61,121,74,160,52,66,50,59
2020년05월_남_30~39세,"1,414",842,52,41,44,86,63,142,35,43,38,28
2020년05월_남_40~49세,"2,460","1,366",114,96,66,130,106,279,62,94,76,71
2020년05월_남_50~59세,"3,713","1,707",251,195,152,221,187,386,140,172,151,151
2020년05월_남_60~69세,"3,492","1,220",251,181,178,260,231,468,186,193,188,136
2020년05월_남_70~79세,"2,269",742,148,125,164,154,166,325,97,144,124,80
2020년05월_남_80~89세,"1,140",318,74,67,62,89,85,194,73,64,65,49
2020년05월_남_90~99세,114,23,7,5,9,11,8,23,4,8,9,7
2020년05월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년05월_여_총인구수,"20,380","9,542","1,148",813,891,"1,228","1,086","2,420",755,994,793,710
2020년05월_여_연령구간인구수,"20,380","9,542","1,148",813,891,"1,228","1,086","2,420",755,994,793,710
2020년05월_여_0~9세,940,671,24,17,14,34,37,71,12,25,19,16
2020년05월_여_10~19세,"1,461",941,59,38,39,74,55,117,19,55,32,32
2020년05월_여_20~29세,"1,377",849,49,37,33,79,36,121,33,62,37,41
2020년05월_여_30~39세,"1,309",863,45,30,27,61,50,119,25,42,23,24
2020년05월_여_40~49세,"2,042","1,319",82,60,41,85,79,163,43,63,56,51
2020년05월_여_50~59세,"3,302","1,579",220,116,135,178,165,356,134,153,153,113
2020년05월_여_60~69세,"3,540","1,397",220,145,165,248,201,489,180,186,176,133
2020년05월_여_70~79세,"3,301","1,062",236,194,199,242,241,488,140,206,153,140
2020년05월_여_80~89세,"2,655",738,175,146,192,201,196,414,149,182,124,138
2020년05월_여_90~99세,427,115,34,29,41,26,26,77,20,20,19,20
2020년05월_여_100세 이상,26,8,4,1,5,0,0,5,0,0,1,2
