,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년03월_계_총인구수,"657,549","256,931","24,296","4,128","4,314","4,333","3,201","2,298","6,041","2,113","5,472","3,729","8,733","9,357","18,135","23,516","44,940","55,618","36,707","400,618","24,144","21,770","19,866","8,484","15,931","25,782","14,012","37,680","18,956","40,630","69,895","46,471","56,997"
2021년03월_계_연령구간인구수,"657,549","256,931","24,296","4,128","4,314","4,333","3,201","2,298","6,041","2,113","5,472","3,729","8,733","9,357","18,135","23,516","44,940","55,618","36,707","400,618","24,144","21,770","19,866","8,484","15,931","25,782","14,012","37,680","18,956","40,630","69,895","46,471","56,997"
2021년03월_계_0~9세,"61,228","19,976","1,670",146,103,126,76,52,240,25,176,113,414,284,"1,076","2,130","4,640","5,930","2,775","41,252","1,178","1,816","1,397",292,754,963,876,"3,380","1,398","5,595","10,455","3,920","9,228"
2021년03월_계_10~19세,"68,021","26,018","2,669",238,193,227,167,88,358,70,281,182,662,659,"1,435","3,205","5,818","6,992","2,774","42,003","2,222","2,353","1,875",536,"1,014","1,302","1,186","4,909","2,382","5,664","9,406","4,154","5,000"
2021년03월_계_20~29세,"95,866","35,040","2,848",379,370,383,238,175,748,140,537,546,"1,072","1,172","2,846","2,752","6,228","7,036","7,570","60,826","2,809","2,546","2,457",882,"2,348","6,507","2,511","5,945","2,631","5,132","8,726","10,170","8,162"
2021년03월_계_30~39세,"104,158","32,715","2,482",322,288,330,182,170,530,88,488,436,878,867,"2,528","2,553","6,738","8,300","5,535","71,443","2,115","2,818","2,707",711,"2,199","5,608","1,834","5,020","2,309","6,787","14,431","9,255","15,649"
2021년03월_계_40~49세,"111,897","42,560","4,444",444,443,510,328,241,735,173,675,485,"1,204","1,343","2,925","4,376","8,980","10,176","5,078","69,337","3,665","4,127","3,628","1,085","2,387","3,807","1,921","6,651","3,163","7,896","14,150","7,457","9,400"
2021년03월_계_50~59세,"102,621","43,376","4,476",740,847,844,601,430,"1,158",429,"1,053",657,"1,730","1,838","3,257","4,040","6,919","8,423","5,934","59,245","4,259","3,676","3,535","1,761","3,042","3,579","2,549","6,654","3,559","5,601","8,630","6,613","5,787"
2021년03월_계_60~69세,"65,907","32,312","3,086",951,"1,049",990,789,524,"1,156",524,"1,195",724,"1,525","1,633","2,494","2,570","3,458","5,326","4,318","33,595","3,987","2,552","2,398","1,640","2,402","2,518","1,974","3,263","2,034","2,582","2,753","2,970","2,522"
2021년03월_계_70~79세,"30,234","15,582","1,574",523,560,512,468,344,630,358,689,385,804,993,"1,069","1,243","1,362","2,232","1,836","14,652","2,454","1,173","1,156",962,"1,230",991,755,"1,210",901,897,863,"1,256",804
2021년03월_계_80~89세,"15,290","8,089",910,334,393,345,297,245,416,260,328,176,380,513,436,565,694,"1,021",776,"7,201","1,288",626,635,525,490,427,348,572,497,408,404,596,385
2021년03월_계_90~99세,"2,232","1,208",134,51,67,66,51,27,68,42,39,24,60,55,66,78,101,174,105,"1,024",157,81,74,88,58,77,57,74,82,65,74,78,59
2021년03월_계_100세 이상,95,55,3,0,1,0,4,2,2,4,11,1,4,0,3,4,2,8,6,40,10,2,4,2,7,3,1,2,0,3,3,2,1
2021년03월_남_총인구수,"335,763","130,221","12,475","2,252","2,181","2,245","1,677","1,256","3,218","1,134","2,857","1,953","4,525","4,811","9,269","11,722","22,892","27,857","17,897","205,542","12,596","11,426","10,799","4,565","8,426","13,809","6,876","18,486","9,167","20,390","35,058","23,930","30,014"
2021년03월_남_연령구간인구수,"335,763","130,221","12,475","2,252","2,181","2,245","1,677","1,256","3,218","1,134","2,857","1,953","4,525","4,811","9,269","11,722","22,892","27,857","17,897","205,542","12,596","11,426","10,799","4,565","8,426","13,809","6,876","18,486","9,167","20,390","35,058","23,930","30,014"
2021년03월_남_0~9세,"31,332","10,284",850,81,51,69,37,29,118,12,89,63,230,140,568,"1,072","2,406","3,052","1,417","21,048",614,901,756,146,403,491,463,"1,698",683,"2,832","5,361","2,007","4,693"
2021년03월_남_10~19세,"35,219","13,542","1,400",123,107,116,82,46,191,46,153,91,372,357,776,"1,651","3,042","3,606","1,383","21,677","1,177","1,202",988,293,488,661,584,"2,567","1,292","2,928","4,807","2,111","2,579"
2021년03월_남_20~29세,"50,399","18,574","1,606",246,211,233,139,108,501,83,277,278,622,666,"1,436","1,496","3,400","3,678","3,594","31,825","1,617","1,436","1,487",540,"1,279","3,290","1,279","3,098","1,382","2,686","4,362","5,131","4,238"
2021년03월_남_30~39세,"55,371","17,195","1,303",196,154,194,116,112,331,56,289,254,480,523,"1,418","1,206","3,549","4,166","2,848","38,176","1,189","1,506","1,611",456,"1,303","3,400",988,"2,508","1,152","3,268","7,062","5,222","8,511"
