,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년04월_계_총인구수,"71,800","5,873","1,118","3,239",858,"2,496","3,100","2,426","2,786","1,983","3,600","2,659","5,887","7,177","9,053","3,157","16,388"
2021년04월_계_연령구간인구수,"71,800","5,873","1,118","3,239",858,"2,496","3,100","2,426","2,786","1,983","3,600","2,659","5,887","7,177","9,053","3,157","16,388"
2021년04월_계_0~9세,"3,983",203,39,107,12,55,94,39,56,86,100,77,382,436,636,130,"1,531"
2021년04월_계_10~19세,"5,636",368,60,147,39,297,130,173,105,78,122,88,416,589,861,157,"2,006"
2021년04월_계_20~29세,"6,326",389,71,168,36,147,191,341,156,97,219,132,531,636,848,203,"2,161"
2021년04월_계_30~39세,"5,647",359,47,160,46,94,167,104,117,99,212,130,578,641,792,251,"1,850"
2021년04월_계_40~49세,"8,727",607,98,261,80,182,260,183,222,170,296,184,713,871,"1,331",314,"2,955"
2021년04월_계_50~59세,"11,986","1,024",228,535,190,338,476,382,480,357,621,500,986,"1,144","1,534",522,"2,669"
2021년04월_계_60~69세,"13,756","1,316",269,735,207,583,738,531,659,526,772,682,"1,160","1,421","1,573",697,"1,887"
2021년04월_계_70~79세,"9,169",963,171,581,144,389,535,358,509,316,691,467,727,947,934,525,912
2021년04월_계_80~89세,"5,681",556,118,463,89,351,427,272,418,223,497,327,358,433,478,316,355
2021년04월_계_90~99세,829,77,17,78,14,60,79,43,59,31,62,65,32,50,61,40,61
2021년04월_계_100세 이상,60,11,0,4,1,0,3,0,5,0,8,7,4,9,5,2,1
2021년04월_남_총인구수,"35,256","2,845",571,"1,567",450,"1,300","1,557","1,159","1,383","1,025","1,703","1,227","2,881","3,488","4,513","1,586","8,001"
2021년04월_남_연령구간인구수,"35,256","2,845",571,"1,567",450,"1,300","1,557","1,159","1,383","1,025","1,703","1,227","2,881","3,488","4,513","1,586","8,001"
2021년04월_남_0~9세,"2,065",97,20,51,6,25,49,18,35,44,46,40,210,226,348,58,792
2021년04월_남_10~19세,"3,060",194,33,87,23,193,63,96,55,42,67,46,238,313,495,93,"1,022"
2021년04월_남_20~29세,"3,591",238,45,104,18,86,129,141,100,60,125,79,310,378,511,122,"1,145"
2021년04월_남_30~39세,"2,971",200,27,85,18,56,90,60,73,56,122,73,304,342,405,142,918
2021년04월_남_40~49세,"4,678",337,55,143,48,111,173,103,137,105,190,113,390,468,705,193,"1,407"
2021년04월_남_50~59세,"6,219",535,133,286,114,200,273,217,278,184,348,251,467,568,748,303,"1,314"
2021년04월_남_60~69세,"6,686",637,139,385,127,300,370,279,348,312,378,328,508,625,723,342,885
2021년04월_남_70~79세,"3,972",397,79,252,64,190,245,148,222,137,282,196,314,419,394,237,396
2021년04월_남_80~89세,"1,831",192,38,154,32,125,151,89,122,78,130,85,131,140,164,91,109
2021년04월_남_90~99세,168,14,2,20,0,14,14,8,11,7,12,14,9,7,19,5,12
2021년04월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021년04월_여_총인구수,"36,544","3,028",547,"1,672",408,"1,196","1,543","1,267","1,403",958,"1,897","1,432","3,006","3,689","4,540","1,571","8,387"
2021년04월_여_연령구간인구수,"36,544","3,028",547,"1,672",408,"1,196","1,543","1,267","1,403",958,"1,897","1,432","3,006","3,689","4,540","1,571","8,387"
2021년04월_여_0~9세,"1,918",106,19,56,6,30,45,21,21,42,54,37,172,210,288,72,739
2021년04월_여_10~19세,"2,576",174,27,60,16,104,67,77,50,36,55,42,178,276,366,64,984
2021년04월_여_20~29세,"2,735",151,26,64,18,61,62,200,56,37,94,53,221,258,337,81,"1,016"
2021년04월_여_30~39세,"2,676",159,20,75,28,38,77,44,44,43,90,57,274,299,387,109,932
2021년04월_여_40~49세,"4,049",270,43,118,32,71,87,80,85,65,106,71,323,403,626,121,"1,548"
2021년04월_여_50~59세,"5,767",489,95,249,76,138,203,165,202,173,273,249,519,576,786,219,"1,355"
2021년04월_여_60~69세,"7,070",679,130,350,80,283,368,252,311,214,394,354,652,796,850,355,"1,002"
2021년04월_여_70~79세,"5,197",566,92,329,80,199,290,210,287,179,409,271,413,528,540,288,516
2021년04월_여_80~89세,"3,850",364,80,309,57,226,276,183,296,145,367,242,227,293,314,225,246
2021년04월_여_90~99세,661,63,15,58,14,46,65,35,48,24,50,51,23,43,42,35,49
2021년04월_여_100세 이상,45,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,0
