카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년01월_계_총인구수,"424,707","20,878","21,876","32,090","31,449","28,262","11,843","32,249","16,083","22,357","19,377","21,073","17,241","20,218","21,146","23,770","44,345","22,437","18,013"
2021년01월_계_연령구간인구수,"424,707","20,878","21,876","32,090","31,449","28,262","11,843","32,249","16,083","22,357","19,377","21,073","17,241","20,218","21,146","23,770","44,345","22,437","18,013"
2021년01월_계_0~9세,"33,544","1,493","1,830","1,780","2,970","2,148",569,"3,034","1,851","1,996","1,679","1,498","1,170","1,171","1,315","1,669","3,943","1,439","1,989"
2021년01월_계_10~19세,"45,303","1,942","1,941","2,819","4,235","3,459","1,879","3,517","2,789","2,953","2,182","2,756","1,328","1,636","1,969","2,625","4,347","1,624","1,302"
2021년01월_계_20~29세,"54,856","2,808","3,108","5,230","3,579","3,647","1,486","4,210","1,346","2,515","2,302","2,679","2,494","2,844","2,755","3,190","5,365","3,361","1,937"
2021년01월_계_30~39세,"63,085","3,570","4,337","5,477","3,702","3,839",879,"5,465","1,527","2,626","2,641","2,425","2,957","3,162","2,909","3,611","6,719","4,531","2,708"
2021년01월_계_40~49세,"77,198","3,785","3,925","5,067","6,398","5,515","2,204","6,621","3,730","4,535","3,570","3,947","2,800","3,087","3,192","4,295","7,756","3,722","3,049"
2021년01월_계_50~59세,"63,365","2,990","2,913","4,887","4,791","4,639","2,173","4,138","2,134","3,520","2,888","3,435","2,471","3,158","3,505","3,574","6,309","3,341","2,499"
2021년01월_계_60~69세,"47,848","2,370","2,113","3,700","3,061","2,854","1,267","2,985","1,350","2,260","2,329","2,274","2,138","2,863","3,154","2,410","5,618","2,641","2,461"
2021년01월_계_70~79세,"27,586","1,348","1,240","2,169","1,866","1,425",995,"1,644",947,"1,320","1,256","1,329","1,327","1,657","1,645","1,646","3,011","1,308","1,453"
2021년01월_계_80~89세,"9,853",476,374,805,704,592,340,519,322,516,425,617,467,531,588,652,"1,042",371,512
2021년01월_계_90~99세,"1,833",93,76,138,123,124,39,97,61,101,98,104,77,96,111,86,229,89,91
2021년01월_계_100세 이상,236,3,19,18,20,20,12,19,26,15,7,9,12,13,3,12,6,10,12
2021년01월_남_총인구수,"203,097","10,030","10,416","15,625","15,274","13,548","5,593","15,571","7,667","10,596","9,155","9,789","8,107","9,457","10,207","10,854","21,196","11,244","8,768"
2021년01월_남_연령구간인구수,"203,097","10,030","10,416","15,625","15,274","13,548","5,593","15,571","7,667","10,596","9,155","9,789","8,107","9,457","10,207","10,854","21,196","11,244","8,768"
