,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년04월_계_총인구수,"433,057","5,053","6,976","5,034","3,318","8,167","11,510","38,358","19,818","12,717","14,470","23,541","11,011","6,154","19,203","16,768","16,531","8,115","16,863","14,185","14,621","30,978","14,417","11,775","12,978","2,714","52,287","35,495"
2020년04월_계_연령구간인구수,"433,057","5,053","6,976","5,034","3,318","8,167","11,510","38,358","19,818","12,717","14,470","23,541","11,011","6,154","19,203","16,768","16,531","8,115","16,863","14,185","14,621","30,978","14,417","11,775","12,978","2,714","52,287","35,495"
2020년04월_계_0~9세,"34,658",222,294,282,97,607,438,"2,718","1,857",631,986,"2,320",445,566,"1,493","1,179","1,242",360,"1,019",522,"1,120","2,535","1,281",704,546,82,"7,556","3,556"
2020년04월_계_10~19세,"44,382",195,496,328,130,581,731,"3,927","2,320","1,003","1,563","2,393",720,545,"1,562","2,044","1,600",694,"1,496",916,"1,753","4,930","1,812","1,144",886,144,"6,410","4,059"
2020년04월_계_20~29세,"62,843","1,016","1,335",881,497,956,"2,111","7,056","2,650","1,827","2,197","3,114","1,415",766,"2,444","2,527","2,594","1,123","2,408","1,734","2,398","4,817","2,056","1,915","2,035",263,"5,834","4,874"
2020년04월_계_30~39세,"56,790",967,796,728,420,"1,205","1,661","4,750","2,452","1,451","1,737","3,683","1,051",858,"2,714","1,769","2,105",847,"1,939","1,381","1,809","3,062","1,777","1,341","1,474",228,"9,212","5,373"
2020년04월_계_40~49세,"68,565",617,938,708,419,"1,171","1,570","5,711","3,148","1,783","2,083","3,829","1,363",979,"2,723","2,585","2,549","1,092","2,320","1,750","2,512","6,050","2,396","1,780","1,668",265,"10,287","6,269"
2020년04월_계_50~59세,"72,674",724,"1,013",749,589,"1,287","1,881","6,722","3,191","2,246","2,671","3,805","1,938",950,"3,261","3,134","2,702","1,421","3,062","2,762","2,667","5,564","2,480","2,299","2,593",569,"6,840","5,554"
2020년04월_계_60~69세,"51,133",676,999,665,580,"1,185","1,582","4,263","2,564","2,017","1,920","2,574","2,065",746,"2,649","2,055","1,984","1,316","2,576","2,661","1,387","2,161","1,475","1,498","2,068",542,"3,587","3,338"
2020년04월_계_70~79세,"28,583",436,734,497,383,866,"1,055","2,267","1,187","1,237",862,"1,297","1,365",514,"1,602","1,000","1,194",894,"1,436","1,593",677,"1,157",735,764,"1,099",381,"1,680","1,671"
2020년04월_계_80~89세,"11,667",171,326,176,162,260,419,836,383,463,384,451,555,196,659,414,496,320,532,770,255,616,348,281,536,201,755,702
2020년04월_계_90~99세,"1,645",23,40,15,37,45,56,103,62,56,62,72,81,32,87,57,64,45,71,92,43,84,53,44,71,36,118,96
2020년04월_계_100세 이상,117,6,5,5,4,4,6,5,4,3,5,3,13,2,9,4,1,3,4,4,0,2,4,5,2,3,8,3
2020년04월_남_총인구수,"215,038","2,592","3,561","2,646","1,780","4,038","6,044","19,110","9,540","6,435","6,999","11,636","5,374","3,055","9,422","8,199","7,875","4,052","8,361","6,837","7,534","15,172","7,092","5,963","6,360","1,411","26,112","17,838"
2020년04월_남_연령구간인구수,"215,038","2,592","3,561","2,646","1,780","4,038","6,044","19,110","9,540","6,435","6,999","11,636","5,374","3,055","9,422","8,199","7,875","4,052","8,361","6,837","7,534","15,172","7,092","5,963","6,360","1,411","26,112","17,838"
2020년04월_남_0~9세,"17,671",104,151,144,53,313,228,"1,393",936,295,495,"1,203",231,286,733,582,620,198,502,262,592,"1,317",656,340,261,40,"3,886","1,850"
2020년04월_남_10~19세,"23,516",106,252,183,69,311,374,"2,092","1,187",520,846,"1,290",395,280,847,"1,059",837,352,788,482,996,"2,677",997,610,490,86,"3,331","2,059"
2020년04월_남_20~29세,"33,082",448,691,471,228,502,"1,107","3,696","1,344",975,"1,177","1,637",741,393,"1,277","1,355","1,331",606,"1,268",902,"1,319","2,598","1,126","1,049","1,091",156,"3,052","2,542"
2020년04월_남_30~39세,"29,456",530,472,430,266,602,957,"2,521","1,173",822,901,"1,870",577,449,"1,413",886,"1,092",459,"1,049",768,939,"1,422",886,692,818,133,"4,488","2,841"
2020년04월_남_40~49세,"34,310",375,504,408,265,617,933,"2,816","1,440",939,959,"1,924",744,506,"1,441","1,213","1,226",576,"1,190",920,"1,214","2,625","1,102",909,846,160,"5,251","3,207"
2020년04월_남_50~59세,"35,486",396,520,407,334,636,"1,008","3,190","1,513","1,144","1,189","1,772",962,506,"1,555","1,462","1,224",686,"1,460","1,352","1,365","2,794","1,146","1,166","1,219",320,"3,412","2,748"
2020년04월_남_60~69세,"24,377",360,483,312,311,533,776,"2,009","1,194",947,915,"1,168",938,335,"1,205","1,019",880,593,"1,220","1,294",702,"1,070",724,756,"1,011",274,"1,741","1,607"
2020년04월_남_70~79세,"12,731",197,316,211,180,404,484,"1,058",584,583,383,609,584,227,719,456,465,441,681,628,314,444,334,346,477,167,714,725
2020년04월_남_80~89세,"4,063",68,156,76,63,109,168,312,158,199,121,145,185,69,215,153,183,129,190,214,86,199,113,88,139,67,217,241
2020년04월_남_90~99세,333,6,15,4,10,11,9,23,11,11,12,17,14,4,16,13,17,12,13,15,7,24,8,7,8,8,20,18
2020년04월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020년04월_여_총인구수,"218,019","2,461","3,415","2,388","1,538","4,129","5,466","19,248","10,278","6,282","7,471","11,905","5,637","3,099","9,781","8,569","8,656","4,063","8,502","7,348","7,087","15,806","7,325","5,812","6,618","1,303","26,175","17,657"
2020년04월_여_연령구간인구수,"218,019","2,461","3,415","2,388","1,538","4,129","5,466","19,248","10,278","6,282","7,471","11,905","5,637","3,099","9,781","8,569","8,656","4,063","8,502","7,348","7,087","15,806","7,325","5,812","6,618","1,303","26,175","17,657"
2020년04월_여_0~9세,"16,987",118,143,138,44,294,210,"1,325",921,336,491,"1,117",214,280,760,597,622,162,517,260,528,"1,218",625,364,285,42,"3,670","1,706"
2020년04월_여_10~19세,"20,866",89,244,145,61,270,357,"1,835","1,133",483,717,"1,103",325,265,715,985,763,342,708,434,757,"2,253",815,534,396,58,"3,079","2,000"
2020년04월_여_20~29세,"29,761",568,644,410,269,454,"1,004","3,360","1,306",852,"1,020","1,477",674,373,"1,167","1,172","1,263",517,"1,140",832,"1,079","2,219",930,866,944,107,"2,782","2,332"
2020년04월_여_30~39세,"27,334",437,324,298,154,603,704,"2,229","1,279",629,836,"1,813",474,409,"1,301",883,"1,013",388,890,613,870,"1,640",891,649,656,95,"4,724","2,532"
2020년04월_여_40~49세,"34,255",242,434,300,154,554,637,"2,895","1,708",844,"1,124","1,905",619,473,"1,282","1,372","1,323",516,"1,130",830,"1,298","3,425","1,294",871,822,105,"5,036","3,062"
2020년04월_여_50~59세,"37,188",328,493,342,255,651,873,"3,532","1,678","1,102","1,482","2,033",976,444,"1,706","1,672","1,478",735,"1,602","1,410","1,302","2,770","1,334","1,133","1,374",249,"3,428","2,806"
2020년04월_여_60~69세,"26,756",316,516,353,269,652,806,"2,254","1,370","1,070","1,005","1,406","1,127",411,"1,444","1,036","1,104",723,"1,356","1,367",685,"1,091",751,742,"1,057",268,"1,846","1,731"
2020년04월_여_70~79세,"15,852",239,418,286,203,462,571,"1,209",603,654,479,688,781,287,883,544,729,453,755,965,363,713,401,418,622,214,966,946
2020년04월_여_80~89세,"7,604",103,170,100,99,151,251,524,225,264,263,306,370,127,444,261,313,191,342,556,169,417,235,193,397,134,538,461
2020년04월_여_90~99세,"1,312",17,25,11,27,34,47,80,51,45,50,55,67,28,71,44,47,33,58,77,36,60,45,37,63,28,98,78
2020년04월_여_100세 이상,104,4,4,5,3,4,6,5,4,3,4,2,10,2,8,3,1,3,4,4,0,0,4,5,2,3,8,3
