,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년12월_계_총인구수,"510,956","21,602","26,568","29,885","36,610","40,374","26,562","21,977","23,955","26,778","19,928","34,196","38,126","19,980","26,166","23,940","32,641","22,547","20,444","18,677"
2021년12월_계_연령구간인구수,"510,956","21,602","26,568","29,885","36,610","40,374","26,562","21,977","23,955","26,778","19,928","34,196","38,126","19,980","26,166","23,940","32,641","22,547","20,444","18,677"
2021년12월_계_0~9세,"30,658","1,095","1,582","2,094","1,888","2,985","1,058","1,394","1,425","1,873","1,069","1,834","2,110",890,"1,318","1,022","2,247","2,265","1,228","1,281"
2021년12월_계_10~19세,"50,312","1,590","1,991","2,058","2,531","4,252","2,920","2,664","4,410","5,507","2,145","2,990","3,225","1,775","1,973","1,930","2,886","1,902","1,959","1,604"
2021년12월_계_20~29세,"69,956","3,690","3,090","3,436","6,509","6,676","4,344","2,892","3,045","2,895","2,459","4,077","5,055","3,147","3,091","3,279","4,400","2,652","2,660","2,559"
2021년12월_계_30~39세,"63,138","2,565","3,042","4,452","5,084","5,500","2,679","2,496","1,786","1,935","1,900","4,126","4,711","2,271","2,840","2,603","4,784","4,725","2,707","2,932"
2021년12월_계_40~49세,"81,770","3,269","4,066","4,476","5,292","6,497","3,948","3,804","4,761","6,244","3,294","5,414","5,489","2,880","3,725","3,451","5,222","3,765","3,274","2,899"
2021년12월_계_50~59세,"87,029","3,423","4,533","4,695","5,644","6,184","4,918","3,883","4,547","4,578","3,588","5,628","6,883","3,885","4,678","4,428","5,670","3,048","3,572","3,244"
2021년12월_계_60~69세,"70,747","3,166","4,476","4,732","5,584","4,827","3,734","2,665","2,326","2,212","2,672","4,968","6,211","3,004","4,435","3,823","4,199","2,357","2,864","2,492"
2021년12월_계_70~79세,"37,296","1,930","2,510","2,599","2,814","2,299","1,835","1,363","1,033",939,"1,847","3,262","2,925","1,400","2,704","2,242","1,988","1,184","1,370","1,052"
