,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년07월_계_총인구수,"53,826","21,208","2,234","2,613","2,752","2,506","2,412","2,730","1,781","3,235","2,481","3,116","1,937","2,219","2,602"
2021년07월_계_연령구간인구수,"53,826","21,208","2,234","2,613","2,752","2,506","2,412","2,730","1,781","3,235","2,481","3,116","1,937","2,219","2,602"
2021년07월_계_0~9세,"2,552","1,753",42,75,82,56,60,74,37,71,64,84,41,46,67
2021년07월_계_10~19세,"4,152","2,651",97,98,214,117,152,103,48,141,103,148,61,110,109
2021년07월_계_20~29세,"4,142","2,293",142,148,161,126,156,139,70,169,146,212,120,132,128
2021년07월_계_30~39세,"3,677","2,034",117,140,121,132,108,133,89,144,154,158,100,114,133
2021년07월_계_40~49세,"5,997","3,117",191,233,245,217,229,215,131,269,243,309,178,198,222
2021년07월_계_50~59세,"8,809","3,404",396,470,435,398,418,397,291,553,484,530,281,350,402
2021년07월_계_60~69세,"9,969","2,920",494,570,538,559,483,629,416,714,524,685,438,463,536
2021년07월_계_70~79세,"8,241","1,834",413,502,565,485,469,611,342,655,436,529,392,426,582
2021년07월_계_80~89세,"5,403","1,017",293,326,349,360,296,373,306,455,283,400,277,316,352
2021년07월_계_90~99세,852,177,47,49,40,53,41,55,50,62,43,58,49,61,67
2021년07월_계_100세 이상,32,8,2,2,2,3,0,1,1,2,1,3,0,3,4
2021년07월_남_총인구수,"26,718","10,555","1,151","1,327","1,361","1,224","1,175","1,338",869,"1,611","1,247","1,530",995,"1,068","1,267"
2021년07월_남_연령구간인구수,"26,718","10,555","1,151","1,327","1,361","1,224","1,175","1,338",869,"1,611","1,247","1,530",995,"1,068","1,267"
2021년07월_남_0~9세,"1,354",920,21,36,46,33,35,43,17,42,40,44,18,25,34
2021년07월_남_10~19세,"2,286","1,468",58,58,127,52,93,46,30,79,48,70,45,51,61
2021년07월_남_20~29세,"2,388","1,280",88,86,98,80,88,78,49,106,78,129,76,75,77
2021년07월_남_30~39세,"1,981","1,019",73,82,60,78,58,81,55,88,90,92,58,59,88
2021년07월_남_40~49세,"3,395","1,561",122,146,157,130,139,148,77,177,169,178,124,124,143
2021년07월_남_50~59세,"4,859","1,701",238,293,259,232,231,240,186,300,268,293,164,204,250
2021년07월_남_60~69세,"4,979","1,407",279,282,254,276,237,292,202,386,267,360,237,241,259
2021년07월_남_70~79세,"3,613",799,182,223,238,224,208,297,151,274,189,226,176,182,244
2021년07월_남_80~89세,"1,720",367,87,112,116,110,77,106,90,144,93,129,89,101,99
2021년07월_남_90~99세,141,32,3,8,6,9,9,7,12,15,5,9,8,6,12
2021년07월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"27,108","10,653","1,083","1,286","1,391","1,282","1,237","1,392",912,"1,624","1,234","1,586",942,"1,151","1,335"
2021년07월_여_연령구간인구수,"27,108","10,653","1,083","1,286","1,391","1,282","1,237","1,392",912,"1,624","1,234","1,586",942,"1,151","1,335"
2021년07월_여_0~9세,"1,198",833,21,39,36,23,25,31,20,29,24,40,23,21,33
2021년07월_여_10~19세,"1,866","1,183",39,40,87,65,59,57,18,62,55,78,16,59,48
2021년07월_여_20~29세,"1,754","1,013",54,62,63,46,68,61,21,63,68,83,44,57,51
2021년07월_여_30~39세,"1,696","1,015",44,58,61,54,50,52,34,56,64,66,42,55,45
2021년07월_여_40~49세,"2,602","1,556",69,87,88,87,90,67,54,92,74,131,54,74,79
2021년07월_여_50~59세,"3,950","1,703",158,177,176,166,187,157,105,253,216,237,117,146,152
2021년07월_여_60~69세,"4,990","1,513",215,288,284,283,246,337,214,328,257,325,201,222,277
2021년07월_여_70~79세,"4,628","1,035",231,279,327,261,261,314,191,381,247,303,216,244,338
2021년07월_여_80~89세,"3,683",650,206,214,233,250,219,267,216,311,190,271,188,215,253
2021년07월_여_90~99세,711,145,44,41,34,44,32,48,38,47,38,49,41,55,55
2021년07월_여_100세 이상,30,7,2,1,2,3,0,1,1,2,1,3,0,3,4
