,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년04월_계_총인구수,"50,341","29,050","3,200","1,412","1,914","2,360","2,994","4,161","2,245","3,005"
2021년04월_계_연령구간인구수,"50,341","29,050","3,200","1,412","1,914","2,360","2,994","4,161","2,245","3,005"
2021년04월_계_0~9세,"2,549","2,088",85,39,37,28,49,104,55,64
2021년04월_계_10~19세,"3,833","3,008",125,66,70,61,140,177,75,111
2021년04월_계_20~29세,"4,286","3,115",210,58,87,81,134,258,150,193
2021년04월_계_30~39세,"3,823","2,757",177,65,81,83,116,249,124,171
2021년04월_계_40~49세,"6,162","4,490",275,99,145,129,204,364,166,290
2021년04월_계_50~59세,"8,789","4,927",603,265,316,444,492,751,398,593
2021년04월_계_60~69세,"10,163","4,490",860,361,527,672,832,"1,025",585,811
2021년04월_계_70~79세,"6,320","2,674",478,249,341,425,589,719,392,453
2021년04월_계_80~89세,"3,805","1,305",331,173,265,375,386,438,260,272
2021년04월_계_90~99세,596,194,54,37,40,59,51,76,40,45
2021년04월_계_100세 이상,15,2,2,0,5,3,1,0,0,2
2021년04월_남_총인구수,"25,378","14,520","1,653",705,983,"1,183","1,456","2,143","1,170","1,565"
2021년04월_남_연령구간인구수,"25,378","14,520","1,653",705,983,"1,183","1,456","2,143","1,170","1,565"
2021년04월_남_0~9세,"1,313","1,076",45,20,20,13,19,51,33,36
2021년04월_남_10~19세,"2,036","1,604",62,36,36,33,77,96,34,58
2021년04월_남_20~29세,"2,443","1,723",139,38,54,56,78,155,88,112
2021년04월_남_30~39세,"1,980","1,385",97,39,50,42,59,145,67,96
2021년04월_남_40~49세,"3,305","2,277",155,65,93,84,126,239,107,159
2021년04월_남_50~59세,"4,729","2,556",335,137,189,247,286,417,227,335
2021년04월_남_60~69세,"5,202","2,188",465,191,277,373,418,534,320,436
2021년04월_남_70~79세,"2,923","1,188",227,120,164,198,266,355,192,213
2021년04월_남_80~89세,"1,292",483,110,50,85,118,112,133,94,107
2021년04월_남_90~99세,152,40,17,9,13,19,15,18,8,13
2021년04월_남_100세 이상,3,0,1,0,2,0,0,0,0,0
2021년04월_여_총인구수,"24,963","14,530","1,547",707,931,"1,177","1,538","2,018","1,075","1,440"
2021년04월_여_연령구간인구수,"24,963","14,530","1,547",707,931,"1,177","1,538","2,018","1,075","1,440"
2021년04월_여_0~9세,"1,236","1,012",40,19,17,15,30,53,22,28
2021년04월_여_10~19세,"1,797","1,404",63,30,34,28,63,81,41,53
2021년04월_여_20~29세,"1,843","1,392",71,20,33,25,56,103,62,81
2021년04월_여_30~39세,"1,843","1,372",80,26,31,41,57,104,57,75
2021년04월_여_40~49세,"2,857","2,213",120,34,52,45,78,125,59,131
2021년04월_여_50~59세,"4,060","2,371",268,128,127,197,206,334,171,258
2021년04월_여_60~69세,"4,961","2,302",395,170,250,299,414,491,265,375
2021년04월_여_70~79세,"3,397","1,486",251,129,177,227,323,364,200,240
2021년04월_여_80~89세,"2,513",822,221,123,180,257,274,305,166,165
2021년04월_여_90~99세,444,154,37,28,27,40,36,58,32,32
2021년04월_여_100세 이상,12,2,1,0,3,3,1,0,0,2
