,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년04월_계_총인구수,"655,816","353,702","24,847","23,955","32,807","32,923","41,108","37,760","26,593","19,961","21,805","38,438","26,642","17,822","9,041","302,114","38,773","21,723","25,173","44,130","6,146","18,349","22,628","47,046","17,971","16,265","34,990","8,920"
2021년04월_계_연령구간인구수,"655,816","353,702","24,847","23,955","32,807","32,923","41,108","37,760","26,593","19,961","21,805","38,438","26,642","17,822","9,041","302,114","38,773","21,723","25,173","44,130","6,146","18,349","22,628","47,046","17,971","16,265","34,990","8,920"
2021년04월_계_0~9세,"43,627","23,198","1,674","1,048","1,741","2,445","4,471","2,580","1,510",922,"1,434","2,178","1,671","1,063",461,"20,429","2,571","1,123","1,568","3,423",282,"1,279","1,589","3,749","1,312",866,"2,354",313
2021년04월_계_10~19세,"63,337","34,279","2,421","1,573","2,800","3,567","5,283","3,916","2,751","1,688","2,077","3,679","2,497","1,271",756,"29,058","3,842","1,858","2,113","5,158",307,"1,765","2,471","4,693","1,441","1,529","3,509",372
2021년04월_계_20~29세,"107,254","59,062","3,771","4,377","6,021","5,344","7,161","5,986","4,380","3,541","3,444","7,095","4,657","2,172","1,113","48,192","6,052","4,132","5,264","7,495",460,"2,756","3,091","7,388","2,693","2,444","5,689",728
2021년04월_계_30~39세,"85,313","44,134","3,018","3,727","4,552","4,168","5,755","4,490","2,950","2,410","2,374","4,387","3,234","2,137",932,"41,179","5,016","3,127","3,886","5,567",618,"2,468","2,886","7,286","2,985","1,830","4,845",665
2021년04월_계_40~49세,"106,839","57,359","4,430","3,923","5,450","5,451","7,085","6,764","4,308","3,041","3,551","5,885","3,530","2,617","1,324","49,480","7,042","3,185","3,658","7,151",974,"2,777","4,013","8,111","2,747","2,758","6,084",980
2021년04월_계_50~59세,"127,664","69,160","4,665","4,523","6,327","6,365","6,779","7,350","5,425","4,216","4,666","8,137","5,640","3,227","1,840","58,504","7,545","4,107","4,484","8,867","1,586","3,678","4,335","8,226","3,337","3,618","6,786","1,935"
2021년04월_계_60~69세,"74,862","39,823","2,704","2,764","3,039","3,547","3,305","3,882","3,036","2,372","2,514","4,470","3,575","3,036","1,579","35,039","4,085","2,529","2,883","4,466","1,050","2,424","2,716","4,655","2,218","2,013","3,762","2,238"
2021년04월_계_70~79세,"29,897","16,870","1,433","1,328","1,550","1,290",841,"1,807","1,414","1,106","1,090","1,620","1,113","1,599",679,"13,027","1,699","1,084",856,"1,235",579,859,984,"1,856",788,785,"1,235","1,067"
2021년04월_계_80~89세,"14,772","8,498",632,599,"1,119",644,359,874,719,598,598,861,588,601,306,"6,274",804,522,380,647,267,300,467,934,397,373,648,535
2021년04월_계_90~99세,"2,160","1,269",95,89,196,99,69,111,95,67,54,120,128,96,50,891,111,56,75,119,23,35,72,142,53,47,76,82
2021년04월_계_100세 이상,91,50,4,4,12,3,0,0,5,0,3,6,9,3,1,41,6,0,6,2,0,8,4,6,0,2,2,5
2021년04월_남_총인구수,"336,479","180,526","12,672","12,830","17,230","16,663","20,726","19,515","13,190","9,966","11,270","19,668","13,063","8,975","4,758","155,953","20,484","10,861","12,540","22,184","3,533","9,305","12,172","24,144","9,215","8,814","17,983","4,718"
