카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년01월_계_총인구수,"217,594","6,240","28,755","11,467","9,195","13,464","21,692","14,238","16,014","23,832","13,739","30,029","28,929"
2020년01월_계_연령구간인구수,"217,594","6,240","28,755","11,467","9,195","13,464","21,692","14,238","16,014","23,832","13,739","30,029","28,929"
2020년01월_계_0~9세,"13,623",242,"1,712",350,554,817,"1,139",601,"1,006","1,678",823,"2,165","2,536"
2020년01월_계_10~19세,"16,141",353,"2,088",567,706,996,"1,115",797,"1,227","1,937","1,109","2,462","2,784"
2020년01월_계_20~29세,"29,850",680,"3,805",995,"1,130","1,820","3,873","1,842","2,291","4,004","1,933","3,647","3,830"
2020년01월_계_30~39세,"26,852",648,"3,496",923,"1,092","1,567","3,142","1,680","1,938","3,217","1,613","3,858","3,678"
2020년01월_계_40~49세,"30,640",807,"3,851","1,438","1,314","1,754","2,694","1,898","2,123","3,552","1,892","4,495","4,822"
2020년01월_계_50~59세,"43,041","1,393","5,882","2,305","1,907","2,893","4,415","3,030","3,320","4,078","2,563","5,668","5,587"
2020년01월_계_60~69세,"34,949","1,201","4,911","2,481","1,411","2,302","3,392","2,652","2,596","3,175","2,294","4,846","3,688"
2020년01월_계_70~79세,"16,335",685,"2,207","1,644",798,963,"1,454","1,276","1,102","1,594","1,051","2,107","1,454"
2020년01월_계_80~89세,"5,468",206,713,693,249,307,405,409,364,533,417,691,481
2020년01월_계_90~99세,629,20,74,69,30,43,51,46,45,58,44,84,65
2020년01월_계_100세 이상,66,5,16,2,4,2,12,7,2,6,0,6,4
2020년01월_남_총인구수,"110,022","3,344","14,484","5,464","4,706","6,851","11,224","7,534","8,215","11,938","6,744","15,002","14,516"
2020년01월_남_연령구간인구수,"110,022","3,344","14,484","5,464","4,706","6,851","11,224","7,534","8,215","11,938","6,744","15,002","14,516"
2020년01월_남_0~9세,"6,937",132,851,170,271,424,578,316,511,840,418,"1,122","1,304"
2020년01월_남_10~19세,"8,475",192,"1,093",315,374,520,591,427,643,"1,005",577,"1,295","1,443"
2020년01월_남_20~29세,"16,021",391,"2,093",559,656,983,"1,927","1,005","1,279","2,047","1,008","1,979","2,094"
2020년01월_남_30~39세,"14,306",355,"1,874",513,584,819,"1,742",971,"1,022","1,686",874,"2,010","1,856"
2020년01월_남_40~49세,"15,979",469,"2,004",832,680,923,"1,444","1,074","1,085","1,858",932,"2,296","2,382"
2020년01월_남_50~59세,"21,436",783,"2,826","1,199","1,031","1,406","2,300","1,632","1,636","1,959","1,177","2,726","2,761"
2020년01월_남_60~69세,"17,452",631,"2,436","1,088",666,"1,195","1,785","1,369","1,361","1,585","1,114","2,388","1,834"
2020년01월_남_70~79세,"7,552",321,"1,054",603,362,472,705,581,550,771,489,945,699
2020년01월_남_80~89세,"1,756",67,236,175,76,104,147,149,122,177,147,221,135
2020년01월_남_90~99세,100,3,17,9,5,4,4,8,5,10,8,19,8
2020년01월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년01월_여_총인구수,"107,572","2,896","14,271","6,003","4,489","6,613","10,468","6,704","7,799","11,894","6,995","15,027","14,413"
2020년01월_여_연령구간인구수,"107,572","2,896","14,271","6,003","4,489","6,613","10,468","6,704","7,799","11,894","6,995","15,027","14,413"
2020년01월_여_0~9세,"6,686",110,861,180,283,393,561,285,495,838,405,"1,043","1,232"
2020년01월_여_10~19세,"7,666",161,995,252,332,476,524,370,584,932,532,"1,167","1,341"
2020년01월_여_20~29세,"13,829",289,"1,712",436,474,837,"1,946",837,"1,012","1,957",925,"1,668","1,736"
2020년01월_여_30~39세,"12,546",293,"1,622",410,508,748,"1,400",709,916,"1,531",739,"1,848","1,822"
2020년01월_여_40~49세,"14,661",338,"1,847",606,634,831,"1,250",824,"1,038","1,694",960,"2,199","2,440"
2020년01월_여_50~59세,"21,605",610,"3,056","1,106",876,"1,487","2,115","1,398","1,684","2,119","1,386","2,942","2,826"
2020년01월_여_60~69세,"17,497",570,"2,475","1,393",745,"1,107","1,607","1,283","1,235","1,590","1,180","2,458","1,854"
2020년01월_여_70~79세,"8,783",364,"1,153","1,041",436,491,749,695,552,823,562,"1,162",755
2020년01월_여_80~89세,"3,712",139,477,518,173,203,258,260,242,356,270,470,346
2020년01월_여_90~99세,529,17,57,60,25,39,47,38,40,48,36,65,57
2020년01월_여_100세 이상,58,5,16,1,3,1,11,5,1,6,0,5,4
