카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년01월_계_총인구수,"52,120","23,144","3,369","2,861","2,551","2,593","2,868","2,150","3,272","3,145","6,167"
2020년01월_계_연령구간인구수,"52,120","23,144","3,369","2,861","2,551","2,593","2,868","2,150","3,272","3,145","6,167"
2020년01월_계_0~9세,"2,774","1,796",97,75,75,131,95,62,75,93,275
2020년01월_계_10~19세,"4,440","2,553",167,119,80,150,406,160,217,145,443
2020년01월_계_20~29세,"4,231","2,271",248,185,120,139,176,110,200,247,535
2020년01월_계_30~39세,"4,120","2,361",220,188,126,172,142,86,158,200,467
2020년01월_계_40~49세,"6,491","3,631",322,240,215,264,242,191,354,319,713
2020년01월_계_50~59세,"9,286","3,741",627,506,446,452,453,447,650,645,"1,319"
2020년01월_계_60~69세,"9,339","3,232",719,700,593,569,537,423,669,709,"1,188"
2020년01월_계_70~79세,"6,746","2,332",520,456,462,415,437,389,573,457,705
2020년01월_계_80~89세,"4,145","1,075",382,355,388,276,347,246,335,285,456
2020년01월_계_90~99세,516,137,65,37,44,25,32,34,38,42,62
2020년01월_계_100세 이상,32,15,2,0,2,0,1,2,3,3,4
2020년01월_남_총인구수,"26,240","11,401","1,726","1,493","1,266","1,304","1,427","1,107","1,644","1,665","3,207"
2020년01월_남_연령구간인구수,"26,240","11,401","1,726","1,493","1,266","1,304","1,427","1,107","1,644","1,665","3,207"
2020년01월_남_0~9세,"1,414",896,57,41,35,56,55,33,45,52,144
2020년01월_남_10~19세,"2,321","1,300",100,77,40,82,196,88,117,87,234
2020년01월_남_20~29세,"2,430","1,287",150,115,65,84,104,76,104,145,300
2020년01월_남_30~39세,"2,163","1,198",123,114,74,88,66,40,82,105,273
2020년01월_남_40~49세,"3,637","1,910",188,154,152,166,148,120,206,194,399
2020년01월_남_50~59세,"5,063","1,900",362,291,255,265,258,257,375,372,728
2020년01월_남_60~69세,"4,712","1,521",367,370,303,285,281,232,338,377,638
2020년01월_남_70~79세,"2,965",981,230,211,203,184,196,163,253,221,323
2020년01월_남_80~89세,"1,400",375,132,109,129,90,114,90,111,101,149
2020년01월_남_90~99세,125,29,16,11,9,4,9,8,11,10,18
2020년01월_남_100세 이상,10,4,1,0,1,0,0,0,2,1,1
2020년01월_여_총인구수,"25,880","11,743","1,643","1,368","1,285","1,289","1,441","1,043","1,628","1,480","2,960"
2020년01월_여_연령구간인구수,"25,880","11,743","1,643","1,368","1,285","1,289","1,441","1,043","1,628","1,480","2,960"
2020년01월_여_0~9세,"1,360",900,40,34,40,75,40,29,30,41,131
2020년01월_여_10~19세,"2,119","1,253",67,42,40,68,210,72,100,58,209
2020년01월_여_20~29세,"1,801",984,98,70,55,55,72,34,96,102,235
2020년01월_여_30~39세,"1,957","1,163",97,74,52,84,76,46,76,95,194
2020년01월_여_40~49세,"2,854","1,721",134,86,63,98,94,71,148,125,314
2020년01월_여_50~59세,"4,223","1,841",265,215,191,187,195,190,275,273,591
2020년01월_여_60~69세,"4,627","1,711",352,330,290,284,256,191,331,332,550
2020년01월_여_70~79세,"3,781","1,351",290,245,259,231,241,226,320,236,382
2020년01월_여_80~89세,"2,745",700,250,246,259,186,233,156,224,184,307
2020년01월_여_90~99세,391,108,49,26,35,21,23,26,27,32,44
2020년01월_여_100세 이상,22,11,1,0,1,0,1,2,1,2,3
