카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년06월_계_총인구수,"342,481","22,910","19,812","15,555","21,649","16,327","28,912","11,428","35,017","22,522","25,136","28,380","17,488","21,824","26,619","28,902"
2021년06월_계_연령구간인구수,"342,481","22,910","19,812","15,555","21,649","16,327","28,912","11,428","35,017","22,522","25,136","28,380","17,488","21,824","26,619","28,902"
2021년06월_계_0~9세,"18,576",376,851,717,"1,125",730,"1,382",524,"3,120",939,"1,563","2,254",675,804,"1,698","1,818"
2021년06월_계_10~19세,"25,320",740,996,735,"1,356",910,"1,892",524,"5,465","1,475","1,833","2,601",855,"1,123","2,332","2,483"
2021년06월_계_20~29세,"62,352","9,927","4,522","2,828","3,846","2,648","4,392","2,378","4,082","4,353","3,758","3,842","2,746","4,767","3,678","4,585"
2021년06월_계_30~39세,"55,128","4,439","3,640","2,947","3,886","2,661","4,279","2,604","3,688","3,721","3,800","4,227","2,569","4,307","3,765","4,595"
2021년06월_계_40~49세,"51,276","2,154","2,574","2,116","2,958","2,250","4,058","1,622","7,524","3,353","3,920","4,541","2,339","3,157","4,255","4,455"
2021년06월_계_50~59세,"53,830","2,064","2,845","2,471","3,500","2,876","5,219","1,425","5,585","3,549","4,175","4,644","3,020","3,119","4,530","4,808"
2021년06월_계_60~69세,"43,531","1,736","2,434","2,146","2,932","2,409","4,520","1,271","3,120","2,900","3,743","3,615","3,012","2,506","3,589","3,598"
2021년06월_계_70~79세,"22,057","1,004","1,344","1,134","1,466","1,282","2,272",742,"1,446","1,530","1,645","1,625","1,581","1,383","1,909","1,694"
2021년06월_계_80~89세,"9,144",414,543,407,510,494,789,297,836,627,607,902,619,578,764,757
2021년06월_계_90~99세,"1,196",53,60,53,68,61,97,39,146,74,88,124,70,64,95,104
2021년06월_계_100세 이상,71,3,3,1,2,6,12,2,5,1,4,5,2,16,4,5
2021년06월_남_총인구수,"165,233","10,908","9,779","7,551","10,206","8,082","14,171","5,231","16,927","10,887","12,188","13,612","8,706","10,414","12,846","13,725"
2021년06월_남_연령구간인구수,"165,233","10,908","9,779","7,551","10,206","8,082","14,171","5,231","16,927","10,887","12,188","13,612","8,706","10,414","12,846","13,725"
2021년06월_남_0~9세,"9,487",185,445,365,573,394,730,265,"1,631",460,792,"1,130",337,418,858,904
2021년06월_남_10~19세,"12,817",333,518,376,682,464,"1,006",268,"2,779",773,976,"1,256",412,557,"1,180","1,237"
2021년06월_남_20~29세,"29,196","4,288","2,141","1,257","1,676","1,304","2,205","1,009","2,027","2,064","1,837","1,915","1,349","2,168","1,831","2,125"
2021년06월_남_30~39세,"27,315","2,330","1,856","1,499","1,896","1,393","2,165","1,167","1,608","1,874","1,866","1,993","1,389","2,152","1,878","2,249"
2021년06월_남_40~49세,"25,256","1,193","1,350","1,103","1,450","1,154","2,062",825,"3,435","1,692","1,916","2,167","1,203","1,575","2,070","2,061"
2021년06월_남_50~59세,"26,354","1,116","1,436","1,235","1,650","1,407","2,486",653,"2,848","1,728","1,992","2,211","1,593","1,522","2,179","2,298"
2021년06월_남_60~69세,"20,729",810,"1,181","1,005","1,358","1,181","2,125",578,"1,550","1,368","1,792","1,794","1,456","1,165","1,641","1,725"
2021년06월_남_70~79세,"10,103",462,628,523,692,585,"1,054",328,663,644,762,743,715,613,892,799
2021년06월_남_80~89세,"3,626",174,214,177,215,184,311,121,341,263,231,356,233,224,293,289
2021년06월_남_90~99세,332,17,10,10,12,15,23,17,43,21,23,46,18,18,23,36
2021년06월_남_100세 이상,18,0,0,1,2,1,4,0,2,0,1,1,1,2,1,2
2021년06월_여_총인구수,"177,248","12,002","10,033","8,004","11,443","8,245","14,741","6,197","18,090","11,635","12,948","14,768","8,782","11,410","13,773","15,177"
2021년06월_여_연령구간인구수,"177,248","12,002","10,033","8,004","11,443","8,245","14,741","6,197","18,090","11,635","12,948","14,768","8,782","11,410","13,773","15,177"
2021년06월_여_0~9세,"9,089",191,406,352,552,336,652,259,"1,489",479,771,"1,124",338,386,840,914
2021년06월_여_10~19세,"12,503",407,478,359,674,446,886,256,"2,686",702,857,"1,345",443,566,"1,152","1,246"
2021년06월_여_20~29세,"33,156","5,639","2,381","1,571","2,170","1,344","2,187","1,369","2,055","2,289","1,921","1,927","1,397","2,599","1,847","2,460"
2021년06월_여_30~39세,"27,813","2,109","1,784","1,448","1,990","1,268","2,114","1,437","2,080","1,847","1,934","2,234","1,180","2,155","1,887","2,346"
2021년06월_여_40~49세,"26,020",961,"1,224","1,013","1,508","1,096","1,996",797,"4,089","1,661","2,004","2,374","1,136","1,582","2,185","2,394"
2021년06월_여_50~59세,"27,476",948,"1,409","1,236","1,850","1,469","2,733",772,"2,737","1,821","2,183","2,433","1,427","1,597","2,351","2,510"
2021년06월_여_60~69세,"22,802",926,"1,253","1,141","1,574","1,228","2,395",693,"1,570","1,532","1,951","1,821","1,556","1,341","1,948","1,873"
2021년06월_여_70~79세,"11,954",542,716,611,774,697,"1,218",414,783,886,883,882,866,770,"1,017",895
2021년06월_여_80~89세,"5,518",240,329,230,295,310,478,176,495,364,376,546,386,354,471,468
2021년06월_여_90~99세,864,36,50,43,56,46,74,22,103,53,65,78,52,46,72,68
2021년06월_여_100세 이상,53,3,3,0,0,5,8,2,3,1,3,4,1,14,3,3
