,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년03월_계_총인구수,"567,978","24,574","15,564","9,044","28,100","14,798","17,729","32,180","29,989","24,010","16,897","31,836","22,184","44,254","16,893","77,435","40,177","21,039","11,726","37,121","20,022","18,901","13,505"
2020년03월_계_연령구간인구수,"567,978","24,574","15,564","9,044","28,100","14,798","17,729","32,180","29,989","24,010","16,897","31,836","22,184","44,254","16,893","77,435","40,177","21,039","11,726","37,121","20,022","18,901","13,505"
2020년03월_계_0~9세,"42,717","1,798",669,430,"2,217",720,"1,400","2,181","2,005","1,433",958,"1,522","2,184","5,477",677,"9,333","3,153","1,200",423,"2,510",910,804,713
2020년03월_계_10~19세,"57,766","2,075",790,620,"2,429","1,086","1,779","3,814","3,143","2,722","1,501","2,645","2,166","8,369","1,255","8,465","5,050","1,596",648,"3,824","1,438","1,344","1,007"
2020년03월_계_20~29세,"80,679","3,104","2,455","1,373","4,314","2,461","2,531","5,161","4,856","4,170","2,566","6,464","2,754","4,186","1,884","9,323","5,535","3,681","1,325","5,248","2,916","2,606","1,766"
2020년03월_계_30~39세,"69,310","2,977","2,034","1,016","3,882","1,840","2,327","3,458","3,465","2,581","2,175","3,638","3,065","4,912","1,406","11,999","4,305","2,934","1,212","4,088","2,361","2,033","1,602"
2020년03월_계_40~49세,"92,201","3,729","2,014","1,207","4,274","2,105","2,878","5,519","4,882","3,933","2,479","4,847","3,980","10,820","2,380","13,713","6,662","2,699","1,314","5,428","2,802","2,494","2,042"
2020년03월_계_50~59세,"105,617","4,337","2,823","1,616","5,299","3,067","3,376","6,696","6,550","5,292","3,626","6,497","3,967","5,794","3,158","11,890","7,459","4,075","2,369","7,572","3,911","3,604","2,639"
2020년03월_계_60~69세,"70,321","3,729","2,520","1,402","3,535","2,168","2,123","3,244","3,123","2,338","2,374","3,495","2,610","2,796","3,096","7,646","4,804","2,965","2,519","5,184","3,197","3,308","2,145"
2020년03월_계_70~79세,"33,495","1,989","1,577",914,"1,567",944,940,"1,473","1,325","1,018",854,"1,816","1,022","1,272","2,046","3,468","2,069","1,275","1,248","2,148","1,716","1,773","1,041"
2020년03월_계_80~89세,"14,180",748,615,417,513,373,335,584,575,478,323,815,385,554,895,"1,424","1,008",544,588,"1,010",690,825,481
2020년03월_계_90~99세,"1,607",81,62,44,67,32,37,48,63,44,41,96,48,66,90,157,127,66,80,108,78,103,69
2020년03월_계_100세 이상,85,7,5,5,3,2,3,2,2,1,0,1,3,8,6,17,5,4,0,1,3,7,0
2020년03월_남_총인구수,"280,655","11,962","7,581","4,373","13,804","7,353","8,753","16,151","15,113","12,083","8,531","16,348","10,992","21,664","8,125","38,177","19,683","10,446","5,666","18,065","9,948","9,112","6,725"
2020년03월_남_연령구간인구수,"280,655","11,962","7,581","4,373","13,804","7,353","8,753","16,151","15,113","12,083","8,531","16,348","10,992","21,664","8,125","38,177","19,683","10,446","5,666","18,065","9,948","9,112","6,725"
2020년03월_남_0~9세,"21,906",881,344,229,"1,102",353,733,"1,126","1,074",739,498,802,"1,074","2,796",380,"4,782","1,599",628,214,"1,282",499,412,359
2020년03월_남_10~19세,"30,027",984,406,312,"1,251",583,908,"2,036","1,661","1,401",789,"1,338","1,019","4,246",659,"4,489","2,788",839,353,"2,008",751,671,535
2020년03월_남_20~29세,"43,179","1,548","1,156",704,"2,171","1,301","1,350","2,782","2,631","2,288","1,405","3,573","1,506","2,277","1,025","4,950","3,028","1,955",764,"2,817","1,549","1,407",992
2020년03월_남_30~39세,"35,882","1,511","1,069",527,"2,020","1,024","1,200","1,786","1,875","1,376","1,204","2,111","1,551","2,151",767,"5,828","2,127","1,653",699,"2,092","1,307","1,115",889
2020년03월_남_40~49세,"44,599","1,950","1,104",613,"2,091","1,020","1,368","2,532","2,245","1,801","1,214","2,481","2,011","5,038","1,238","6,726","2,943","1,310",668,"2,498","1,428","1,257","1,063"
2020년03월_남_50~59세,"51,083","2,159","1,395",773,"2,531","1,463","1,617","3,362","3,216","2,638","1,677","3,275","1,918","3,104","1,565","5,641","3,524","1,871","1,060","3,491","1,855","1,671","1,277"
2020년03월_남_60~69세,"34,075","1,763","1,186",656,"1,701","1,069","1,043","1,626","1,626","1,224","1,236","1,729","1,275","1,301","1,403","3,669","2,361","1,445","1,173","2,559","1,503","1,527","1,000"
2020년03월_남_70~79세,"14,789",894,689,393,728,402,415,691,565,445,378,785,490,555,794,"1,563",930,566,552,954,795,746,459
2020년03월_남_80~89세,"4,749",257,219,156,193,128,112,203,203,165,119,234,136,178,268,487,352,167,163,343,245,288,133
2020년03월_남_90~99세,349,14,12,10,14,9,6,7,17,6,11,20,10,17,25,36,31,12,20,21,16,17,18
2020년03월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0
2020년03월_여_총인구수,"287,323","12,612","7,983","4,671","14,296","7,445","8,976","16,029","14,876","11,927","8,366","15,488","11,192","22,590","8,768","39,258","20,494","10,593","6,060","19,056","10,074","9,789","6,780"
2020년03월_여_연령구간인구수,"287,323","12,612","7,983","4,671","14,296","7,445","8,976","16,029","14,876","11,927","8,366","15,488","11,192","22,590","8,768","39,258","20,494","10,593","6,060","19,056","10,074","9,789","6,780"
2020년03월_여_0~9세,"20,811",917,325,201,"1,115",367,667,"1,055",931,694,460,720,"1,110","2,681",297,"4,551","1,554",572,209,"1,228",411,392,354
2020년03월_여_10~19세,"27,739","1,091",384,308,"1,178",503,871,"1,778","1,482","1,321",712,"1,307","1,147","4,123",596,"3,976","2,262",757,295,"1,816",687,673,472
2020년03월_여_20~29세,"37,500","1,556","1,299",669,"2,143","1,160","1,181","2,379","2,225","1,882","1,161","2,891","1,248","1,909",859,"4,373","2,507","1,726",561,"2,431","1,367","1,199",774
2020년03월_여_30~39세,"33,428","1,466",965,489,"1,862",816,"1,127","1,672","1,590","1,205",971,"1,527","1,514","2,761",639,"6,171","2,178","1,281",513,"1,996","1,054",918,713
2020년03월_여_40~49세,"47,602","1,779",910,594,"2,183","1,085","1,510","2,987","2,637","2,132","1,265","2,366","1,969","5,782","1,142","6,987","3,719","1,389",646,"2,930","1,374","1,237",979
2020년03월_여_50~59세,"54,534","2,178","1,428",843,"2,768","1,604","1,759","3,334","3,334","2,654","1,949","3,222","2,049","2,690","1,593","6,249","3,935","2,204","1,309","4,081","2,056","1,933","1,362"
2020년03월_여_60~69세,"36,246","1,966","1,334",746,"1,834","1,099","1,080","1,618","1,497","1,114","1,138","1,766","1,335","1,495","1,693","3,977","2,443","1,520","1,346","2,625","1,694","1,781","1,145"
2020년03월_여_70~79세,"18,706","1,095",888,521,839,542,525,782,760,573,476,"1,031",532,717,"1,252","1,905","1,139",709,696,"1,194",921,"1,027",582
2020년03월_여_80~89세,"9,431",491,396,261,320,245,223,381,372,313,204,581,249,376,627,937,656,377,425,667,445,537,348
2020년03월_여_90~99세,"1,258",67,50,34,53,23,31,41,46,38,30,76,38,49,65,121,96,54,60,87,62,86,51
2020년03월_여_100세 이상,68,6,4,5,1,1,2,2,2,1,0,1,1,7,5,11,5,4,0,1,3,6,0
