,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년02월_계_총인구수,"148,884","12,353","9,542","2,609","9,961","18,347","8,516","10,395","4,320","7,253","5,282","7,561","16,712","5,122","8,245","6,873","6,083","9,710"
2021년02월_계_연령구간인구수,"148,884","12,353","9,542","2,609","9,961","18,347","8,516","10,395","4,320","7,253","5,282","7,561","16,712","5,122","8,245","6,873","6,083","9,710"
2021년02월_계_0~9세,"7,389",793,568,107,538,"1,142",701,843,197,191,113,233,679,127,232,374,286,265
2021년02월_계_10~19세,"10,913","1,159",696,186,912,"1,629","1,001",850,345,204,224,432,"1,340",239,484,520,355,337
2021년02월_계_20~29세,"23,248","1,587","1,227",313,"1,321","2,441",922,"1,252",495,891,"1,102","1,663","4,381",622,"1,162",948,815,"2,106"
2021년02월_계_30~39세,"19,831","1,651","1,461",338,"1,221","2,223",946,"1,695",558,933,733,"1,235","2,059",530,887,948,841,"1,572"
2021년02월_계_40~49세,"22,047","2,157","1,481",375,"1,634","2,743","1,478","1,823",764,961,588,954,"2,277",622,"1,064",943,924,"1,259"
2021년02월_계_50~59세,"25,418","1,973","1,556",411,"1,709","3,283","1,418","1,619",701,"1,325",966,"1,109","2,329","1,108","1,821","1,281","1,142","1,667"
2021년02월_계_60~69세,"20,170","1,399","1,213",412,"1,336","2,546","1,026","1,174",586,"1,401",765,955,"1,628","1,039","1,399","1,015",898,"1,378"
2021년02월_계_70~79세,"12,427",999,762,282,805,"1,381",636,738,428,837,527,609,"1,247",542,805,541,538,750
2021년02월_계_80~89세,"6,060",537,465,147,394,776,317,336,193,374,220,309,645,238,323,244,236,306
2021년02월_계_90~99세,"1,103",78,92,32,77,160,51,53,43,91,34,48,106,46,54,47,38,53
2021년02월_계_100세 이상,278,20,21,6,14,23,20,12,10,45,10,14,21,9,14,12,10,17
2021년02월_남_총인구수,"72,372","5,745","4,274","1,247","4,748","8,534","3,963","4,797","2,004","4,348","2,847","3,555","8,063","2,755","4,236","3,375","2,958","4,923"
2021년02월_남_연령구간인구수,"72,372","5,745","4,274","1,247","4,748","8,534","3,963","4,797","2,004","4,348","2,847","3,555","8,063","2,755","4,236","3,375","2,958","4,923"
2021년02월_남_0~9세,"3,722",409,283,49,268,589,321,431,100,102,56,120,325,64,127,197,152,129
2021년02월_남_10~19세,"5,458",618,311,106,495,816,454,402,190,109,102,203,676,129,253,258,159,177
2021년02월_남_20~29세,"11,426",794,560,168,685,"1,237",422,591,235,470,558,776,"2,172",331,617,509,414,887
2021년02월_남_30~39세,"9,820",760,633,163,585,"1,021",432,772,253,514,424,605,"1,095",308,520,458,436,841
2021년02월_남_40~49세,"10,731",968,656,179,750,"1,217",692,854,370,599,354,473,"1,086",319,546,465,487,716
2021년02월_남_50~59세,"12,793",916,703,206,787,"1,487",746,782,321,928,550,547,"1,129",621,977,623,559,911
2021년02월_남_60~69세,"10,031",627,567,187,626,"1,203",470,528,271,904,440,450,788,603,704,507,419,737
2021년02월_남_70~79세,"5,469",399,316,128,358,608,260,290,173,490,253,255,495,270,338,242,223,371
2021년02월_남_80~89세,"2,457",223,204,46,165,308,136,130,79,181,95,106,257,89,130,86,94,128
2021년02월_남_90~99세,369,28,35,14,25,40,16,14,8,36,11,17,33,20,21,20,11,20
2021년02월_남_100세 이상,96,3,6,1,4,8,14,3,4,15,4,3,7,1,3,10,4,6
2021년02월_여_총인구수,"76,512","6,608","5,268","1,362","5,213","9,813","4,553","5,598","2,316","2,905","2,435","4,006","8,649","2,367","4,009","3,498","3,125","4,787"
2021년02월_여_연령구간인구수,"76,512","6,608","5,268","1,362","5,213","9,813","4,553","5,598","2,316","2,905","2,435","4,006","8,649","2,367","4,009","3,498","3,125","4,787"
2021년02월_여_0~9세,"3,667",384,285,58,270,553,380,412,97,89,57,113,354,63,105,177,134,136
2021년02월_여_10~19세,"5,455",541,385,80,417,813,547,448,155,95,122,229,664,110,231,262,196,160
2021년02월_여_20~29세,"11,822",793,667,145,636,"1,204",500,661,260,421,544,887,"2,209",291,545,439,401,"1,219"
2021년02월_여_30~39세,"10,011",891,828,175,636,"1,202",514,923,305,419,309,630,964,222,367,490,405,731
2021년02월_여_40~49세,"11,316","1,189",825,196,884,"1,526",786,969,394,362,234,481,"1,191",303,518,478,437,543
2021년02월_여_50~59세,"12,625","1,057",853,205,922,"1,796",672,837,380,397,416,562,"1,200",487,844,658,583,756
2021년02월_여_60~69세,"10,139",772,646,225,710,"1,343",556,646,315,497,325,505,840,436,695,508,479,641
2021년02월_여_70~79세,"6,958",600,446,154,447,773,376,448,255,347,274,354,752,272,467,299,315,379
2021년02월_여_80~89세,"3,603",314,261,101,229,468,181,206,114,193,125,203,388,149,193,158,142,178
2021년02월_여_90~99세,734,50,57,18,52,120,35,39,35,55,23,31,73,26,33,27,27,33
2021년02월_여_100세 이상,182,17,15,5,10,15,6,9,6,30,6,11,14,8,11,2,6,11
