,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년08월_계_총인구수,"53,739","21,201","2,234","2,619","2,740","2,500","2,399","2,730","1,781","3,231","2,477","3,120","1,918","2,204","2,585"
2021년08월_계_연령구간인구수,"53,739","21,201","2,234","2,619","2,740","2,500","2,399","2,730","1,781","3,231","2,477","3,120","1,918","2,204","2,585"
2021년08월_계_0~9세,"2,522","1,733",43,75,83,54,59,76,38,72,63,79,39,45,63
2021년08월_계_10~19세,"4,145","2,646",97,99,207,117,150,103,49,143,103,151,61,107,112
2021년08월_계_20~29세,"4,130","2,299",142,147,154,125,151,139,71,169,147,211,115,134,126
2021년08월_계_30~39세,"3,647","2,030",115,141,122,130,106,130,85,139,153,162,94,108,132
2021년08월_계_40~49세,"5,936","3,084",187,230,241,213,228,216,133,267,239,306,179,196,217
2021년08월_계_50~59세,"8,814","3,424",402,470,435,397,416,396,290,548,481,527,276,347,405
2021년08월_계_60~69세,"10,021","2,939",493,577,545,564,482,633,414,720,532,688,438,463,533
2021년08월_계_70~79세,"8,218","1,837",415,500,559,484,471,602,342,652,431,532,393,424,576
2021년08월_계_80~89세,"5,417","1,025",291,330,352,359,295,378,308,458,283,399,274,315,350
2021년08월_계_90~99세,857,176,47,48,40,54,41,56,50,61,44,62,49,62,67
2021년08월_계_100세 이상,32,8,2,2,2,3,0,1,1,2,1,3,0,3,4
2021년08월_남_총인구수,"26,676","10,553","1,151","1,330","1,356","1,218","1,173","1,341",870,"1,608","1,243","1,531",985,"1,059","1,258"
2021년08월_남_연령구간인구수,"26,676","10,553","1,151","1,330","1,356","1,218","1,173","1,341",870,"1,608","1,243","1,531",985,"1,059","1,258"
2021년08월_남_0~9세,"1,345",914,22,36,47,31,34,45,18,44,40,42,16,24,32
2021년08월_남_10~19세,"2,285","1,469",58,60,122,52,93,47,30,78,47,72,45,50,62
2021년08월_남_20~29세,"2,374","1,279",88,85,93,78,86,76,50,107,77,129,73,76,77
2021년08월_남_30~39세,"1,968","1,018",71,83,61,78,57,79,52,85,90,95,55,56,88
2021년08월_남_40~49세,"3,356","1,539",121,146,154,128,140,149,78,177,166,175,124,121,138
2021년08월_남_50~59세,"4,868","1,710",242,294,263,231,232,241,187,296,267,290,161,202,252
2021년08월_남_60~69세,"5,008","1,419",278,284,258,279,237,294,200,389,270,363,236,241,260
2021년08월_남_70~79세,"3,606",797,182,223,234,223,209,293,153,275,189,228,178,182,240
2021년08월_남_80~89세,"1,716",375,86,111,117,109,75,109,90,142,90,126,89,100,97
2021년08월_남_90~99세,148,32,3,7,7,9,10,8,12,15,7,11,8,7,12
2021년08월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"27,063","10,648","1,083","1,289","1,384","1,282","1,226","1,389",911,"1,623","1,234","1,589",933,"1,145","1,327"
2021년08월_여_연령구간인구수,"27,063","10,648","1,083","1,289","1,384","1,282","1,226","1,389",911,"1,623","1,234","1,589",933,"1,145","1,327"
2021년08월_여_0~9세,"1,177",819,21,39,36,23,25,31,20,28,23,37,23,21,31
2021년08월_여_10~19세,"1,860","1,177",39,39,85,65,57,56,19,65,56,79,16,57,50
2021년08월_여_20~29세,"1,756","1,020",54,62,61,47,65,63,21,62,70,82,42,58,49
2021년08월_여_30~39세,"1,679","1,012",44,58,61,52,49,51,33,54,63,67,39,52,44
2021년08월_여_40~49세,"2,580","1,545",66,84,87,85,88,67,55,90,73,131,55,75,79
2021년08월_여_50~59세,"3,946","1,714",160,176,172,166,184,155,103,252,214,237,115,145,153
2021년08월_여_60~69세,"5,013","1,520",215,293,287,285,245,339,214,331,262,325,202,222,273
2021년08월_여_70~79세,"4,612","1,040",233,277,325,261,262,309,189,377,242,304,215,242,336
2021년08월_여_80~89세,"3,701",650,205,219,235,250,220,269,218,316,193,273,185,215,253
2021년08월_여_90~99세,709,144,44,41,33,45,31,48,38,46,37,51,41,55,55
2021년08월_여_100세 이상,30,7,2,1,2,3,0,1,1,2,1,3,0,3,4
