,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년07월_계_총인구수,"209,345","30,110","12,682","10,501","10,876","16,737","18,375","7,639","17,023","16,541","17,493","14,732","36,636"
2020년07월_계_연령구간인구수,"209,345","30,110","12,682","10,501","10,876","16,737","18,375","7,639","17,023","16,541","17,493","14,732","36,636"
2020년07월_계_0~9세,"15,050","2,734","1,132",530,777,"1,314","1,630",245,764,809,"1,110","1,321","2,684"
2020년07월_계_10~19세,"16,599","3,592","1,586",750,980,"1,274","1,142",413,908,684,"1,052","1,151","3,067"
2020년07월_계_20~29세,"26,292","3,271","1,331","1,207","1,281","1,902","2,274",839,"2,425","3,463","1,981","1,701","4,617"
2020년07월_계_30~39세,"27,687","3,382","1,310","1,129","1,235","2,284","3,163",767,"2,123","3,221","2,433","1,935","4,705"
2020년07월_계_40~49세,"31,963","5,601","2,412","1,406","1,633","2,515","2,638","1,028","2,315","2,315","2,358","2,271","5,471"
2020년07월_계_50~59세,"34,342","4,749","1,974","1,715","1,903","2,736","2,804","1,342","2,942","2,344","2,774","2,532","6,527"
2020년07월_계_60~69세,"31,861","3,607","1,624","1,805","1,752","2,702","2,526","1,600","3,114","2,081","3,072","2,246","5,732"
2020년07월_계_70~79세,"17,962","2,219",922,"1,287",899,"1,443","1,544","1,009","1,748","1,173","1,894","1,147","2,677"
2020년07월_계_80~89세,"6,685",842,347,580,364,511,565,355,611,413,732,375,990
2020년07월_계_90~99세,823,110,35,85,51,48,81,36,69,30,76,47,155
2020년07월_계_100세 이상,81,3,9,7,1,8,8,5,4,8,11,6,11
2020년07월_남_총인구수,"100,984","14,588","6,073","4,961","5,341","8,181","8,808","3,630","8,187","7,874","8,486","7,230","17,625"
2020년07월_남_연령구간인구수,"100,984","14,588","6,073","4,961","5,341","8,181","8,808","3,630","8,187","7,874","8,486","7,230","17,625"
2020년07월_남_0~9세,"7,674","1,422",533,277,392,670,834,127,365,409,575,693,"1,377"
2020년07월_남_10~19세,"8,561","1,901",756,396,546,675,558,210,459,352,563,583,"1,562"
2020년07월_남_20~29세,"13,347","1,711",706,589,707,"1,028","1,111",441,"1,154","1,454","1,056",913,"2,477"
2020년07월_남_30~39세,"13,897","1,579",617,582,639,"1,157","1,573",406,"1,125","1,620","1,278",940,"2,381"
2020년07월_남_40~49세,"15,648","2,609","1,160",697,782,"1,230","1,328",507,"1,170","1,217","1,231","1,140","2,577"
2020년07월_남_50~59세,"16,225","2,349",964,805,889,"1,264","1,317",619,"1,410","1,109","1,326","1,234","2,939"
2020년07월_남_60~69세,"14,698","1,661",773,811,832,"1,259","1,139",738,"1,424",982,"1,359","1,049","2,671"
2020년07월_남_70~79세,"8,182",968,422,563,413,683,710,443,826,553,800,539,"1,262"
2020년07월_남_80~89세,"2,542",358,133,212,134,200,218,129,233,169,279,129,348
2020년07월_남_90~99세,191,29,7,27,7,13,17,9,20,7,17,8,30
2020년07월_남_100세 이상,19,1,2,2,0,2,3,1,1,2,2,2,1
2020년07월_여_총인구수,"108,361","15,522","6,609","5,540","5,535","8,556","9,567","4,009","8,836","8,667","9,007","7,502","19,011"
2020년07월_여_연령구간인구수,"108,361","15,522","6,609","5,540","5,535","8,556","9,567","4,009","8,836","8,667","9,007","7,502","19,011"
2020년07월_여_0~9세,"7,376","1,312",599,253,385,644,796,118,399,400,535,628,"1,307"
2020년07월_여_10~19세,"8,038","1,691",830,354,434,599,584,203,449,332,489,568,"1,505"
2020년07월_여_20~29세,"12,945","1,560",625,618,574,874,"1,163",398,"1,271","2,009",925,788,"2,140"
2020년07월_여_30~39세,"13,790","1,803",693,547,596,"1,127","1,590",361,998,"1,601","1,155",995,"2,324"
2020년07월_여_40~49세,"16,315","2,992","1,252",709,851,"1,285","1,310",521,"1,145","1,098","1,127","1,131","2,894"
2020년07월_여_50~59세,"18,117","2,400","1,010",910,"1,014","1,472","1,487",723,"1,532","1,235","1,448","1,298","3,588"
2020년07월_여_60~69세,"17,163","1,946",851,994,920,"1,443","1,387",862,"1,690","1,099","1,713","1,197","3,061"
2020년07월_여_70~79세,"9,780","1,251",500,724,486,760,834,566,922,620,"1,094",608,"1,415"
2020년07월_여_80~89세,"4,143",484,214,368,230,311,347,226,378,244,453,246,642
2020년07월_여_90~99세,632,81,28,58,44,35,64,27,49,23,59,39,125
2020년07월_여_100세 이상,62,2,7,5,1,6,5,4,3,6,9,4,10
