카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년02월_계_총인구수,"389,527","19,679","20,798","17,310","20,045","21,476","16,576","25,195","25,843","18,641","18,842","37,455","36,714","48,821","24,965","37,167"
2021년02월_계_연령구간인구수,"389,527","19,679","20,798","17,310","20,045","21,476","16,576","25,195","25,843","18,641","18,842","37,455","36,714","48,821","24,965","37,167"
2021년02월_계_0~9세,"38,579","1,373","1,507",884,937,"1,403",992,"1,243","2,346","1,375","1,544","3,193","4,899","6,914","3,818","6,151"
2021년02월_계_10~19세,"42,857","1,873","2,221","1,096","1,613","1,695","1,246","1,747","2,687","1,972","2,871","5,424","6,308","5,924","2,861","3,319"
2021년02월_계_20~29세,"52,061","2,673","2,984","2,440","3,156","3,369","2,242","3,510","3,573","2,690","2,557","6,213","3,632","6,250","2,778","3,994"
2021년02월_계_30~39세,"58,007","2,314","2,496","2,301","2,564","3,214","2,235","3,041","3,869","2,590","1,810","4,381","4,484","9,352","4,726","8,630"
2021년02월_계_40~49세,"69,039","3,128","3,327","2,349","3,297","3,081","2,225","3,673","4,213","2,952","3,416","6,640","8,552","9,889","5,227","7,070"
2021년02월_계_50~59세,"64,707","3,732","3,961","3,370","4,021","3,918","3,073","5,280","4,727","3,513","3,368","6,294","5,459","6,080","3,261","4,650"
2021년02월_계_60~69세,"39,752","2,531","2,492","2,959","2,700","2,815","2,531","3,921","2,924","2,226","1,960","3,462","2,203","2,934","1,610","2,484"
2021년02월_계_70~79세,"15,760","1,343","1,161","1,256","1,176","1,195","1,180","1,769",941,819,841,"1,192",759,"1,025",489,614
2021년02월_계_80~89세,"7,346",619,545,557,497,652,697,861,443,449,388,534,347,386,171,200
2021년02월_계_90~99세,"1,352",90,98,93,80,129,147,141,106,51,86,121,67,66,23,54
2021년02월_계_100세 이상,67,3,6,5,4,5,8,9,14,4,1,1,4,1,1,1
2021년02월_남_총인구수,"193,548","9,770","10,286","8,948","10,967","10,579","7,893","13,029","12,684","9,088","9,166","18,385","18,055","23,936","12,347","18,415"
2021년02월_남_연령구간인구수,"193,548","9,770","10,286","8,948","10,967","10,579","7,893","13,029","12,684","9,088","9,166","18,385","18,055","23,936","12,347","18,415"
2021년02월_남_0~9세,"19,670",708,753,464,483,729,505,641,"1,189",707,758,"1,658","2,500","3,478","1,943","3,154"
2021년02월_남_10~19세,"21,996",978,"1,152",563,882,862,650,879,"1,346","1,021","1,469","2,759","3,234","3,033","1,457","1,711"
2021년02월_남_20~29세,"26,980","1,459","1,589","1,366","1,790","1,810","1,133","1,996","1,841","1,374","1,331","3,087","1,866","3,035","1,365","1,938"
2021년02월_남_30~39세,"28,527","1,211","1,218","1,316","1,521","1,673","1,175","1,746","1,902","1,323",801,"2,088","1,866","4,350","2,192","4,145"
2021년02월_남_40~49세,"34,052","1,535","1,646","1,311","1,886","1,519","1,045","1,960","2,022","1,373","1,560","3,039","4,013","4,886","2,625","3,632"
2021년02월_남_50~59세,"31,917","1,821","1,911","1,590","2,193","1,839","1,405","2,673","2,219","1,635","1,664","3,163","2,914","3,039","1,649","2,202"
2021년02월_남_60~69세,"20,419","1,246","1,253","1,541","1,462","1,417","1,266","2,015","1,529","1,131","1,040","1,794","1,172","1,498",805,"1,250"
2021년02월_남_70~79세,"7,277",575,559,585,564,513,502,794,463,373,383,584,351,471,248,312
2021년02월_남_80~89세,"2,392",213,178,192,166,187,187,292,139,135,138,187,126,129,61,62
2021년02월_남_90~99세,301,24,25,20,20,28,23,29,30,15,22,26,12,16,2,9
2021년02월_남_100세 이상,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2021년02월_여_총인구수,"195,979","9,909","10,512","8,362","9,078","10,897","8,683","12,166","13,159","9,553","9,676","19,070","18,659","24,885","12,618","18,752"
2021년02월_여_연령구간인구수,"195,979","9,909","10,512","8,362","9,078","10,897","8,683","12,166","13,159","9,553","9,676","19,070","18,659","24,885","12,618","18,752"
2021년02월_여_0~9세,"18,909",665,754,420,454,674,487,602,"1,157",668,786,"1,535","2,399","3,436","1,875","2,997"
