,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년12월_계_총인구수,"43,414","13,737","6,154","3,734","3,111","2,035","1,212","2,452","3,071","4,511","3,397"
2020년12월_계_연령구간인구수,"43,414","13,737","6,154","3,734","3,111","2,035","1,212","2,452","3,071","4,511","3,397"
2020년12월_계_0~9세,"1,910",933,195,113,85,56,26,76,106,183,137
2020년12월_계_10~19세,"2,257","1,289",181,112,97,40,38,103,82,206,109
2020년12월_계_20~29세,"3,534","1,484",482,243,169,124,69,185,196,328,254
2020년12월_계_30~39세,"3,290","1,359",476,254,189,125,59,132,168,302,226
2020년12월_계_40~49세,"4,759","2,047",591,350,233,170,101,243,267,447,310
2020년12월_계_50~59세,"8,521","2,472","1,372",789,597,421,244,442,590,907,687
2020년12월_계_60~69세,"9,308","2,112","1,465",971,768,523,287,549,811,"1,014",808
2020년12월_계_70~79세,"5,836","1,262",881,517,520,306,209,427,519,669,526
2020년12월_계_80~89세,"3,482",677,434,335,381,240,159,259,281,410,306
2020년12월_계_90~99세,489,98,71,49,66,28,19,36,48,42,32
2020년12월_계_100세 이상,28,4,6,1,6,2,1,0,3,3,2
2020년12월_남_총인구수,"22,473","6,975","3,375","2,031","1,532","1,014",626,"1,237","1,580","2,307","1,796"
2020년12월_남_연령구간인구수,"22,473","6,975","3,375","2,031","1,532","1,014",626,"1,237","1,580","2,307","1,796"
2020년12월_남_0~9세,965,449,111,54,48,26,17,37,52,96,75
2020년12월_남_10~19세,"1,263",724,103,73,47,18,23,56,45,117,57
2020년12월_남_20~29세,"2,100",849,312,145,105,74,39,101,122,196,157
2020년12월_남_30~39세,"1,811",705,284,159,105,85,40,73,84,161,115
2020년12월_남_40~49세,"2,839","1,088",418,227,135,112,65,153,184,266,191
2020년12월_남_50~59세,"4,666","1,307",765,459,307,216,143,249,317,514,389
2020년12월_남_60~69세,"4,875","1,056",790,554,412,264,147,278,424,512,438
2020년12월_남_70~79세,"2,713",556,436,248,242,134,97,187,254,301,258
2020년12월_남_80~89세,"1,125",218,137,102,113,81,49,93,87,136,109
2020년12월_남_90~99세,110,22,17,10,17,4,5,10,10,8,7
2020년12월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년12월_여_총인구수,"20,941","6,762","2,779","1,703","1,579","1,021",586,"1,215","1,491","2,204","1,601"
2020년12월_여_연령구간인구수,"20,941","6,762","2,779","1,703","1,579","1,021",586,"1,215","1,491","2,204","1,601"
2020년12월_여_0~9세,945,484,84,59,37,30,9,39,54,87,62
2020년12월_여_10~19세,994,565,78,39,50,22,15,47,37,89,52
2020년12월_여_20~29세,"1,434",635,170,98,64,50,30,84,74,132,97
2020년12월_여_30~39세,"1,479",654,192,95,84,40,19,59,84,141,111
2020년12월_여_40~49세,"1,920",959,173,123,98,58,36,90,83,181,119
2020년12월_여_50~59세,"3,855","1,165",607,330,290,205,101,193,273,393,298
2020년12월_여_60~69세,"4,433","1,056",675,417,356,259,140,271,387,502,370
2020년12월_여_70~79세,"3,123",706,445,269,278,172,112,240,265,368,268
2020년12월_여_80~89세,"2,357",459,297,233,268,159,110,166,194,274,197
2020년12월_여_90~99세,379,76,54,39,49,24,14,26,38,34,25
2020년12월_여_100세 이상,22,3,4,1,5,2,0,0,2,3,2
