카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년09월_계_총인구수,"425,949","16,460","15,843","16,500","19,011","23,431","11,570","20,554","18,928","12,252","15,350","24,484","11,268","11,836","16,937","12,997","14,396","22,844","19,355","11,791","15,716","31,759","28,110","34,557"
2020년09월_계_연령구간인구수,"425,949","16,460","15,843","16,500","19,011","23,431","11,570","20,554","18,928","12,252","15,350","24,484","11,268","11,836","16,937","12,997","14,396","22,844","19,355","11,791","15,716","31,759","28,110","34,557"
2020년09월_계_0~9세,"30,126","1,358","1,073","1,957","1,520","1,895",534,"1,398","1,335","1,136",896,"2,067",570,766,"1,057","1,039",958,"1,076","1,126",384,"1,093","2,286","2,031","2,571"
2020년09월_계_10~19세,"51,854","2,148","1,815","2,055","4,270","2,565","1,207","4,001","2,229","1,753","1,475","4,258",882,791,"1,332","1,009","1,172","1,949","1,876",713,"1,820","4,785","3,384","4,365"
2020년09월_계_20~29세,"55,881","2,063","2,364","2,104","1,891","3,003","1,913","2,526","2,268","1,253","2,172","2,746","1,776","1,500","2,120","1,257","2,272","3,316","2,595","1,415","1,945","4,504","3,902","4,976"
2020년09월_계_30~39세,"43,356","1,583","2,059","2,157","1,299","2,444","1,214","1,467","1,706","1,177","1,520","2,023","1,397","1,610","2,077","1,576","1,885","2,341","1,975",970,"1,530","2,852","2,984","3,510"
2020년09월_계_40~49세,"73,426","2,949","2,659","3,253","4,704","3,763","1,742","4,590","3,248","2,462","2,277","4,951","1,797","1,908","2,499","1,969","2,339","3,244","2,886","1,367","2,612","5,726","4,657","5,824"
2020년09월_계_50~59세,"75,383","2,909","2,642","2,584","2,735","4,114","2,105","3,390","3,213","1,840","2,942","4,218","1,941","2,011","2,936","2,057","2,759","4,290","3,685","2,238","2,872","5,916","5,162","6,824"
2020년09월_계_60~69세,"51,578","1,747","1,791","1,281","1,331","2,965","1,537","1,672","2,294","1,400","2,114","2,385","1,502","1,694","2,613","2,130","1,819","3,451","2,896","2,366","2,376","3,284","3,391","3,539"
2020년09월_계_70~79세,"28,657","1,107",967,726,844,"1,743",837,"1,027","1,661",840,"1,232","1,172",960,"1,010","1,511","1,317",804,"2,083","1,417","1,484",981,"1,506","1,631","1,797"
2020년09월_계_80~89세,"13,777",536,423,324,367,836,438,430,861,356,632,565,391,476,674,553,332,950,798,750,420,787,847,"1,031"
2020년09월_계_90~99세,"1,815",54,48,51,48,101,41,51,107,30,83,93,50,67,113,83,53,139,99,100,64,110,116,114
2020년09월_계_100세 이상,96,6,2,8,2,2,2,2,6,5,7,6,2,3,5,7,3,5,2,4,3,3,5,6
2020년09월_남_총인구수,"206,262","7,863","7,693","7,892","9,303","11,438","5,796","10,771","8,763","5,961","7,188","11,752","5,399","5,849","8,205","6,270","7,005","10,874","9,152","5,377","7,611","15,420","13,970","16,710"
2020년09월_남_연령구간인구수,"206,262","7,863","7,693","7,892","9,303","11,438","5,796","10,771","8,763","5,961","7,188","11,752","5,399","5,849","8,205","6,270","7,005","10,874","9,152","5,377","7,611","15,420","13,970","16,710"
2020년09월_남_0~9세,"15,496",697,533,982,813,983,283,814,649,605,439,"1,043",284,402,564,524,473,560,590,186,547,"1,168","1,007","1,350"
2020년09월_남_10~19세,"27,389","1,026",961,"1,001","2,230","1,341",679,"2,615","1,050",885,725,"2,173",437,406,687,558,586,"1,112",960,363,970,"2,464","1,863","2,297"
