카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년06월_계_총인구수,"104,070","5,285","1,290","7,046","5,178","3,078","2,818","3,913","4,270","8,336","3,394","4,971","1,784","2,659","16,148","20,150","7,888","5,862"
2021년06월_계_연령구간인구수,"104,070","5,285","1,290","7,046","5,178","3,078","2,818","3,913","4,270","8,336","3,394","4,971","1,784","2,659","16,148","20,150","7,888","5,862"
2021년06월_계_0~9세,"5,421",132,17,271,121,59,60,84,71,438,80,96,38,66,"1,341","1,860",376,311
2021년06월_계_10~19세,"7,658",239,54,398,225,82,116,211,142,521,120,252,52,143,"1,409","2,536",602,556
2021년06월_계_20~29세,"8,904",305,127,472,358,152,171,201,205,644,162,306,91,219,"1,918","2,141",768,664
2021년06월_계_30~39세,"8,641",309,66,460,326,147,146,159,242,626,164,233,66,191,"2,152","2,063",698,593
2021년06월_계_40~49세,"12,819",496,95,757,481,205,262,355,306,973,304,368,125,303,"2,447","3,479","1,024",839
2021년06월_계_50~59세,"18,336",965,223,"1,294",963,513,545,728,844,"1,459",563,844,272,492,"2,797","3,290","1,419","1,125"
2021년06월_계_60~69세,"21,584","1,388",326,"1,631","1,346",955,754,"1,081","1,310","1,818",936,"1,323",511,593,"2,416","2,671","1,492","1,033"
2021년06월_계_70~79세,"12,743",913,222,"1,071",785,566,471,684,715,"1,130",641,859,348,421,"1,095","1,375",932,515
2021년06월_계_80~89세,"7,031",472,137,619,500,348,258,356,381,640,390,607,251,213,481,658,517,203
2021년06월_계_90~99세,905,63,23,69,71,51,32,52,51,86,32,80,30,18,90,75,60,22
2021년06월_계_100세 이상,28,3,0,4,2,0,3,2,3,1,2,3,0,0,2,2,0,1
2021년06월_남_총인구수,"51,109","2,636",640,"3,531","2,680","1,476","1,444","2,011","2,109","4,145","1,679","2,437",861,"1,293","7,971","9,703","3,659","2,834"
2021년06월_남_연령구간인구수,"51,109","2,636",640,"3,531","2,680","1,476","1,444","2,011","2,109","4,145","1,679","2,437",861,"1,293","7,971","9,703","3,659","2,834"
2021년06월_남_0~9세,"2,773",72,9,148,71,29,35,46,40,223,37,49,16,35,644,977,196,146
2021년06월_남_10~19세,"4,020",122,28,213,125,42,68,120,71,264,70,146,27,76,730,"1,349",292,277
2021년06월_남_20~29세,"5,167",189,71,290,236,98,112,127,129,396,90,171,58,145,"1,079","1,191",405,380
2021년06월_남_30~39세,"4,586",181,40,269,205,84,82,96,136,337,99,136,39,95,"1,122",996,367,302
2021년06월_남_40~49세,"6,789",299,66,457,286,131,162,219,179,547,192,207,79,163,"1,245","1,641",498,418
2021년06월_남_50~59세,"9,286",497,125,688,534,260,290,394,423,757,299,468,119,250,"1,392","1,553",699,538
2021년06월_남_60~69세,"10,580",704,152,784,698,457,388,569,669,924,463,672,279,280,"1,149","1,205",702,485
2021년06월_남_70~79세,"5,575",411,102,484,346,272,218,330,342,486,298,385,157,178,442,568,330,226
2021년06월_남_80~89세,"2,155",149,44,187,165,91,84,103,112,191,126,190,81,68,145,207,155,57
2021년06월_남_90~99세,173,11,3,11,14,12,4,7,7,20,4,13,6,3,23,15,15,5
2021년06월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021년06월_여_총인구수,"52,961","2,649",650,"3,515","2,498","1,602","1,374","1,902","2,161","4,191","1,715","2,534",923,"1,366","8,177","10,447","4,229","3,028"
2021년06월_여_연령구간인구수,"52,961","2,649",650,"3,515","2,498","1,602","1,374","1,902","2,161","4,191","1,715","2,534",923,"1,366","8,177","10,447","4,229","3,028"
2021년06월_여_0~9세,"2,648",60,8,123,50,30,25,38,31,215,43,47,22,31,697,883,180,165
2021년06월_여_10~19세,"3,638",117,26,185,100,40,48,91,71,257,50,106,25,67,679,"1,187",310,279
2021년06월_여_20~29세,"3,737",116,56,182,122,54,59,74,76,248,72,135,33,74,839,950,363,284
2021년06월_여_30~39세,"4,055",128,26,191,121,63,64,63,106,289,65,97,27,96,"1,030","1,067",331,291
2021년06월_여_40~49세,"6,030",197,29,300,195,74,100,136,127,426,112,161,46,140,"1,202","1,838",526,421
2021년06월_여_50~59세,"9,050",468,98,606,429,253,255,334,421,702,264,376,153,242,"1,405","1,737",720,587
2021년06월_여_60~69세,"11,004",684,174,847,648,498,366,512,641,894,473,651,232,313,"1,267","1,466",790,548
2021년06월_여_70~79세,"7,168",502,120,587,439,294,253,354,373,644,343,474,191,243,653,807,602,289
2021년06월_여_80~89세,"4,876",323,93,432,335,257,174,253,269,449,264,417,170,145,336,451,362,146
2021년06월_여_90~99세,732,52,20,58,57,39,28,45,44,66,28,67,24,15,67,60,45,17
2021년06월_여_100세 이상,23,2,0,4,2,0,2,2,2,1,1,3,0,0,2,1,0,1
