카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년10월_계_총인구수,"213,155","16,584","3,446","1,577","4,198","4,220","3,484","4,650","6,392","15,162","4,802","3,396","25,854","7,769","10,428","12,854","4,756","10,116","16,461","17,784","28,115","11,107"
2021년10월_계_연령구간인구수,"213,155","16,584","3,446","1,577","4,198","4,220","3,484","4,650","6,392","15,162","4,802","3,396","25,854","7,769","10,428","12,854","4,756","10,116","16,461","17,784","28,115","11,107"
2021년10월_계_0~9세,"12,932",648,127,28,214,99,95,184,324,"1,272",155,89,"1,663",339,416,539,279,886,"1,342",902,"2,252","1,079"
2021년10월_계_10~19세,"18,566",966,196,33,276,189,146,244,439,"1,481",282,156,"2,909",604,736,"1,113",397,998,"1,513","1,474","3,364","1,050"
2021년10월_계_20~29세,"24,771","1,427",275,87,335,406,265,421,495,"1,727",533,340,"3,588",921,"1,269","1,626",536,"1,148","2,396","1,966","3,373","1,637"
2021년10월_계_30~39세,"21,295","1,227",206,79,326,283,202,393,538,"1,948",416,262,"2,595",772,895,"1,240",538,"1,281","2,047","1,535","3,120","1,392"
2021년10월_계_40~49세,"31,784","2,025",374,94,488,419,308,570,922,"2,563",603,403,"4,389","1,022","1,392","1,800",697,"1,647","2,659","2,452","5,022","1,935"
2021년10월_계_50~59세,"36,647","2,987",661,313,700,750,646,848,"1,069","2,489",760,601,"4,457","1,393","1,971","2,385",924,"1,676","2,574","3,095","4,635","1,713"
2021년10월_계_60~69세,"35,581","3,616",794,501,980,961,890,"1,085","1,390","1,992",996,703,"3,372","1,472","2,045","2,395",775,"1,462","2,238","3,073","3,534","1,307"
2021년10월_계_70~79세,"19,499","2,280",440,266,491,654,550,535,762,"1,064",634,553,"1,777",789,"1,125","1,125",364,633,"1,067","2,033","1,717",640
2021년10월_계_80~89세,"10,331","1,200",318,149,304,396,332,308,390,526,344,262,967,391,512,532,217,321,534,"1,083",944,301
2021년10월_계_90~99세,"1,694",204,53,27,80,62,49,59,60,94,78,25,132,64,64,96,29,62,88,165,150,53
2021년10월_계_100세 이상,55,4,2,0,4,1,1,3,3,6,1,2,5,2,3,3,0,2,3,6,4,0
2021년10월_남_총인구수,"105,783","8,112","1,745",842,"2,139","2,238","1,797","2,405","3,207","7,384","2,296","1,749","12,622","3,850","5,136","6,332","2,329","4,870","8,229","8,931","13,909","5,661"
2021년10월_남_연령구간인구수,"105,783","8,112","1,745",842,"2,139","2,238","1,797","2,405","3,207","7,384","2,296","1,749","12,622","3,850","5,136","6,332","2,329","4,870","8,229","8,931","13,909","5,661"
2021년10월_남_0~9세,"6,664",333,67,22,114,52,49,99,154,658,78,48,850,185,216,272,125,430,679,451,"1,217",565
2021년10월_남_10~19세,"9,749",537,103,12,148,107,87,139,229,741,131,89,"1,505",316,387,594,207,515,786,816,"1,768",532
2021년10월_남_20~29세,"13,613",822,173,51,196,269,172,246,279,891,274,189,"1,901",465,677,874,319,600,"1,320","1,126","1,840",929
2021년10월_남_30~39세,"11,236",657,118,58,165,180,127,218,294,"1,009",242,150,"1,335",437,489,684,299,639,"1,022",831,"1,583",699
2021년10월_남_40~49세,"16,184","1,085",214,59,277,279,175,324,499,"1,224",320,239,"2,052",516,753,925,327,788,"1,391","1,315","2,441",981
2021년10월_남_50~59세,"18,543","1,536",338,171,379,419,363,449,545,"1,244",403,327,"2,251",702,972,"1,180",435,785,"1,251","1,624","2,302",867
2021년10월_남_60~69세,"16,981","1,706",402,264,511,505,468,539,685,938,443,329,"1,558",695,905,"1,097",374,698,"1,084","1,440","1,699",641
2021년10월_남_70~79세,"8,737",965,223,139,230,288,246,260,366,474,267,256,770,371,508,509,154,274,495,884,725,333
2021년10월_남_80~89세,"3,728",422,99,61,102,124,99,121,143,183,116,119,375,152,212,184,82,130,184,411,306,103
2021년10월_남_90~99세,336,47,8,5,15,15,11,10,11,22,21,3,25,11,16,12,7,11,17,31,27,11
2021년10월_남_100세 이상,12,2,0,0,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,2,1,0
2021년10월_여_총인구수,"107,372","8,472","1,701",735,"2,059","1,982","1,687","2,245","3,185","7,778","2,506","1,647","13,232","3,919","5,292","6,522","2,427","5,246","8,232","8,853","14,206","5,446"
2021년10월_여_연령구간인구수,"107,372","8,472","1,701",735,"2,059","1,982","1,687","2,245","3,185","7,778","2,506","1,647","13,232","3,919","5,292","6,522","2,427","5,246","8,232","8,853","14,206","5,446"
2021년10월_여_0~9세,"6,268",315,60,6,100,47,46,85,170,614,77,41,813,154,200,267,154,456,663,451,"1,035",514
