카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년02월_계_총인구수,"41,826","2,123","2,961","6,652","10,731","4,723","1,100","1,049","4,918","7,569"
2020년02월_계_연령구간인구수,"41,826","2,123","2,961","6,652","10,731","4,723","1,100","1,049","4,918","7,569"
2020년02월_계_0~9세,"1,459",43,88,240,406,126,21,15,201,319
2020년02월_계_10~19세,"2,235",79,109,430,629,216,48,31,230,463
2020년02월_계_20~29세,"5,506",420,323,935,"1,456",533,114,76,834,815
2020년02월_계_30~39세,"4,559",314,266,710,"1,156",492,114,104,690,713
2020년02월_계_40~49세,"5,629",254,355,950,"1,513",573,123,113,722,"1,026"
2020년02월_계_50~59세,"7,255",341,579,"1,128","1,837",840,202,209,724,"1,395"
2020년02월_계_60~69세,"7,761",371,584,"1,144","1,924","1,012",262,285,769,"1,410"
2020년02월_계_70~79세,"4,978",189,452,743,"1,222",608,133,155,480,996
2020년02월_계_80~89세,"2,014",86,164,296,509,255,60,49,222,373
2020년02월_계_90~99세,348,24,36,67,66,44,19,11,37,44
2020년02월_계_100세 이상,82,2,5,9,13,24,4,1,9,15
2020년02월_남_총인구수,"20,482","1,079","1,479","3,152","5,238","2,226",560,582,"2,476","3,690"
2020년02월_남_연령구간인구수,"20,482","1,079","1,479","3,152","5,238","2,226",560,582,"2,476","3,690"
2020년02월_남_0~9세,766,21,43,130,213,71,12,9,103,164
2020년02월_남_10~19세,"1,134",39,54,198,322,111,28,15,114,253
2020년02월_남_20~29세,"2,753",200,160,461,737,248,68,42,403,434
2020년02월_남_30~39세,"2,474",156,147,373,613,267,63,63,395,397
2020년02월_남_40~49세,"3,040",146,203,495,810,311,63,70,415,527
2020년02월_남_50~59세,"3,642",190,300,532,930,394,99,134,373,690
2020년02월_남_60~69세,"3,654",185,274,543,873,462,137,160,379,641
2020년02월_남_70~79세,"2,166",100,220,303,514,265,61,71,204,428
2020년02월_남_80~89세,738,35,65,101,205,79,22,12,78,141
2020년02월_남_90~99세,97,7,12,12,18,13,5,6,10,14
2020년02월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년02월_여_총인구수,"21,344","1,044","1,482","3,500","5,493","2,497",540,467,"2,442","3,879"
2020년02월_여_연령구간인구수,"21,344","1,044","1,482","3,500","5,493","2,497",540,467,"2,442","3,879"
2020년02월_여_0~9세,693,22,45,110,193,55,9,6,98,155
2020년02월_여_10~19세,"1,101",40,55,232,307,105,20,16,116,210
2020년02월_여_20~29세,"2,753",220,163,474,719,285,46,34,431,381
2020년02월_여_30~39세,"2,085",158,119,337,543,225,51,41,295,316
2020년02월_여_40~49세,"2,589",108,152,455,703,262,60,43,307,499
2020년02월_여_50~59세,"3,613",151,279,596,907,446,103,75,351,705
2020년02월_여_60~69세,"4,107",186,310,601,"1,051",550,125,125,390,769
2020년02월_여_70~79세,"2,812",89,232,440,708,343,72,84,276,568
2020년02월_여_80~89세,"1,276",51,99,195,304,176,38,37,144,232
2020년02월_여_90~99세,251,17,24,55,48,31,14,5,27,30
2020년02월_여_100세 이상,64,2,4,5,10,19,2,1,7,14
