,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년01월_계_총인구수,"267,798","3,158","4,732","3,437","2,664","2,572","5,014","3,019","2,914","2,218","3,401","3,040","2,380","5,513","7,168","5,710","4,455","12,817","22,312","7,507","7,883","2,879","55,385","12,666","23,813","32,282","16,761","12,098"
2021년01월_계_연령구간인구수,"267,798","3,158","4,732","3,437","2,664","2,572","5,014","3,019","2,914","2,218","3,401","3,040","2,380","5,513","7,168","5,710","4,455","12,817","22,312","7,507","7,883","2,879","55,385","12,666","23,813","32,282","16,761","12,098"
2021년01월_계_0~9세,"20,765",84,578,180,61,73,148,70,101,47,96,121,118,184,359,158,232,"1,068","2,547",394,492,167,"6,687",655,"1,693","2,608","1,143",701
2021년01월_계_10~19세,"26,749",113,369,348,109,105,228,149,141,96,174,141,134,385,585,343,206,"1,128","2,099",496,671,254,"7,744","1,119","2,933","4,196","1,637",846
2021년01월_계_20~29세,"29,742",253,371,243,229,167,344,265,251,135,316,268,165,445,808,589,443,"1,396","2,555",722,"1,082",303,"6,609","1,585","2,948","4,181","1,844","1,225"
2021년01월_계_30~39세,"30,479",181,727,217,145,156,349,184,187,126,274,207,196,453,561,403,627,"1,687","3,755",755,929,252,"7,554","1,263","2,172","3,544","2,070","1,505"
2021년01월_계_40~49세,"43,418",314,725,469,235,256,522,292,270,231,486,363,270,707,949,606,593,"1,934","3,634","1,079","1,062",360,"10,953","1,826","3,906","6,095","3,146","2,135"
2021년01월_계_50~59세,"44,015",572,685,562,487,435,808,604,566,378,720,467,366,936,"1,101",957,683,"2,039","3,095","1,230","1,437",476,"7,973","2,389","4,143","5,535","3,083","2,288"
2021년01월_계_60~69세,"37,821",701,627,593,635,593,"1,139",680,641,515,731,618,495,"1,157","1,334","1,153",801,"1,812","2,621","1,393","1,304",517,"4,602","2,191","3,350","3,490","2,275","1,853"
2021년01월_계_70~79세,"22,980",553,389,462,433,413,871,476,459,397,420,535,455,838,"1,025","1,001",613,"1,232","1,402","1,025",635,347,"2,253","1,163","1,690","1,787","1,093","1,013"
2021년01월_계_80~89세,"10,121",323,221,306,266,303,503,264,248,251,159,272,153,347,392,440,218,462,518,357,229,176,867,409,851,743,376,467
2021년01월_계_90~99세,"1,582",59,40,57,59,63,95,31,47,39,21,43,22,49,49,56,36,56,82,52,41,24,135,65,124,98,82,57
2021년01월_계_100세 이상,126,5,0,0,5,8,7,4,3,3,4,5,6,12,5,4,3,3,4,4,1,3,8,1,3,5,12,8
2021년01월_남_총인구수,"135,311","1,630","2,403","1,751","1,357","1,291","2,478","1,552","1,473","1,164","1,918","1,549","1,166","2,737","3,578","2,788","2,267","6,448","11,331","3,765","3,962","1,473","27,611","6,315","11,496","16,114","9,134","6,560"
2021년01월_남_연령구간인구수,"135,311","1,630","2,403","1,751","1,357","1,291","2,478","1,552","1,473","1,164","1,918","1,549","1,166","2,737","3,578","2,788","2,267","6,448","11,331","3,765","3,962","1,473","27,611","6,315","11,496","16,114","9,134","6,560"
2021년01월_남_0~9세,"10,551",41,290,89,33,43,72,34,44,30,48,65,59,93,188,82,130,565,"1,277",200,246,79,"3,407",333,828,"1,335",594,346
2021년01월_남_10~19세,"13,823",60,183,186,61,48,133,83,71,55,97,72,67,192,300,169,111,584,"1,119",266,341,139,"4,017",605,"1,448","2,140",836,440
2021년01월_남_20~29세,"16,315",164,210,145,136,101,190,163,157,85,194,158,77,264,468,343,213,740,"1,345",389,579,187,"3,460",902,"1,615","2,271","1,041",718
2021년01월_남_30~39세,"15,915",117,356,110,89,98,193,112,95,69,177,117,99,235,294,222,364,879,"1,956",425,509,140,"3,622",682,"1,054","1,797","1,208",896
2021년01월_남_40~49세,"22,806",196,405,271,154,163,313,167,154,141,322,220,157,383,501,338,338,"1,022","1,922",617,535,185,"5,389",877,"1,845","3,049","1,826","1,316"
2021년01월_남_50~59세,"23,054",325,375,328,265,244,457,325,298,229,410,270,194,489,575,485,353,"1,064","1,587",632,680,233,"4,132","1,174","2,061","2,777","1,768","1,324"
2021년01월_남_60~69세,"18,624",348,322,312,336,304,550,354,332,271,406,303,234,553,605,545,374,843,"1,255",639,674,255,"2,272","1,066","1,616","1,688","1,225",942
