,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년05월_계_총인구수,"64,426","19,886","11,961","3,663","2,370","1,553","2,352","2,849","1,411","1,836","1,153","1,678","2,875","2,750","3,122","2,855","2,112"
2021년05월_계_연령구간인구수,"64,426","19,886","11,961","3,663","2,370","1,553","2,352","2,849","1,411","1,836","1,153","1,678","2,875","2,750","3,122","2,855","2,112"
2021년05월_계_0~9세,"2,822","1,014",930,95,51,44,62,87,24,45,19,31,103,72,92,95,58
2021년05월_계_10~19세,"4,530","1,823","1,174",195,114,56,138,152,53,71,29,49,131,117,130,210,88
2021년05월_계_20~29세,"5,222","2,099","1,314",209,110,66,122,188,71,98,54,67,161,155,177,218,113
2021년05월_계_30~39세,"4,236","1,542","1,170",171,96,89,124,126,50,69,55,59,127,139,166,133,120
2021년05월_계_40~49세,"6,907","2,550","1,688",330,188,99,205,255,93,137,58,106,247,220,262,300,169
2021년05월_계_50~59세,"10,535","3,588","1,927",605,377,251,363,423,208,239,181,209,406,403,522,512,321
2021년05월_계_60~69세,"13,378","3,645","1,813",951,619,393,498,644,366,425,308,448,660,625,763,647,573
2021년05월_계_70~79세,"9,356","2,233","1,082",597,465,303,444,577,290,384,232,341,590,512,562,400,344
2021년05월_계_80~89세,"6,408","1,186",751,459,298,220,337,349,214,313,190,311,376,438,392,300,274
2021년05월_계_90~99세,998,199,108,45,49,32,58,46,41,53,27,56,72,68,55,38,51
2021년05월_계_100세 이상,34,7,4,6,3,0,1,2,1,2,0,1,2,1,1,2,1
2021년05월_남_총인구수,"31,987","9,899","5,903","1,850","1,165",774,"1,154","1,373",679,890,579,789,"1,425","1,375","1,581","1,487","1,064"
2021년05월_남_연령구간인구수,"31,987","9,899","5,903","1,850","1,165",774,"1,154","1,373",679,890,579,789,"1,425","1,375","1,581","1,487","1,064"
2021년05월_남_0~9세,"1,498",535,493,57,26,24,38,47,14,26,9,14,46,41,42,50,36
2021년05월_남_10~19세,"2,398",973,607,91,76,33,63,79,22,35,22,28,70,71,69,114,45
2021년05월_남_20~29세,"3,019","1,238",691,132,74,42,74,112,44,63,33,36,95,83,104,130,68
2021년05월_남_30~39세,"2,308",809,566,109,59,53,76,74,35,40,34,36,75,83,100,85,74
2021년05월_남_40~49세,"3,758","1,303",870,188,109,57,127,132,52,85,38,54,144,153,165,174,107
2021년05월_남_50~59세,"5,561","1,827","1,019",318,201,125,187,226,111,130,98,115,240,209,272,302,181
2021년05월_남_60~69세,"6,706","1,746",895,499,293,219,253,306,183,214,149,223,340,342,402,339,303
2021년05월_남_70~79세,"4,218","1,015",469,280,205,142,201,250,136,163,118,153,260,227,265,183,151
2021년05월_남_80~89세,"2,275",412,266,162,113,71,121,135,72,119,73,119,134,148,145,98,87
2021년05월_남_90~99세,242,40,27,13,9,8,14,12,10,14,5,11,21,18,17,11,12
2021년05월_남_100세 이상,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년05월_여_총인구수,"32,439","9,987","6,058","1,813","1,205",779,"1,198","1,476",732,946,574,889,"1,450","1,375","1,541","1,368","1,048"
2021년05월_여_연령구간인구수,"32,439","9,987","6,058","1,813","1,205",779,"1,198","1,476",732,946,574,889,"1,450","1,375","1,541","1,368","1,048"
2021년05월_여_0~9세,"1,324",479,437,38,25,20,24,40,10,19,10,17,57,31,50,45,22
2021년05월_여_10~19세,"2,132",850,567,104,38,23,75,73,31,36,7,21,61,46,61,96,43
2021년05월_여_20~29세,"2,203",861,623,77,36,24,48,76,27,35,21,31,66,72,73,88,45
2021년05월_여_30~39세,"1,928",733,604,62,37,36,48,52,15,29,21,23,52,56,66,48,46
2021년05월_여_40~49세,"3,149","1,247",818,142,79,42,78,123,41,52,20,52,103,67,97,126,62
2021년05월_여_50~59세,"4,974","1,761",908,287,176,126,176,197,97,109,83,94,166,194,250,210,140
2021년05월_여_60~69세,"6,672","1,899",918,452,326,174,245,338,183,211,159,225,320,283,361,308,270
2021년05월_여_70~79세,"5,138","1,218",613,317,260,161,243,327,154,221,114,188,330,285,297,217,193
2021년05월_여_80~89세,"4,133",774,485,297,185,149,216,214,142,194,117,192,242,290,247,202,187
2021년05월_여_90~99세,756,159,81,32,40,24,44,34,31,39,22,45,51,50,38,27,39
2021년05월_여_100세 이상,30,6,4,5,3,0,1,2,1,1,0,1,2,1,1,1,1
