,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년01월_계_총인구수,"230,042","36,106","20,159","60,917","32,064","16,250","64,546"
2021년01월_계_연령구간인구수,"230,042","36,106","20,159","60,917","32,064","16,250","64,546"
2021년01월_계_0~9세,"23,574","4,003",912,"7,081","4,028","1,396","6,154"
2021년01월_계_10~19세,"24,924","4,238","1,165","6,959","3,332","1,975","7,255"
2021년01월_계_20~29세,"31,378","4,472","3,775","7,097","4,075","2,250","9,709"
2021년01월_계_30~39세,"38,825","5,551","4,854","9,947","6,032","2,365","10,076"
2021년01월_계_40~49세,"43,380","6,792","3,735","11,600","6,083","3,110","12,060"
2021년01월_계_50~59세,"33,399","5,419","2,824","8,492","4,258","2,514","9,892"
2021년01월_계_60~69세,"20,137","3,209","1,724","5,637","2,645","1,489","5,433"
2021년01월_계_70~79세,"9,842","1,629",820,"2,790","1,109",774,"2,720"
2021년01월_계_80~89세,"4,023",706,311,"1,156",424,337,"1,089"
2021년01월_계_90~99세,518,81,33,146,73,35,150
2021년01월_계_100세 이상,42,6,6,12,5,5,8
2021년01월_남_총인구수,"118,964","18,100","11,859","30,781","16,401","8,362","33,461"
2021년01월_남_연령구간인구수,"118,964","18,100","11,859","30,781","16,401","8,362","33,461"
2021년01월_남_0~9세,"11,972","2,063",446,"3,603","2,020",728,"3,112"
2021년01월_남_10~19세,"12,713","2,077",581,"3,536","1,685","1,028","3,806"
2021년01월_남_20~29세,"16,960","2,351","2,129","3,756","2,168","1,226","5,330"
2021년01월_남_30~39세,"20,968","2,840","3,130","5,145","3,147","1,299","5,407"
2021년01월_남_40~49세,"23,022","3,464","2,324","6,130","3,185","1,589","6,330"
2021년01월_남_50~59세,"17,438","2,766","1,785","4,279","2,155","1,306","5,147"
2021년01월_남_60~69세,"9,941","1,570",941,"2,682","1,326",729,"2,693"
2021년01월_남_70~79세,"4,358",690,387,"1,232",549,330,"1,170"
2021년01월_남_80~89세,"1,474",264,128,383,156,116,427
2021년01월_남_90~99세,106,13,6,32,9,8,38
2021년01월_남_100세 이상,12,2,2,3,1,3,1
2021년01월_여_총인구수,"111,078","18,006","8,300","30,136","15,663","7,888","31,085"
2021년01월_여_연령구간인구수,"111,078","18,006","8,300","30,136","15,663","7,888","31,085"
2021년01월_여_0~9세,"11,602","1,940",466,"3,478","2,008",668,"3,042"
2021년01월_여_10~19세,"12,211","2,161",584,"3,423","1,647",947,"3,449"
2021년01월_여_20~29세,"14,418","2,121","1,646","3,341","1,907","1,024","4,379"
2021년01월_여_30~39세,"17,857","2,711","1,724","4,802","2,885","1,066","4,669"
2021년01월_여_40~49세,"20,358","3,328","1,411","5,470","2,898","1,521","5,730"
2021년01월_여_50~59세,"15,961","2,653","1,039","4,213","2,103","1,208","4,745"
2021년01월_여_60~69세,"10,196","1,639",783,"2,955","1,319",760,"2,740"
2021년01월_여_70~79세,"5,484",939,433,"1,558",560,444,"1,550"
2021년01월_여_80~89세,"2,549",442,183,773,268,221,662
2021년01월_여_90~99세,412,68,27,114,64,27,112
2021년01월_여_100세 이상,30,4,4,9,4,2,7
