카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년12월_계_총인구수,"1,186,078","273,661","23,611","43,147","29,813","30,060","42,795","20,340","19,673","28,771","19,137","16,314","368,645","10,438","23,656","19,309","41,043","38,247","24,793","45,833","46,514","24,858","49,547","27,498","16,909","174,930","5,988","10,677","9,191","23,268","26,802","11,306","20,471","17,242","39,069","10,916","368,842","18,335","15,162","36,279","22,021","39,135","35,948","26,744","32,908","31,693","28,355","53,205","29,057"
2020년12월_계_연령구간인구수,"1,186,078","273,661","23,611","43,147","29,813","30,060","42,795","20,340","19,673","28,771","19,137","16,314","368,645","10,438","23,656","19,309","41,043","38,247","24,793","45,833","46,514","24,858","49,547","27,498","16,909","174,930","5,988","10,677","9,191","23,268","26,802","11,306","20,471","17,242","39,069","10,916","368,842","18,335","15,162","36,279","22,021","39,135","35,948","26,744","32,908","31,693","28,355","53,205","29,057"
2020년12월_계_0~9세,"97,114","18,341","1,380","3,149","2,529","1,979","3,666",860,"1,139","1,516","1,425",698,"32,512",887,"1,131",951,"3,176","2,459","1,439","4,931","7,128","1,307","5,704","1,680","1,719","9,483",238,415,334,"1,514","2,009",418,899,"1,183","2,201",272,"36,778","1,159",915,"2,913","1,368","4,501","3,659","2,617","2,630","3,541","4,392","5,633","3,450"
2020년12월_계_10~19세,"118,329","28,651","1,864","4,173","3,536","3,167","6,982","1,217","1,746","2,814","2,084","1,068","33,479",616,"1,615","1,537","3,577","3,181","2,078","5,005","4,543","1,734","5,479","2,279","1,835","13,840",313,498,580,"2,194","3,021",721,"1,408","1,819","2,816",470,"42,359","1,919","1,528","4,452","2,271","3,585","4,903","2,181","4,338","4,104","3,228","6,857","2,993"
2020년12월_계_20~29세,"186,605","43,999","3,414","10,094","4,149","4,364","6,241","2,734","3,044","4,342","2,987","2,630","54,503","1,485","3,594","2,738","6,378","5,866","3,943","6,258","5,084","5,041","6,757","5,303","2,056","28,980",912,"1,880","1,212","3,192","4,128","1,357","3,257","3,666","7,873","1,503","59,123","3,136","2,505","6,484","3,769","6,535","4,927","5,645","6,480","4,582","3,405","8,450","3,205"
2020년12월_계_30~39세,"178,587","32,667","2,972","5,850","3,479","3,654","4,444","2,495","2,648","3,255","2,039","1,831","58,163","1,716","3,583","2,590","5,770","5,323","3,263","6,674","9,252","4,476","7,961","5,286","2,269","24,699",920,"1,668","1,111","2,640","3,447","1,203","2,922","2,195","7,285","1,308","63,058","2,401","1,959","5,468","3,220","7,513","5,526","6,779","4,452","5,006","5,789","9,532","5,413"
2020년12월_계_40~49세,"202,837","45,313","3,692","6,531","5,454","5,063","8,998","2,933","3,056","4,497","2,933","2,156","61,685","1,488","3,718","3,085","6,170","6,093","3,738","8,117","8,367","3,700","9,019","4,967","3,223","27,325",862,"1,442","1,311","3,887","4,546","1,645","3,017","2,760","6,363","1,492","68,514","3,001","2,440","6,823","3,745","7,270","7,172","4,258","6,119","5,881","5,489","10,796","5,520"
2020년12월_계_50~59세,"196,496","49,266","4,408","6,786","5,291","5,442","7,505","3,996","3,678","5,497","3,831","2,832","62,091","1,873","4,250","3,435","7,578","6,809","4,841","7,663","6,015","4,200","7,944","4,627","2,856","30,545","1,094","1,960","1,749","4,160","5,153","2,116","3,677","2,717","5,762","2,157","54,594","3,334","2,781","5,599","3,776","4,772","5,690","3,136","5,382","5,155","3,672","7,180","4,117"
2020년12월_계_60~69세,"120,296","30,739","3,328","3,763","3,025","3,402","2,799","3,499","2,525","3,738","2,044","2,616","39,976","1,324","3,360","2,823","5,062","5,025","3,291","4,190","3,777","2,777","4,445","2,092","1,810","22,450",901,"1,595","1,522","3,136","2,603","2,050","2,929","1,705","4,019","1,990","27,131","2,082","1,772","2,728","2,347","3,010","2,423","1,214","2,169","2,196","1,547","2,996","2,647"
2020년12월_계_70~79세,"56,575","15,803","1,676","1,747","1,492","1,984","1,349","1,780","1,208","1,983","1,021","1,563","17,476",695,"1,621","1,482","2,183","2,414","1,454","1,942","1,571","1,090","1,494",765,765,"11,901",502,825,952,"1,774","1,216","1,206","1,642",787,"1,837","1,160","11,395",906,850,"1,159",992,"1,303","1,037",589,813,831,545,"1,199","1,171"
