,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년12월_계_총인구수,"713,321","62,502","93,126","103,885","14,636","24,330","53,618","29,764","19,766","9,076","4,195","50,880","36,643","18,992","4,620","77,068","36,282","73,938"
2020년12월_계_연령구간인구수,"713,321","62,502","93,126","103,885","14,636","24,330","53,618","29,764","19,766","9,076","4,195","50,880","36,643","18,992","4,620","77,068","36,282","73,938"
2020년12월_계_0~9세,"64,926","4,158","8,365","8,872","1,626","1,067","4,033","1,767","1,227",359,198,"5,431","3,279",740,167,"10,223","4,843","8,571"
2020년12월_계_10~19세,"77,268","7,436","11,478","11,497","1,273","1,932","6,625","2,607","1,979",571,244,"6,721","5,050","1,200",200,"7,947","3,738","6,770"
2020년12월_계_20~29세,"85,023","7,848","10,556","12,211","1,582","3,335","6,697","4,146","2,494",820,404,"5,586","4,473","2,514",531,"8,928","3,841","9,057"
2020년12월_계_30~39세,"89,472","6,052","10,414","12,558","2,221","2,331","5,451","3,348","1,810",762,425,"6,151","4,316","2,125",498,"13,071","5,984","11,955"
2020년12월_계_40~49세,"130,172","11,152","17,484","19,718","2,496","3,379","10,269","4,314","3,280","1,052",531,"10,802","7,453","2,291",491,"14,890","7,285","13,285"
2020년12월_계_50~59세,"117,021","11,185","15,138","17,427","2,286","5,210","9,574","5,745","3,645","1,804",771,"7,459","5,827","3,917",911,"10,089","5,146","10,887"
2020년12월_계_60~69세,"83,184","7,630","10,930","11,824","1,887","4,015","5,734","4,536","2,721","1,941",881,"4,550","3,402","3,532","1,077","6,957","3,366","8,201"
2020년12월_계_70~79세,"44,796","4,778","5,933","6,796",831,"1,960","3,542","2,217","1,730","1,136",476,"2,904","1,883","1,648",489,"3,417","1,433","3,623"
2020년12월_계_80~89세,"18,570","1,937","2,500","2,592",375,950,"1,499",972,750,491,223,"1,100",840,876,225,"1,335",545,"1,360"
2020년12월_계_90~99세,"2,666",295,312,357,58,138,190,103,110,130,39,167,116,133,23,196,86,213
2020년12월_계_100세 이상,223,31,16,33,1,13,4,9,20,10,3,9,4,16,8,15,15,16
2020년12월_남_총인구수,"355,197","30,823","47,002","52,069","7,421","12,634","26,960","14,847","9,893","4,754","2,175","24,792","18,041","9,667","2,613","37,865","17,680","35,961"
2020년12월_남_연령구간인구수,"355,197","30,823","47,002","52,069","7,421","12,634","26,960","14,847","9,893","4,754","2,175","24,792","18,041","9,667","2,613","37,865","17,680","35,961"
2020년12월_남_0~9세,"33,359","2,170","4,332","4,591",837,594,"2,089",878,622,198,103,"2,798","1,666",374,83,"5,206","2,456","4,362"
2020년12월_남_10~19세,"39,721","3,810","5,944","6,008",658,986,"3,375","1,361","1,081",320,118,"3,471","2,590",635,101,"3,996","1,924","3,343"
2020년12월_남_20~29세,"44,355","4,164","5,597","6,397",828,"1,842","3,587","2,209","1,245",477,229,"2,900","2,260","1,390",315,"4,475","1,949","4,491"
2020년12월_남_30~39세,"44,103","2,970","5,166","6,295","1,135","1,260","2,731","1,767",944,411,225,"2,832","2,109","1,202",309,"6,204","2,733","5,810"
2020년12월_남_40~49세,"65,318","5,301","8,799","10,012","1,288","1,801","5,186","2,160","1,638",588,276,"5,207","3,643","1,221",316,"7,602","3,675","6,605"
2020년12월_남_50~59세,"59,769","5,681","8,042","9,014","1,185","2,772","5,039","2,769","1,917",990,423,"3,822","2,992","1,949",518,"4,941","2,517","5,198"
2020년12월_남_60~69세,"40,503","3,643","5,423","5,669",938,"2,120","2,805","2,294","1,318","1,006",458,"2,045","1,619","1,788",636,"3,265","1,548","3,928"
2020년12월_남_70~79세,"20,449","2,231","2,667","3,034",393,879,"1,531","1,024",771,552,242,"1,247",830,766,241,"1,654",662,"1,725"
2020년12월_남_80~89세,"6,954",765,947,960,148,350,569,358,319,182,92,426,302,307,89,488,192,460
2020년12월_남_90~99세,607,80,81,80,10,29,47,24,33,24,6,41,30,30,5,33,19,35
2020년12월_남_100세 이상,59,8,4,9,1,1,1,3,5,6,3,3,0,5,0,1,5,4
2020년12월_여_총인구수,"358,124","31,679","46,124","51,816","7,215","11,696","26,658","14,917","9,873","4,322","2,020","26,088","18,602","9,325","2,007","39,203","18,602","37,977"
2020년12월_여_연령구간인구수,"358,124","31,679","46,124","51,816","7,215","11,696","26,658","14,917","9,873","4,322","2,020","26,088","18,602","9,325","2,007","39,203","18,602","37,977"
