카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년10월_계_총인구수,"467,084","26,540","40,211","28,700","9,733","5,518","8,203","61,553","39,337","22,633","61,771","41,140","41,525","30,979","49,241"
2020년10월_계_연령구간인구수,"467,084","26,540","40,211","28,700","9,733","5,518","8,203","61,553","39,337","22,633","61,771","41,140","41,525","30,979","49,241"
2020년10월_계_0~9세,"54,529","1,695","5,165","2,345",322,150,265,"5,934","5,089","1,613","6,926","5,909","6,509","4,965","7,642"
2020년10월_계_10~19세,"47,186","2,300","3,807","2,451",554,265,459,"6,477","5,536","2,078","6,965","5,034","3,576","2,571","5,113"
2020년10월_계_20~29세,"51,001","3,190","3,885","2,959",911,504,801,"7,868","3,912","3,185","7,481","3,825","5,170","2,737","4,573"
2020년10월_계_30~39세,"75,055","2,900","7,095","3,838",852,393,657,"8,347","5,803","2,905","9,273","6,795","9,940","7,027","9,230"
2020년10월_계_40~49세,"87,005","4,057","7,343","4,780","1,266",601,905,"10,668","8,447","3,769","11,658","9,039","7,878","5,896","10,698"
2020년10월_계_50~59세,"66,365","5,136","5,396","4,966","2,204","1,200","1,725","10,528","4,974","4,173","8,892","4,766","3,845","2,999","5,561"
2020년10월_계_60~69세,"48,479","4,080","4,553","4,171","1,976","1,262","1,708","6,522","3,100","2,730","5,886","3,279","2,779","2,642","3,791"
2020년10월_계_70~79세,"25,582","2,006","2,042","2,154","1,064",707,"1,049","3,470","1,735","1,450","3,277","1,784","1,331","1,607","1,906"
2020년10월_계_80~89세,"10,336","1,037",777,874,508,357,559,"1,525",662,639,"1,256",623,433,460,626
2020년10월_계_90~99세,"1,474",135,134,154,74,74,69,203,76,84,149,86,62,73,101
2020년10월_계_100세 이상,72,4,14,8,2,5,6,11,3,7,8,0,2,2,0
2020년10월_남_총인구수,"234,117","14,148","20,084","15,143","5,679","3,031","4,468","30,397","19,193","11,327","30,299","20,240","20,677","15,364","24,067"
2020년10월_남_연령구간인구수,"234,117","14,148","20,084","15,143","5,679","3,031","4,468","30,397","19,193","11,327","30,299","20,240","20,677","15,364","24,067"
2020년10월_남_0~9세,"27,811",872,"2,669","1,179",170,72,144,"2,951","2,550",859,"3,535","3,040","3,314","2,544","3,912"
2020년10월_남_10~19세,"24,094","1,233","1,968","1,272",301,136,259,"3,340","2,794","1,080","3,573","2,479","1,755","1,288","2,616"
2020년10월_남_20~29세,"26,323","1,890","1,959","1,615",566,303,476,"4,203","1,956","1,693","3,684","1,975","2,487","1,326","2,190"
2020년10월_남_30~39세,"36,926","1,640","3,428","2,137",544,227,390,"4,050","2,673","1,487","4,440","3,200","4,999","3,520","4,191"
2020년10월_남_40~49세,"45,255","2,267","3,811","2,703",819,381,559,"5,218","4,171","1,911","5,747","4,635","4,265","3,181","5,587"
2020년10월_남_50~59세,"33,893","2,783","2,676","2,716","1,389",690,985,"5,220","2,540","2,087","4,436","2,402","1,822","1,425","2,722"
2020년10월_남_60~69세,"23,622","2,156","2,223","2,140","1,137",688,913,"3,262","1,430","1,315","2,800","1,485","1,251","1,130","1,692"
2020년10월_남_70~79세,"11,929",893,"1,025","1,017",529,387,498,"1,536",801,643,"1,554",788,609,762,887
2020년10월_남_80~89세,"3,893",376,290,329,204,132,221,558,257,237,495,221,162,164,247
2020년10월_남_90~99세,352,36,33,32,20,14,21,56,19,15,33,15,12,23,23
2020년10월_남_100세 이상,19,2,2,3,0,1,2,3,2,0,2,0,1,1,0
2020년10월_여_총인구수,"232,967","12,392","20,127","13,557","4,054","2,487","3,735","31,156","20,144","11,306","31,472","20,900","20,848","15,615","25,174"
2020년10월_여_연령구간인구수,"232,967","12,392","20,127","13,557","4,054","2,487","3,735","31,156","20,144","11,306","31,472","20,900","20,848","15,615","25,174"
2020년10월_여_0~9세,"26,718",823,"2,496","1,166",152,78,121,"2,983","2,539",754,"3,391","2,869","3,195","2,421","3,730"
2020년10월_여_10~19세,"23,092","1,067","1,839","1,179",253,129,200,"3,137","2,742",998,"3,392","2,555","1,821","1,283","2,497"
2020년10월_여_20~29세,"24,678","1,300","1,926","1,344",345,201,325,"3,665","1,956","1,492","3,797","1,850","2,683","1,411","2,383"
2020년10월_여_30~39세,"38,129","1,260","3,667","1,701",308,166,267,"4,297","3,130","1,418","4,833","3,595","4,941","3,507","5,039"
2020년10월_여_40~49세,"41,750","1,790","3,532","2,077",447,220,346,"5,450","4,276","1,858","5,911","4,404","3,613","2,715","5,111"
2020년10월_여_50~59세,"32,472","2,353","2,720","2,250",815,510,740,"5,308","2,434","2,086","4,456","2,364","2,023","1,574","2,839"
2020년10월_여_60~69세,"24,857","1,924","2,330","2,031",839,574,795,"3,260","1,670","1,415","3,086","1,794","1,528","1,512","2,099"
2020년10월_여_70~79세,"13,653","1,113","1,017","1,137",535,320,551,"1,934",934,807,"1,723",996,722,845,"1,019"
2020년10월_여_80~89세,"6,443",661,487,545,304,225,338,967,405,402,761,402,271,296,379
2020년10월_여_90~99세,"1,122",99,101,122,54,60,48,147,57,69,116,71,50,50,78
2020년10월_여_100세 이상,53,2,12,5,2,4,4,8,1,7,6,0,1,1,0
