카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년12월_계_총인구수,"210,186","4,864","2,039","2,988","8,734","3,010","2,317","3,944","13,226","3,782","3,706","2,297","3,256","1,953","2,706","23,628","7,070","15,528","5,259","9,606","18,282","3,666","9,422","14,554","37,667","6,682"
2020년12월_계_연령구간인구수,"210,186","4,864","2,039","2,988","8,734","3,010","2,317","3,944","13,226","3,782","3,706","2,297","3,256","1,953","2,706","23,628","7,070","15,528","5,259","9,606","18,282","3,666","9,422","14,554","37,667","6,682"
2020년12월_계_0~9세,"14,581",105,42,74,579,29,53,74,"2,029",337,111,54,84,68,94,"1,607",272,"1,250",246,358,"2,049",94,549,"1,021","2,820",582
2020년12월_계_10~19세,"18,883",208,65,117,411,116,96,130,960,272,173,84,168,76,158,"2,549",545,"2,020",481,701,"2,365",145,771,"1,718","3,867",687
2020년12월_계_20~29세,"24,405",375,118,192,"1,392",173,126,268,"1,566",512,265,139,188,100,270,"2,779",881,"1,886",576,"1,064","2,179",499,"1,139","1,924","5,031",763
2020년12월_계_30~39세,"23,337",306,95,156,"1,366",171,117,180,"3,011",468,180,121,166,115,226,"2,438",608,"1,663",444,851,"2,621",256,"1,013","1,445","4,495",825
2020년12월_계_40~49세,"30,940",480,163,254,"1,188",231,179,324,"2,056",507,333,190,258,148,340,"3,721",957,"2,876",733,"1,174","3,390",399,"1,421","2,508","5,959","1,151"
2020년12월_계_50~59세,"37,632","1,029",429,645,"1,460",596,401,808,"1,548",512,734,437,584,339,478,"4,382","1,278","2,712",961,"1,793","2,843",722,"1,732","2,837","7,152","1,220"
2020년12월_계_60~69세,"31,737","1,174",577,768,"1,288",790,632,"1,046","1,143",562,894,575,861,525,539,"3,378","1,251","1,713",876,"1,922","1,665",754,"1,521","1,693","4,804",786
2020년12월_계_70~79세,"17,429",675,329,491,598,496,401,644,538,342,562,387,521,330,357,"1,742",801,884,587,"1,104",742,486,889,904,"2,212",407
