카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년02월_계_총인구수,"301,015","4,167","4,863","11,184","5,294","8,894","10,942","31,055","25,146","24,442","15,833","21,321","10,609","16,176","5,184","21,181","29,576","38,273","16,875"
2020년02월_계_연령구간인구수,"301,015","4,167","4,863","11,184","5,294","8,894","10,942","31,055","25,146","24,442","15,833","21,321","10,609","16,176","5,184","21,181","29,576","38,273","16,875"
2020년02월_계_0~9세,"23,223",114,441,592,196,593,986,"2,314","1,740","1,284",965,"2,487",615,"1,153",304,"1,395","2,845","3,396","1,803"
2020년02월_계_10~19세,"33,355",171,361,723,301,664,"1,349","3,366","2,607","1,877","1,176","2,397","1,129","1,704",374,"2,302","4,662","5,613","2,579"
2020년02월_계_20~29세,"45,339",444,544,"1,708",914,"1,151","1,674","5,473","4,616","4,297","2,927","2,580","1,593","2,241",632,"3,182","4,089","5,381","1,893"
2020년02월_계_30~39세,"38,598",387,667,"1,587",682,"1,080","1,527","4,505","3,732","3,123","2,424","3,256","1,190","1,829",530,"2,220","3,323","4,568","1,968"
2020년02월_계_40~49세,"50,458",484,758,"1,612",694,"1,388","1,997","5,157","4,121","3,436","2,314","3,566","1,483","2,337",621,"3,180","5,971","7,818","3,521"
2020년02월_계_50~59세,"49,847",724,711,"1,775",942,"1,649","1,712","5,376","3,960","4,216","2,330","3,134","1,837","2,839","1,110","4,108","4,927","5,959","2,538"
2020년02월_계_60~69세,"32,672",777,742,"1,511",774,"1,241",888,"2,563","2,466","3,269","1,848","2,333","1,534","2,479",836,"2,750","2,144","2,976","1,541"
2020년02월_계_70~79세,"18,628",743,468,"1,154",535,764,518,"1,492","1,348","2,018","1,202","1,119",839,"1,080",473,"1,351","1,092","1,696",736
2020년02월_계_80~89세,"7,675",279,144,453,227,301,249,731,481,791,561,378,329,441,249,614,444,748,255
2020년02월_계_90~99세,"1,148",36,27,65,29,53,41,76,72,119,84,68,56,68,49,75,72,117,41
2020년02월_계_100세 이상,72,8,0,4,0,10,1,2,3,12,2,3,4,5,6,4,7,1,0
2020년02월_남_총인구수,"147,750","2,055","2,406","5,575","2,731","4,529","5,617","14,955","12,493","11,995","7,570","10,692","5,215","7,856","2,727","10,127","14,401","18,781","8,025"
2020년02월_남_연령구간인구수,"147,750","2,055","2,406","5,575","2,731","4,529","5,617","14,955","12,493","11,995","7,570","10,692","5,215","7,856","2,727","10,127","14,401","18,781","8,025"
2020년02월_남_0~9세,"12,053",60,243,302,107,328,538,"1,167",856,666,497,"1,332",329,604,155,749,"1,486","1,740",894
2020년02월_남_10~19세,"17,516",92,183,398,171,332,718,"1,749","1,283",953,616,"1,386",609,957,204,"1,235","2,362","2,954","1,314"
2020년02월_남_20~29세,"23,316",243,302,854,460,589,901,"2,706","2,336","2,167","1,319","1,396",896,"1,222",368,"1,664","2,150","2,729","1,014"
2020년02월_남_30~39세,"19,456",209,345,857,385,573,816,"2,225","1,982","1,684","1,228","1,564",620,919,289,"1,087","1,554","2,238",881
2020년02월_남_40~49세,"24,333",285,425,831,387,780,986,"2,322","2,054","1,757","1,216","1,780",705,"1,067",337,"1,423","2,673","3,635","1,670"
2020년02월_남_50~59세,"24,413",380,331,911,473,843,928,"2,628","1,977","2,035","1,104","1,490",835,"1,236",617,"1,875","2,501","3,022","1,227"
2020년02월_남_60~69세,"15,391",352,328,687,376,591,439,"1,246","1,169","1,578",800,"1,074",710,"1,185",445,"1,314","1,008","1,443",646
2020년02월_남_70~79세,"8,318",326,197,535,255,382,191,623,645,876,545,527,386,498,228,589,484,727,304
