,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년12월_계_총인구수,"348,096","8,188","4,132","8,046","2,238","1,915","2,635","1,607","1,523","1,481","3,254","21,074","4,727","1,631","4,025","1,059","2,243","27,523","10,786","11,284","14,279","19,807","24,834","11,786","26,935","27,768","11,803","12,189","21,272","26,916","31,136"
2020년12월_계_연령구간인구수,"348,096","8,188","4,132","8,046","2,238","1,915","2,635","1,607","1,523","1,481","3,254","21,074","4,727","1,631","4,025","1,059","2,243","27,523","10,786","11,284","14,279","19,807","24,834","11,786","26,935","27,768","11,803","12,189","21,272","26,916","31,136"
2020년12월_계_0~9세,"28,396",631,374,907,43,49,91,28,34,40,58,"2,167",234,23,134,26,62,"1,559",455,331,611,"1,026","1,396",751,"3,407","2,134",663,679,"2,477","2,408","5,598"
2020년12월_계_10~19세,"35,225",658,455,483,114,55,188,49,49,72,147,"2,787",412,56,200,44,102,"2,486",727,684,"1,072","1,603","2,519","1,063","4,026","3,507","1,113","1,296","3,018","2,630","3,610"
2020년12월_계_20~29세,"45,143",786,420,"1,029",159,130,230,74,69,108,204,"2,257",439,83,346,102,140,"4,263","1,447","1,098","1,821","2,935","3,809","1,535","3,355","4,137","1,653","1,607","2,342","5,214","3,351"
2020년12월_계_30~39세,"41,648",923,424,"1,522",126,118,179,67,79,68,180,"2,456",386,61,219,53,110,"2,662","1,207",863,"1,358","2,097","2,560","1,390","3,727","3,030","1,150","1,091","2,544","4,134","6,864"
2020년12월_계_40~49세,"54,298","1,038",662,"1,120",189,156,294,106,157,154,271,"3,757",653,120,431,96,217,"3,918","1,582","1,394","1,924","2,848","3,744","1,750","5,276","4,699","1,613","1,792","4,104","4,126","6,107"
2020년12월_계_50~59세,"57,791","1,419",685,"1,232",383,338,499,285,230,254,587,"3,374",879,290,768,193,420,"4,543","1,825","1,977","2,658","3,655","5,041","2,102","4,044","5,198","2,096","2,367","3,220","3,962","3,267"
2020년12월_계_60~69세,"45,768","1,370",570,990,462,482,509,418,354,301,698,"2,428",814,380,954,239,503,"3,999","1,866","2,406","2,511","3,149","3,507","1,861","1,848","2,840","1,948","1,921","2,147","2,656","1,637"
2020년12월_계_70~79세,"25,565",813,322,461,416,289,358,314,308,252,587,"1,176",536,323,578,157,350,"2,715","1,105","1,726","1,564","1,773","1,545",959,846,"1,387","1,022",994,965,"1,230",494
2020년12월_계_80~89세,"12,414",462,188,250,289,256,259,236,219,192,447,591,324,261,346,127,309,"1,198",490,697,670,653,628,332,357,720,478,379,402,481,173
2020년12월_계_90~99세,"1,754",86,29,48,56,40,27,30,23,39,73,80,48,33,46,20,29,164,76,90,87,67,82,41,43,115,65,58,52,74,33
2020년12월_계_100세 이상,94,2,3,4,1,2,1,0,1,1,2,1,2,1,3,2,1,16,6,18,3,1,3,2,6,1,2,5,1,1,2
2020년12월_남_총인구수,"172,107","4,137","2,061","4,115","1,052",932,"1,293",805,758,752,"1,615","10,593","2,376",793,"1,988",504,"1,086","13,476","5,327","5,437","7,036","9,815","12,407","5,984","13,632","13,325","5,636","6,020","10,150","13,556","15,446"
2020년12월_남_연령구간인구수,"172,107","4,137","2,061","4,115","1,052",932,"1,293",805,758,752,"1,615","10,593","2,376",793,"1,988",504,"1,086","13,476","5,327","5,437","7,036","9,815","12,407","5,984","13,632","13,325","5,636","6,020","10,150","13,556","15,446"
2020년12월_남_0~9세,"14,731",349,201,460,21,26,46,20,14,19,33,"1,151",124,10,68,10,35,825,248,172,355,522,739,360,"1,818","1,085",347,359,"1,254","1,281","2,779"
2020년12월_남_10~19세,"18,597",347,225,258,61,25,102,31,32,33,83,"1,489",212,32,98,23,55,"1,362",389,380,563,812,"1,350",534,"2,287","1,829",587,734,"1,456","1,347","1,861"
2020년12월_남_20~29세,"24,825",435,222,569,98,74,143,49,44,72,136,"1,303",261,52,198,58,74,"2,315",776,624,951,"1,641","2,143",856,"1,853","2,196",863,926,"1,255","2,959","1,679"
2020년12월_남_30~39세,"21,267",486,208,809,68,66,88,45,46,45,96,"1,230",193,35,122,25,55,"1,425",641,493,734,"1,118","1,411",744,"1,719","1,507",596,547,"1,152","2,207","3,356"
2020년12월_남_40~49세,"27,057",561,322,621,122,103,169,67,111,100,177,"1,815",350,80,238,57,142,"1,937",839,779,"1,046","1,465","1,769",936,"2,473","2,072",778,839,"1,954","2,003","3,132"
2020년12월_남_50~59세,"28,467",738,364,576,204,183,268,171,137,150,339,"1,667",483,171,408,108,238,"2,189",890,992,"1,319","1,747","2,408","1,070","2,053","2,467",957,"1,141","1,557","1,898","1,574"
2020년12월_남_60~69세,"21,861",729,297,529,240,246,259,221,175,154,349,"1,202",425,207,485,132,268,"1,789",860,"1,051","1,143","1,424","1,673",908,952,"1,369",861,895,"1,020","1,222",776
2020년12월_남_70~79세,"11,166",354,164,221,150,125,149,129,141,125,266,532,223,135,254,60,136,"1,182",493,727,692,811,719,437,367,546,455,461,380,492,240
2020년12월_남_80~89세,"3,817",123,53,68,83,74,61,66,54,49,121,193,95,64,110,29,77,409,180,198,220,260,181,132,99,233,178,109,113,139,46
2020년12월_남_90~99세,299,15,4,4,5,10,7,6,4,5,14,11,10,7,6,2,6,37,10,18,13,15,12,7,9,21,13,8,9,8,3
2020년12월_남_100세 이상,20,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,2,0,1,1,0,0,0
2020년12월_여_총인구수,"175,989","4,051","2,071","3,931","1,186",983,"1,342",802,765,729,"1,639","10,481","2,351",838,"2,037",555,"1,157","14,047","5,459","5,847","7,243","9,992","12,427","5,802","13,303","14,443","6,167","6,169","11,122","13,360","15,690"
2020년12월_여_연령구간인구수,"175,989","4,051","2,071","3,931","1,186",983,"1,342",802,765,729,"1,639","10,481","2,351",838,"2,037",555,"1,157","14,047","5,459","5,847","7,243","9,992","12,427","5,802","13,303","14,443","6,167","6,169","11,122","13,360","15,690"
2020년12월_여_0~9세,"13,665",282,173,447,22,23,45,8,20,21,25,"1,016",110,13,66,16,27,734,207,159,256,504,657,391,"1,589","1,049",316,320,"1,223","1,127","2,819"
2020년12월_여_10~19세,"16,628",311,230,225,53,30,86,18,17,39,64,"1,298",200,24,102,21,47,"1,124",338,304,509,791,"1,169",529,"1,739","1,678",526,562,"1,562","1,283","1,749"
2020년12월_여_20~29세,"20,318",351,198,460,61,56,87,25,25,36,68,954,178,31,148,44,66,"1,948",671,474,870,"1,294","1,666",679,"1,502","1,941",790,681,"1,087","2,255","1,672"
