카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년03월_계_총인구수,"90,263","30,291","4,264","19,901","5,337","5,267","3,728","3,225","11,473","3,745","3,032"
2020년03월_계_연령구간인구수,"90,263","30,291","4,264","19,901","5,337","5,267","3,728","3,225","11,473","3,745","3,032"
2020년03월_계_0~9세,"6,813","2,902",191,"1,662",213,330,135,99,975,185,121
2020년03월_계_10~19세,"8,971","3,292",279,"2,722",374,449,192,177,"1,074",202,210
2020년03월_계_20~29세,"9,349","3,353",606,"2,200",494,500,292,197,"1,178",290,239
2020년03월_계_30~39세,"9,445","3,684",343,"2,129",432,481,272,205,"1,339",329,231
2020년03월_계_40~49세,"14,762","5,155",582,"3,889",730,767,468,422,"1,889",492,368
2020년03월_계_50~59세,"15,632","5,033",745,"3,525",970,990,608,519,"2,013",654,575
2020년03월_계_60~69세,"13,165","4,103",731,"2,055","1,075",850,810,692,"1,569",686,594
2020년03월_계_70~79세,"8,003","1,874",491,"1,171",709,638,626,602,900,557,435
2020년03월_계_80~89세,"3,615",783,255,482,292,238,283,273,482,303,224
2020년03월_계_90~99세,479,111,40,66,45,18,38,34,52,42,33
2020년03월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년03월_남_총인구수,"45,731","15,055","2,325","10,277","2,611","2,673","1,867","1,593","5,883","1,876","1,571"
2020년03월_남_연령구간인구수,"45,731","15,055","2,325","10,277","2,611","2,673","1,867","1,593","5,883","1,876","1,571"
2020년03월_남_0~9세,"3,509","1,490",91,863,118,167,69,58,503,88,62
2020년03월_남_10~19세,"4,694","1,664",155,"1,473",188,238,103,95,556,110,112
2020년03월_남_20~29세,"5,468","1,926",430,"1,292",273,288,170,103,670,169,147
2020년03월_남_30~39세,"4,950","1,866",200,"1,097",232,267,166,119,702,171,130
2020년03월_남_40~49세,"7,730","2,546",328,"1,928",406,436,286,259,"1,024",292,225
2020년03월_남_50~59세,"8,039","2,404",422,"1,885",463,523,313,283,"1,065",342,339
2020년03월_남_60~69세,"6,349","1,999",354,"1,004",512,381,356,317,784,341,301
2020년03월_남_70~79세,"3,595",869,230,540,309,278,295,234,418,244,178
2020년03월_남_80~89세,"1,286",266,106,182,100,89,97,112,156,107,71
2020년03월_남_90~99세,102,25,8,13,8,5,11,13,5,9,5
2020년03월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년03월_여_총인구수,"44,532","15,236","1,939","9,624","2,726","2,594","1,861","1,632","5,590","1,869","1,461"
2020년03월_여_연령구간인구수,"44,532","15,236","1,939","9,624","2,726","2,594","1,861","1,632","5,590","1,869","1,461"
2020년03월_여_0~9세,"3,304","1,412",100,799,95,163,66,41,472,97,59
2020년03월_여_10~19세,"4,277","1,628",124,"1,249",186,211,89,82,518,92,98
2020년03월_여_20~29세,"3,881","1,427",176,908,221,212,122,94,508,121,92
2020년03월_여_30~39세,"4,495","1,818",143,"1,032",200,214,106,86,637,158,101
2020년03월_여_40~49세,"7,032","2,609",254,"1,961",324,331,182,163,865,200,143
2020년03월_여_50~59세,"7,593","2,629",323,"1,640",507,467,295,236,948,312,236
2020년03월_여_60~69세,"6,816","2,104",377,"1,051",563,469,454,375,785,345,293
2020년03월_여_70~79세,"4,408","1,005",261,631,400,360,331,368,482,313,257
2020년03월_여_80~89세,"2,329",517,149,300,192,149,186,161,326,196,153
2020년03월_여_90~99세,377,86,32,53,37,13,27,21,47,33,28
2020년03월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
