카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년04월_계_총인구수,"2,118,457","654,251","259,211","395,040","105,743","100,646","313,757","174,645","118,032","42,757","166,136","51,781","66,214","52,374","31,139","99,973","78,726","62,283"
2020년04월_계_연령구간인구수,"2,118,457","654,251","259,211","395,040","105,743","100,646","313,757","174,645","118,032","42,757","166,136","51,781","66,214","52,374","31,139","99,973","78,726","62,283"
2020년04월_계_0~9세,"178,550","63,652","21,384","42,268","6,115","6,414","34,256","15,777","7,546","4,047","16,221","2,712","3,090","2,421","1,343","7,950","3,807","3,199"
2020년04월_계_10~19세,"205,330","69,442","26,864","42,578","8,541","8,478","34,201","17,446","10,084","6,483","15,670","4,429","4,876","3,584","2,073","9,664","5,833","4,526"
2020년04월_계_20~29세,"242,858","95,276","35,518","59,758","11,580","9,660","35,954","19,176","11,736","4,879","16,280","4,062","5,616","4,030","2,718","9,706","7,029","5,156"
2020년04월_계_30~39세,"274,391","106,218","34,229","71,989","9,932","9,786","49,651","22,467","11,194","4,712","23,523","3,994","4,620","3,632","2,151","10,806","6,370","5,335"
2020년04월_계_40~49세,"328,812","111,563","43,437","68,126","13,662","14,177","55,414","27,764","15,836","8,453","26,504","6,391","7,496","6,059","3,252","14,617","9,794","7,830"
2020년04월_계_50~59세,"339,782","102,147","44,077","58,070","18,764","17,430","45,495","28,100","20,147","6,838","25,718","9,247","11,157","8,665","5,364","15,918","13,912","10,880"
2020년04월_계_60~69세,"267,106","59,760","29,561","30,199","17,700","16,461","30,257","20,996","19,365","4,153","20,204","9,412","12,658","9,971","5,970","14,227","14,288","11,684"
2020년04월_계_70~79세,"168,298","29,302","15,157","14,145","11,375","11,081","17,650","13,607","12,832","1,947","12,985","6,765","9,406","7,963","4,530","9,905","10,333","8,617"
2020년04월_계_80~89세,"98,758","14,618","7,766","6,852","7,046","6,226","9,517","8,087","8,052","1,066","7,879","4,207","6,278","5,231","3,290","6,307","6,515","4,439"
2020년04월_계_90~99세,"13,676","2,106","1,133",973,969,876,"1,247","1,162","1,152",169,"1,084",532,960,775,429,814,808,593
2020년04월_계_100세 이상,896,167,85,82,59,57,115,63,88,10,68,30,57,43,19,59,37,24
2020년04월_남_총인구수,"1,080,256","333,525","131,359","202,166","53,019","50,931","162,676","90,593","59,039","21,294","87,969","26,064","32,826","25,898","15,761","49,723","39,524","31,414"
2020년04월_남_연령구간인구수,"1,080,256","333,525","131,359","202,166","53,019","50,931","162,676","90,593","59,039","21,294","87,969","26,064","32,826","25,898","15,761","49,723","39,524","31,414"
2020년04월_남_0~9세,"91,460","32,463","10,966","21,497","3,186","3,231","17,624","8,117","3,878","2,060","8,291","1,384","1,652","1,213",690,"4,127","1,959","1,585"
2020년04월_남_10~19세,"106,574","36,032","13,966","22,066","4,415","4,385","17,570","9,256","5,218","3,384","8,207","2,313","2,559","1,851","1,089","4,929","3,011","2,355"
2020년04월_남_20~29세,"133,830","49,857","18,841","31,016","6,430","5,619","19,951","11,281","6,600","2,729","9,500","2,339","3,254","2,350","1,566","5,363","3,971","3,020"
2020년04월_남_30~39세,"147,388","56,401","17,965","38,436","5,327","5,299","26,476","12,330","5,881","2,319","13,326","2,101","2,511","2,030","1,228","5,601","3,571","2,987"
2020년04월_남_40~49세,"175,268","57,491","22,349","35,142","7,199","7,774","30,111","14,822","8,460","4,097","14,903","3,574","4,095","3,350","1,894","7,659","5,383","4,456"
2020년04월_남_50~59세,"178,970","52,466","22,540","29,926","9,745","9,258","24,516","14,948","10,532","3,447","14,354","5,049","5,783","4,654","2,926","8,244","7,359","5,689"
2020년04월_남_60~69세,"133,052","30,119","14,838","15,281","8,819","8,038","14,988","10,461","9,742","2,015","10,229","4,744","6,319","4,882","3,061","6,967","7,050","5,618"
