카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2021년11월_계_총인구수,"561,770","28,610","43,685","24,539","27,111","11,431","3,666","13,271","6,606","5,133","44,293","25,440","21,857","12,973","22,110","7,057","5,729","22,850","11,556","4,095","51,747","55,162","26,033","29,359","37,426","20,031"
2021년11월_계_연령구간인구수,"561,770","28,610","43,685","24,539","27,111","11,431","3,666","13,271","6,606","5,133","44,293","25,440","21,857","12,973","22,110","7,057","5,729","22,850","11,556","4,095","51,747","55,162","26,033","29,359","37,426","20,031"
2021년11월_계_0~9세,"49,969","1,634","3,692","1,769","3,817",448,122,"1,017",292,147,"2,692","1,197","2,618",637,"1,510",569,161,957,602,116,"5,602","5,770","3,364","2,563","5,616","3,057"
2021년11월_계_10~19세,"54,113","1,831","5,690","1,884","3,351",817,205,886,471,261,"4,695","2,245","1,899",903,"2,127",469,281,"1,649",704,211,"6,289","6,250","3,210","2,811","3,512","1,462"
2021년11월_계_20~29세,"77,469","3,246","5,886","3,340","2,406","1,432",337,"1,947",670,428,"7,438","3,694","2,898","2,560","2,953","1,065",720,"4,118","1,837",619,"6,648","7,292","3,602","4,381","4,782","3,170"
2021년11월_계_30~39세,"85,834","3,254","5,519","3,912","4,601","1,385",351,"2,076",601,336,"5,386","3,066","3,967","2,354","2,573","1,208",675,"2,990","1,721",416,"8,017","8,259","4,722","4,383","8,803","5,259"
2021년11월_계_40~49세,"97,032","4,127","8,333","4,651","5,636","1,692",447,"1,969",856,570,"7,413","4,124","3,915","2,169","3,670","1,141",778,"3,369","1,683",526,"10,013","9,589","5,315","4,664","7,072","3,310"
2021년11월_계_50~59세,"90,869","5,185","7,257","4,036","3,125","2,138",675,"2,296","1,250",928,"8,254","4,865","3,399","2,026","4,133","1,106",979,"4,222","1,976",762,"7,972","8,984","3,354","5,332","4,371","2,244"
2021년11월_계_60~69세,"60,699","4,792","4,133","2,849","2,376","1,931",782,"1,708","1,250","1,151","4,865","3,431","2,001","1,254","2,961",787,"1,025","3,100","1,653",781,"4,359","5,473","1,612","3,142","2,240","1,043"
2021년11월_계_70~79세,"28,802","2,746","1,962","1,314","1,096","1,023",451,844,689,782,"2,281","1,796",732,712,"1,376",440,672,"1,569",892,449,"1,838","2,217",568,"1,319",692,342
2021년11월_계_80~89세,"14,894","1,599","1,055",662,589,497,264,459,464,459,"1,124",908,364,323,685,234,368,787,434,189,895,"1,188",258,688,291,110
2021년11월_계_90~99세,"2,018",187,155,118,110,66,32,68,62,68,140,111,63,34,108,38,67,85,54,26,112,134,28,75,44,33
2021년11월_계_100세 이상,71,9,3,4,4,2,0,1,1,3,5,3,1,1,14,0,3,4,0,0,2,6,0,1,3,1
2021년11월_남_총인구수,"292,554","14,953","22,572","14,842","14,364","6,317","2,026","7,076","3,557","2,716","22,944","12,988","11,425","7,176","11,095","3,691","2,959","11,896","6,054","2,153","26,019","27,376","13,703","14,826","19,257","10,569"
2021년11월_남_연령구간인구수,"292,554","14,953","22,572","14,842","14,364","6,317","2,026","7,076","3,557","2,716","22,944","12,988","11,425","7,176","11,095","3,691","2,959","11,896","6,054","2,153","26,019","27,376","13,703","14,826","19,257","10,569"
2021년11월_남_0~9세,"25,405",841,"1,834",871,"1,963",216,60,511,166,83,"1,340",581,"1,348",306,751,295,95,505,295,55,"2,888","2,954","1,773","1,324","2,842","1,508"
2021년11월_남_10~19세,"27,870",956,"2,875","1,003","1,743",423,119,460,236,135,"2,430","1,181",943,440,"1,076",239,159,876,360,115,"3,286","3,265","1,669","1,420","1,751",710
2021년11월_남_20~29세,"42,955","1,832","3,186","2,202","1,343",895,213,"1,146",393,258,"4,240","2,050","1,588","1,501","1,620",614,397,"2,257","1,030",361,"3,480","3,792","1,930","2,357","2,497","1,773"
2021년11월_남_30~39세,"47,281","1,874","3,069","2,636","2,412",899,209,"1,206",372,198,"3,117","1,738","2,110","1,467","1,314",668,413,"1,759","1,038",258,"3,994","4,165","2,538","2,337","4,628","2,862"
2021년11월_남_40~49세,"52,021","2,281","4,263","3,047","3,153","1,023",291,"1,124",523,356,"3,821","2,239","2,149","1,275","1,912",630,474,"1,794",898,295,"4,954","4,628","2,809","2,373","3,853","1,856"
2021년11월_남_50~59세,"47,970","2,920","3,989","2,567","1,779","1,167",400,"1,184",711,539,"4,217","2,484","1,751","1,122","2,105",593,539,"2,173","1,057",409,"4,094","4,409","1,803","2,630","2,191","1,137"
