,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년02월_계_총인구수,"32,371","14,909","1,908","1,469","2,191","1,657","2,292","1,925",748,"1,763","1,710","1,799"
2021년02월_계_연령구간인구수,"32,371","14,909","1,908","1,469","2,191","1,657","2,292","1,925",748,"1,763","1,710","1,799"
2021년02월_계_0~9세,"1,438","1,003",32,79,53,24,58,45,23,51,34,36
2021년02월_계_10~19세,"2,090","1,319",89,74,90,56,130,94,23,67,69,79
2021년02월_계_20~29세,"2,344","1,387",116,105,82,85,148,108,26,85,101,101
2021년02월_계_30~39세,"2,174","1,284",89,144,92,63,161,96,21,56,82,86
2021년02월_계_40~49세,"3,299","1,951",154,156,154,106,194,150,53,123,109,149
2021년02월_계_50~59세,"5,843","2,680",399,254,381,258,380,330,137,327,337,360
2021년02월_계_60~69세,"6,942","2,579",488,273,559,427,540,516,229,458,420,453
2021년02월_계_70~79세,"4,577","1,556",345,203,432,343,375,303,139,318,289,274
2021년02월_계_80~89세,"3,135",993,155,153,304,260,281,237,83,233,219,217
2021년02월_계_90~99세,502,146,38,26,42,33,24,45,14,44,49,41
2021년02월_계_100세 이상,27,11,3,2,2,2,1,1,0,1,1,3
2021년02월_남_총인구수,"16,281","7,420",993,771,"1,043",808,"1,164",969,403,875,884,951
2021년02월_남_연령구간인구수,"16,281","7,420",993,771,"1,043",808,"1,164",969,403,875,884,951
2021년02월_남_0~9세,731,495,17,42,27,15,28,26,13,27,18,23
2021년02월_남_10~19세,"1,122",715,48,32,47,31,71,46,13,33,40,46
2021년02월_남_20~29세,"1,380",787,78,72,45,49,91,60,14,54,65,65
2021년02월_남_30~39세,"1,197",651,57,92,53,40,110,59,11,27,44,53
2021년02월_남_40~49세,"1,849","1,033",96,88,94,67,119,85,34,87,67,79
2021년02월_남_50~59세,"3,212","1,416",216,156,204,153,211,182,85,188,196,205
2021년02월_남_60~69세,"3,567","1,271",261,134,281,202,273,289,125,235,238,258
2021년02월_남_70~79세,"2,054",686,147,94,184,152,159,143,77,146,124,142
2021년02월_남_80~89세,"1,063",336,64,54,95,89,99,77,30,71,78,70
2021년02월_남_90~99세,105,30,8,7,13,10,3,2,1,7,14,10
2021년02월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"16,090","7,489",915,698,"1,148",849,"1,128",956,345,888,826,848
2021년02월_여_연령구간인구수,"16,090","7,489",915,698,"1,148",849,"1,128",956,345,888,826,848
2021년02월_여_0~9세,707,508,15,37,26,9,30,19,10,24,16,13
2021년02월_여_10~19세,968,604,41,42,43,25,59,48,10,34,29,33
2021년02월_여_20~29세,964,600,38,33,37,36,57,48,12,31,36,36
2021년02월_여_30~39세,977,633,32,52,39,23,51,37,10,29,38,33
2021년02월_여_40~49세,"1,450",918,58,68,60,39,75,65,19,36,42,70
2021년02월_여_50~59세,"2,631","1,264",183,98,177,105,169,148,52,139,141,155
2021년02월_여_60~69세,"3,375","1,308",227,139,278,225,267,227,104,223,182,195
2021년02월_여_70~79세,"2,523",870,198,109,248,191,216,160,62,172,165,132
2021년02월_여_80~89세,"2,072",657,91,99,209,171,182,160,53,162,141,147
2021년02월_여_90~99세,397,116,30,19,29,23,21,43,13,37,35,31
2021년02월_여_100세 이상,26,11,2,2,2,2,1,1,0,1,1,3
