,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년10월_계_총인구수,"51,477","24,552","1,765","1,859","2,756","1,600","1,675",866,"1,446","1,137","1,007","3,611","1,775","3,089","4,339"
2020년10월_계_연령구간인구수,"51,477","24,552","1,765","1,859","2,756","1,600","1,675",866,"1,446","1,137","1,007","3,611","1,775","3,089","4,339"
2020년10월_계_0~9세,"2,647","1,932",42,28,99,25,32,18,37,30,28,144,23,62,147
2020년10월_계_10~19세,"4,087","2,633",91,99,187,65,62,32,60,70,34,275,49,144,286
2020년10월_계_20~29세,"3,948","2,281",79,92,247,88,89,44,99,69,50,264,91,171,284
2020년10월_계_30~39세,"3,929","2,425",89,91,184,68,75,38,84,46,40,246,78,163,302
2020년10월_계_40~49세,"6,429","3,784",176,148,309,137,133,44,132,77,67,424,166,287,545
2020년10월_계_50~59세,"9,174","4,333",301,298,491,281,304,125,266,181,179,648,360,581,826
2020년10월_계_60~69세,"9,639","3,722",453,456,582,354,389,200,307,261,233,783,385,712,802
2020년10월_계_70~79세,"6,773","2,189",321,379,385,311,311,201,227,186,201,506,348,565,643
2020년10월_계_80~89세,"4,208","1,092",185,231,231,235,235,145,201,180,148,279,243,351,452
2020년10월_계_90~99세,625,152,28,37,40,35,45,19,32,36,25,42,31,52,51
2020년10월_계_100세 이상,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020년10월_남_총인구수,"25,799","12,288",908,910,"1,430",785,852,379,706,556,502,"1,779",893,"1,588","2,223"
2020년10월_남_연령구간인구수,"25,799","12,288",908,910,"1,430",785,852,379,706,556,502,"1,779",893,"1,588","2,223"
2020년10월_남_0~9세,"1,343",993,21,16,46,13,15,9,14,16,11,69,11,29,80
2020년10월_남_10~19세,"2,223","1,447",53,56,95,38,32,16,30,38,16,143,27,79,153
2020년10월_남_20~29세,"2,322","1,316",50,57,159,53,53,22,64,42,35,145,51,101,174
2020년10월_남_30~39세,"2,152","1,234",63,55,109,34,49,20,54,29,27,128,51,114,185
2020년10월_남_40~49세,"3,579","1,986",103,94,180,82,77,24,83,48,40,226,100,200,336
2020년10월_남_50~59세,"4,991","2,236",175,169,274,146,188,68,148,102,109,342,217,332,485
2020년10월_남_60~69세,"4,812","1,783",234,211,300,194,205,91,162,133,134,405,207,368,385
2020년10월_남_70~79세,"2,973",930,147,167,179,138,152,85,90,84,80,235,153,259,274
2020년10월_남_80~89세,"1,280",334,57,76,78,79,65,42,58,56,44,79,73,97,142
2020년10월_남_90~99세,120,26,5,9,10,8,16,2,3,8,5,7,3,9,9
2020년10월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년10월_여_총인구수,"25,678","12,264",857,949,"1,326",815,823,487,740,581,505,"1,832",882,"1,501","2,116"
2020년10월_여_연령구간인구수,"25,678","12,264",857,949,"1,326",815,823,487,740,581,505,"1,832",882,"1,501","2,116"
2020년10월_여_0~9세,"1,304",939,21,12,53,12,17,9,23,14,17,75,12,33,67
2020년10월_여_10~19세,"1,864","1,186",38,43,92,27,30,16,30,32,18,132,22,65,133
2020년10월_여_20~29세,"1,626",965,29,35,88,35,36,22,35,27,15,119,40,70,110
2020년10월_여_30~39세,"1,777","1,191",26,36,75,34,26,18,30,17,13,118,27,49,117
2020년10월_여_40~49세,"2,850","1,798",73,54,129,55,56,20,49,29,27,198,66,87,209
2020년10월_여_50~59세,"4,183","2,097",126,129,217,135,116,57,118,79,70,306,143,249,341
2020년10월_여_60~69세,"4,827","1,939",219,245,282,160,184,109,145,128,99,378,178,344,417
2020년10월_여_70~79세,"3,800","1,259",174,212,206,173,159,116,137,102,121,271,195,306,369
2020년10월_여_80~89세,"2,928",758,128,155,153,156,170,103,143,124,104,200,170,254,310
2020년10월_여_90~99세,505,126,23,28,30,27,29,17,29,28,20,35,28,43,42
2020년10월_여_100세 이상,14,6,0,0,1,1,0,0,1,1,1,0,1,1,1
