,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2021년04월_계_총인구수,"271,007","33,403","53,278","15,919","26,998","17,361","18,922","21,850","16,583","20,861","20,601","25,231"
2021년04월_계_연령구간인구수,"271,007","33,403","53,278","15,919","26,998","17,361","18,922","21,850","16,583","20,861","20,601","25,231"
2021년04월_계_0~9세,"19,818","1,920","4,560",640,"2,180",831,"1,128","1,816","1,011","1,821","2,223","1,688"
2021년04월_계_10~19세,"26,043","2,603","6,087",824,"2,745","1,140","1,401","2,121","1,583","3,077","1,756","2,706"
2021년04월_계_20~29세,"37,777","5,407","7,170","2,480","3,654","2,765","2,733","2,812","2,050","2,526","2,554","3,626"
2021년04월_계_30~39세,"37,519","4,576","7,037","2,173","3,474","2,330","3,129","3,667","2,103","2,168","3,649","3,213"
2021년04월_계_40~49세,"43,680","4,971","9,108","2,054","4,390","2,481","2,730","3,720","2,611","4,065","3,368","4,182"
2021년04월_계_50~59세,"47,717","6,500","9,275","2,983","4,746","3,443","3,104","3,448","2,945","3,565","3,266","4,442"
2021년04월_계_60~69세,"34,409","4,622","6,238","2,707","3,627","2,777","2,599","2,394","2,157","2,023","2,367","2,898"
2021년04월_계_70~79세,"15,103","1,888","2,505","1,357","1,384","1,100","1,287","1,124","1,197",923,957,"1,381"
2021년04월_계_80~89세,"7,703",780,"1,119",592,678,426,706,663,819,608,391,921
2021년04월_계_90~99세,"1,197",131,175,102,118,66,104,84,104,82,65,166
2021년04월_계_100세 이상,41,5,4,7,2,2,1,1,3,3,5,8
2021년04월_남_총인구수,"134,427","17,637","26,421","7,977","13,077","9,048","8,986","10,616","7,891","10,189","10,340","12,245"
2021년04월_남_연령구간인구수,"134,427","17,637","26,421","7,977","13,077","9,048","8,986","10,616","7,891","10,189","10,340","12,245"
2021년04월_남_0~9세,"10,132",969,"2,343",333,"1,104",441,589,921,470,979,"1,124",859
2021년04월_남_10~19세,"13,467","1,364","3,129",442,"1,421",598,710,"1,105",820,"1,547",916,"1,415"
2021년04월_남_20~29세,"19,733","3,003","3,714","1,346","1,880","1,480","1,368","1,462","1,051","1,334","1,274","1,821"
2021년04월_남_30~39세,"19,470","2,609","3,583","1,235","1,683","1,324","1,636","1,826","1,075","1,034","1,858","1,607"
2021년04월_남_40~49세,"21,535","2,658","4,444","1,109","2,076","1,348","1,288","1,781","1,254","1,866","1,752","1,959"
2021년04월_남_50~59세,"23,300","3,400","4,454","1,406","2,202","1,784","1,444","1,629","1,395","1,784","1,563","2,239"
2021년04월_남_60~69세,"16,909","2,392","3,128","1,277","1,807","1,371","1,183","1,132",994,995,"1,218","1,412"
2021년04월_남_70~79세,"6,813",906,"1,188",612,630,538,511,469,491,408,474,586
2021년04월_남_80~89세,"2,737",297,393,197,246,151,232,265,302,211,141,302
2021년04월_남_90~99세,321,38,43,19,28,13,25,26,37,31,17,44
2021년04월_남_100세 이상,10,1,2,1,0,0,0,0,2,0,3,1
2021년04월_여_총인구수,"136,580","15,766","26,857","7,942","13,921","8,313","9,936","11,234","8,692","10,672","10,261","12,986"
2021년04월_여_연령구간인구수,"136,580","15,766","26,857","7,942","13,921","8,313","9,936","11,234","8,692","10,672","10,261","12,986"
2021년04월_여_0~9세,"9,686",951,"2,217",307,"1,076",390,539,895,541,842,"1,099",829
2021년04월_여_10~19세,"12,576","1,239","2,958",382,"1,324",542,691,"1,016",763,"1,530",840,"1,291"
2021년04월_여_20~29세,"18,044","2,404","3,456","1,134","1,774","1,285","1,365","1,350",999,"1,192","1,280","1,805"
2021년04월_여_30~39세,"18,049","1,967","3,454",938,"1,791","1,006","1,493","1,841","1,028","1,134","1,791","1,606"
2021년04월_여_40~49세,"22,145","2,313","4,664",945,"2,314","1,133","1,442","1,939","1,357","2,199","1,616","2,223"
2021년04월_여_50~59세,"24,417","3,100","4,821","1,577","2,544","1,659","1,660","1,819","1,550","1,781","1,703","2,203"
2021년04월_여_60~69세,"17,500","2,230","3,110","1,430","1,820","1,406","1,416","1,262","1,163","1,028","1,149","1,486"
2021년04월_여_70~79세,"8,290",982,"1,317",745,754,562,776,655,706,515,483,795
2021년04월_여_80~89세,"4,966",483,726,395,432,275,474,398,517,397,250,619
2021년04월_여_90~99세,876,93,132,83,90,53,79,58,67,51,48,122
2021년04월_여_100세 이상,31,4,2,6,2,2,1,1,1,3,2,7
