카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년08월_계_총인구수,"489,178","36,775","15,088","12,761","36,836","31,886","15,126","12,981","31,411","22,186","17,873","6,917","35,162","16,502","18,913","33,692","28,908","16,288","19,123","31,052","12,632","13,937","23,129"
2021년08월_계_연령구간인구수,"489,178","36,775","15,088","12,761","36,836","31,886","15,126","12,981","31,411","22,186","17,873","6,917","35,162","16,502","18,913","33,692","28,908","16,288","19,123","31,052","12,632","13,937","23,129"
2021년08월_계_0~9세,"31,166","2,223",789,603,"2,413","2,348","1,030",603,"2,587","1,141","1,161",314,"2,691",834,"1,122","2,227","2,271",812,"1,313","1,782",995,802,"1,105"
2021년08월_계_10~19세,"41,988","2,831","1,162",840,"2,357","2,199",902,962,"3,756","1,998","1,717",491,"2,964","1,241","1,396","3,439","4,156","1,073","1,719","3,160","1,038","1,090","1,497"
2021년08월_계_20~29세,"68,277","5,848","2,056","1,600","6,097","5,036","2,095","1,645","3,935","2,853","2,564",872,"4,811","2,525","2,463","4,634","3,663","2,054","2,569","4,646","1,587","1,771","2,953"
2021년08월_계_30~39세,"66,234","5,866","2,078","1,668","6,486","5,740","2,396","1,554","3,587","2,291","2,150",816,"5,235","2,230","2,631","3,813","2,908","1,962","2,657","3,921","1,737","1,617","2,891"
2021년08월_계_40~49세,"75,505","5,573","2,336","1,840","5,585","5,191","2,271","1,789","5,474","3,043","2,692","1,026","5,270","2,345","2,458","5,520","5,561","2,333","3,012","4,995","1,796","2,108","3,287"
2021년08월_계_50~59세,"88,410","6,139","2,633","2,265","6,048","5,064","2,587","2,459","5,571","4,009","3,373","1,457","6,420","3,281","3,480","6,429","5,405","2,860","3,389","6,082","2,146","2,648","4,665"
2021년08월_계_60~69세,"69,425","4,844","2,256","2,170","4,606","3,712","2,218","2,285","4,032","3,718","2,498","1,193","4,817","2,482","3,228","4,522","3,007","2,957","2,639","3,913","2,080","2,240","4,008"
2021년08월_계_70~79세,"31,469","2,188","1,244","1,159","2,181","1,711","1,026","1,099","1,681","1,908","1,052",509,"1,946","1,040","1,370","1,890","1,236","1,566","1,235","1,644",845,"1,102","1,837"
2021년08월_계_80~89세,"14,453","1,087",473,526,946,761,530,496,689,"1,029",580,186,881,454,633,"1,050",594,597,532,778,360,489,782
2021년08월_계_90~99세,"2,136",167,60,88,114,114,61,86,96,182,86,41,122,67,126,166,103,72,52,129,47,67,90
2021년08월_계_100세 이상,115,9,1,2,3,10,10,3,3,14,0,12,5,3,6,2,4,2,6,2,1,3,14
2021년08월_남_총인구수,"241,608","17,729","7,519","6,389","18,181","15,718","7,442","6,538","15,467","10,778","8,522","3,700","17,572","8,340","9,188","16,498","14,018","8,193","9,307","14,967","6,477","7,082","11,983"
2021년08월_남_연령구간인구수,"241,608","17,729","7,519","6,389","18,181","15,718","7,442","6,538","15,467","10,778","8,522","3,700","17,572","8,340","9,188","16,498","14,018","8,193","9,307","14,967","6,477","7,082","11,983"
2021년08월_남_0~9세,"15,923","1,102",380,315,"1,238","1,182",557,322,"1,305",601,601,154,"1,402",410,559,"1,167","1,136",408,650,918,533,437,546
2021년08월_남_10~19세,"21,795","1,416",609,442,"1,235","1,094",471,506,"1,981","1,063",882,243,"1,568",693,732,"1,741","2,143",568,843,"1,609",560,578,818
2021년08월_남_20~29세,"34,992","2,808","1,074",851,"2,942","2,465",997,906,"2,071","1,540","1,298",487,"2,477","1,358","1,278","2,451","1,887","1,104","1,309","2,338",900,930,"1,521"
2021년08월_남_30~39세,"34,218","3,065","1,137",893,"3,408","3,040","1,208",837,"1,717","1,179","1,054",455,"2,666","1,198","1,335","1,931","1,385","1,053","1,335","1,910",928,873,"1,611"
2021년08월_남_40~49세,"38,102","2,742","1,212",978,"2,851","2,791","1,221",915,"2,633","1,495","1,268",579,"2,737","1,221","1,249","2,681","2,540","1,270","1,514","2,366",953,"1,083","1,803"
2021년08월_남_50~59세,"43,127","2,912","1,314","1,140","2,934","2,399","1,233","1,264","2,703","1,894","1,531",816,"3,123","1,605","1,586","3,160","2,718","1,444","1,608","2,873","1,018","1,387","2,465"
2021년08월_남_60~69세,"33,816","2,259","1,036","1,063","2,222","1,719","1,081","1,095","1,996","1,753","1,212",648,"2,369","1,218","1,604","2,245","1,501","1,383","1,267","1,952","1,044","1,105","2,044"
2021년08월_남_70~79세,"14,255",980,575,512,989,746,464,516,797,877,465,247,887,473,644,806,507,730,570,736,397,484,853
2021년08월_남_80~89세,"4,921",407,165,174,338,253,199,162,242,339,192,57,320,156,172,281,188,214,196,240,133,188,305
2021년08월_남_90~99세,438,37,17,21,23,28,10,15,22,35,19,10,21,8,25,35,13,19,12,25,11,17,15
2021년08월_남_100세 이상,21,1,0,0,1,1,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021년08월_여_총인구수,"247,570","19,046","7,569","6,372","18,655","16,168","7,684","6,443","15,944","11,408","9,351","3,217","17,590","8,162","9,725","17,194","14,890","8,095","9,816","16,085","6,155","6,855","11,146"
2021년08월_여_연령구간인구수,"247,570","19,046","7,569","6,372","18,655","16,168","7,684","6,443","15,944","11,408","9,351","3,217","17,590","8,162","9,725","17,194","14,890","8,095","9,816","16,085","6,155","6,855","11,146"
2021년08월_여_0~9세,"15,243","1,121",409,288,"1,175","1,166",473,281,"1,282",540,560,160,"1,289",424,563,"1,060","1,135",404,663,864,462,365,559
2021년08월_여_10~19세,"20,193","1,415",553,398,"1,122","1,105",431,456,"1,775",935,835,248,"1,396",548,664,"1,698","2,013",505,876,"1,551",478,512,679
2021년08월_여_20~29세,"33,285","3,040",982,749,"3,155","2,571","1,098",739,"1,864","1,313","1,266",385,"2,334","1,167","1,185","2,183","1,776",950,"1,260","2,308",687,841,"1,432"
2021년08월_여_30~39세,"32,016","2,801",941,775,"3,078","2,700","1,188",717,"1,870","1,112","1,096",361,"2,569","1,032","1,296","1,882","1,523",909,"1,322","2,011",809,744,"1,280"
2021년08월_여_40~49세,"37,403","2,831","1,124",862,"2,734","2,400","1,050",874,"2,841","1,548","1,424",447,"2,533","1,124","1,209","2,839","3,021","1,063","1,498","2,629",843,"1,025","1,484"
2021년08월_여_50~59세,"45,283","3,227","1,319","1,125","3,114","2,665","1,354","1,195","2,868","2,115","1,842",641,"3,297","1,676","1,894","3,269","2,687","1,416","1,781","3,209","1,128","1,261","2,200"
2021년08월_여_60~69세,"35,609","2,585","1,220","1,107","2,384","1,993","1,137","1,190","2,036","1,965","1,286",545,"2,448","1,264","1,624","2,277","1,506","1,574","1,372","1,961","1,036","1,135","1,964"
2021년08월_여_70~79세,"17,214","1,208",669,647,"1,192",965,562,583,884,"1,031",587,262,"1,059",567,726,"1,084",729,836,665,908,448,618,984
2021년08월_여_80~89세,"9,532",680,308,352,608,508,331,334,447,690,388,129,561,298,461,769,406,383,336,538,227,301,477
2021년08월_여_90~99세,"1,698",130,43,67,91,86,51,71,74,147,67,31,101,59,101,131,90,53,40,104,36,50,75
2021년08월_여_100세 이상,94,8,1,2,2,9,9,3,3,12,0,8,3,3,2,2,4,2,3,2,1,3,12
