,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년06월_계_총인구수,"20,331","1,150",990,"5,050","1,212",224,"1,879","6,458",939,383,"2,046"
2021년06월_계_연령구간인구수,"20,331","1,150",990,"5,050","1,212",224,"1,879","6,458",939,383,"2,046"
2021년06월_계_0~9세,913,35,22,331,55,2,44,290,22,12,100
2021년06월_계_10~19세,"1,077",44,28,283,61,8,81,405,31,19,117
2021년06월_계_20~29세,"2,614",85,50,985,178,39,135,582,79,25,456
2021년06월_계_30~39세,"1,805",68,57,577,127,13,87,592,38,21,225
2021년06월_계_40~49세,"2,365",113,113,634,118,16,153,831,90,37,260
2021년06월_계_50~59세,"3,537",196,204,701,201,25,350,"1,275",195,72,318
2021년06월_계_60~69세,"4,235",341,273,803,235,49,481,"1,405",230,91,327
2021년06월_계_70~79세,"2,378",166,163,421,155,53,336,728,152,64,140
2021년06월_계_80~89세,"1,140",84,59,247,70,15,169,298,85,31,82
2021년06월_계_90~99세,256,14,19,66,12,4,42,51,16,11,21
2021년06월_계_100세 이상,11,4,2,2,0,0,1,1,1,0,0
2021년06월_남_총인구수,"11,551",607,522,"2,956",698,140,"1,010","3,613",508,200,"1,297"
2021년06월_남_연령구간인구수,"11,551",607,522,"2,956",698,140,"1,010","3,613",508,200,"1,297"
2021년06월_남_0~9세,465,16,13,170,29,0,19,151,13,7,47
2021년06월_남_10~19세,584,20,15,137,33,7,42,235,17,10,68
2021년06월_남_20~29세,"1,889",48,29,765,130,34,81,388,45,11,358
2021년06월_남_30~39세,"1,112",39,35,334,80,11,50,368,24,15,156
2021년06월_남_40~49세,"1,495",64,68,416,82,14,95,491,61,19,185
2021년06월_남_50~59세,"2,057",111,119,409,106,15,219,711,120,46,201
2021년06월_남_60~69세,"2,289",186,139,424,137,29,270,765,119,47,173
2021년06월_남_70~79세,"1,187",90,84,200,62,24,163,381,75,35,73
2021년06월_남_80~89세,416,29,19,83,34,6,64,111,31,9,30
2021년06월_남_90~99세,54,3,0,18,5,0,7,11,3,1,6
2021년06월_남_100세 이상,3,1,1,0,0,0,0,1,0,0,0
2021년06월_여_총인구수,"8,780",543,468,"2,094",514,84,869,"2,845",431,183,749
2021년06월_여_연령구간인구수,"8,780",543,468,"2,094",514,84,869,"2,845",431,183,749
2021년06월_여_0~9세,448,19,9,161,26,2,25,139,9,5,53
2021년06월_여_10~19세,493,24,13,146,28,1,39,170,14,9,49
2021년06월_여_20~29세,725,37,21,220,48,5,54,194,34,14,98
2021년06월_여_30~39세,693,29,22,243,47,2,37,224,14,6,69
2021년06월_여_40~49세,870,49,45,218,36,2,58,340,29,18,75
2021년06월_여_50~59세,"1,480",85,85,292,95,10,131,564,75,26,117
2021년06월_여_60~69세,"1,946",155,134,379,98,20,211,640,111,44,154
2021년06월_여_70~79세,"1,191",76,79,221,93,29,173,347,77,29,67
2021년06월_여_80~89세,724,55,40,164,36,9,105,187,54,22,52
2021년06월_여_90~99세,202,11,19,48,7,4,35,40,13,10,15
2021년06월_여_100세 이상,8,3,1,2,0,0,1,0,1,0,0
