,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년10월_계_총인구수,"93,508","6,910","11,917","4,946","2,925","26,914","25,753","8,868","5,275"
2021년10월_계_연령구간인구수,"93,508","6,910","11,917","4,946","2,925","26,914","25,753","8,868","5,275"
2021년10월_계_0~9세,"5,897",451,729,151,129,"1,770","2,013",401,253
2021년10월_계_10~19세,"8,409",585,"1,230",195,193,"2,543","2,868",522,273
2021년10월_계_20~29세,"11,036",748,"1,286",450,319,"3,360","3,415",881,577
2021년10월_계_30~39세,"10,020",755,"1,192",436,280,"2,908","3,076",782,591
2021년10월_계_40~49세,"13,829",885,"1,860",545,351,"3,978","4,412","1,178",620
2021년10월_계_50~59세,"16,385","1,253","2,006",980,553,"4,826","4,200","1,606",961
2021년10월_계_60~69세,"14,019","1,174","1,753","1,103",539,"3,910","2,811","1,728","1,001"
2021년10월_계_70~79세,"8,592",646,"1,127",638,352,"2,267","1,852","1,100",610
2021년10월_계_80~89세,"4,697",378,665,364,192,"1,199",976,595,328
2021년10월_계_90~99세,600,34,68,77,17,150,128,68,58
2021년10월_계_100세 이상,24,1,1,7,0,3,2,7,3
2021년10월_남_총인구수,"46,659","3,468","5,844","2,608","1,421","13,215","12,671","4,615","2,817"
2021년10월_남_연령구간인구수,"46,659","3,468","5,844","2,608","1,421","13,215","12,671","4,615","2,817"
2021년10월_남_0~9세,"3,021",240,378,82,58,895,"1,019",208,141
2021년10월_남_10~19세,"4,231",286,631,96,90,"1,264","1,454",270,140
2021년10월_남_20~29세,"5,988",406,707,246,186,"1,806","1,804",507,326
2021년10월_남_30~39세,"5,232",391,595,259,146,"1,462","1,586",442,351
2021년10월_남_40~49세,"7,132",471,943,331,188,"1,964","2,201",672,362
2021년10월_남_50~59세,"8,647",661,"1,051",581,275,"2,459","2,184",884,552
2021년10월_남_60~69세,"6,896",589,811,596,273,"1,949","1,268",878,532
2021년10월_남_70~79세,"3,635",276,456,271,141,928,752,530,281
2021년10월_남_80~89세,"1,715",134,253,120,62,445,374,208,119
2021년10월_남_90~99세,158,14,19,25,2,42,28,16,12
2021년10월_남_100세 이상,4,0,0,1,0,1,1,0,1
2021년10월_여_총인구수,"46,849","3,442","6,073","2,338","1,504","13,699","13,082","4,253","2,458"
2021년10월_여_연령구간인구수,"46,849","3,442","6,073","2,338","1,504","13,699","13,082","4,253","2,458"
2021년10월_여_0~9세,"2,876",211,351,69,71,875,994,193,112
2021년10월_여_10~19세,"4,178",299,599,99,103,"1,279","1,414",252,133
2021년10월_여_20~29세,"5,048",342,579,204,133,"1,554","1,611",374,251
2021년10월_여_30~39세,"4,788",364,597,177,134,"1,446","1,490",340,240
2021년10월_여_40~49세,"6,697",414,917,214,163,"2,014","2,211",506,258
2021년10월_여_50~59세,"7,738",592,955,399,278,"2,367","2,016",722,409
2021년10월_여_60~69세,"7,123",585,942,507,266,"1,961","1,543",850,469
2021년10월_여_70~79세,"4,957",370,671,367,211,"1,339","1,100",570,329
2021년10월_여_80~89세,"2,982",244,412,244,130,754,602,387,209
2021년10월_여_90~99세,442,20,49,52,15,108,100,52,46
2021년10월_여_100세 이상,20,1,1,6,0,2,1,7,2
