카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년09월_계_총인구수,"42,811","6,761","18,405","8,965","8,680"
2020년09월_계_연령구간인구수,"42,811","6,761","18,405","8,965","8,680"
2020년09월_계_0~9세,"3,973",615,"1,266","1,342",750
2020년09월_계_10~19세,"6,386",895,"2,380","2,012","1,099"
2020년09월_계_20~29세,"4,842",695,"2,359",792,996
2020년09월_계_30~39세,"4,643",657,"1,665","1,391",930
2020년09월_계_40~49세,"8,465","1,135","3,218","2,550","1,562"
2020년09월_계_50~59세,"6,891","1,245","3,457",705,"1,484"
2020년09월_계_60~69세,"4,352",930,"2,157",94,"1,171"
2020년09월_계_70~79세,"2,005",386,"1,115",54,450
2020년09월_계_80~89세,"1,073",156,689,23,205
2020년09월_계_90~99세,170,44,93,2,31
2020년09월_계_100세 이상,11,3,6,0,2
2020년09월_남_총인구수,"21,322","3,294","9,016","4,660","4,352"
2020년09월_남_연령구간인구수,"21,322","3,294","9,016","4,660","4,352"
2020년09월_남_0~9세,"2,016",308,671,668,369
2020년09월_남_10~19세,"3,336",447,"1,250","1,059",580
2020년09월_남_20~29세,"2,715",377,"1,286",464,588
2020년09월_남_30~39세,"2,289",313,828,684,464
2020년09월_남_40~49세,"4,117",530,"1,541","1,314",732
2020년09월_남_50~59세,"3,467",620,"1,683",429,735
2020년09월_남_60~69세,"2,106",458,"1,045",23,580
2020년09월_남_70~79세,889,186,469,12,222
2020년09월_남_80~89세,349,48,224,6,71
2020년09월_남_90~99세,38,7,19,1,11
2020년09월_남_100세 이상,0,0,0,0,0
2020년09월_여_총인구수,"21,489","3,467","9,389","4,305","4,328"
2020년09월_여_연령구간인구수,"21,489","3,467","9,389","4,305","4,328"
2020년09월_여_0~9세,"1,957",307,595,674,381
2020년09월_여_10~19세,"3,050",448,"1,130",953,519
2020년09월_여_20~29세,"2,127",318,"1,073",328,408
2020년09월_여_30~39세,"2,354",344,837,707,466
2020년09월_여_40~49세,"4,348",605,"1,677","1,236",830
2020년09월_여_50~59세,"3,424",625,"1,774",276,749
2020년09월_여_60~69세,"2,246",472,"1,112",71,591
2020년09월_여_70~79세,"1,116",200,646,42,228
2020년09월_여_80~89세,724,108,465,17,134
2020년09월_여_90~99세,132,37,74,1,20
2020년09월_여_100세 이상,11,3,6,0,2
